gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-9.1	2.444e-283	1.512e-278
SLC25A37	195757.6	-8.6	1.482e-246	4.583e-242
SLC25A39	98563.2	-6.9	9.213e-219	1.920e-214
DMTN	16505.4	-6.1	9.860e-194	1.554e-189
TRAK2	13529.9	-6.6	7.354e-190	9.096e-186
MICAL2	11231.7	-7.1	1.216e-179	1.278e-175
OPTN	14737.2	-7.8	5.049e-177	4.548e-173
HBA2	781957.4	-11.4	2.380e-176	1.883e-172
RAD23A	10450.8	-4.6	7.608e-169	5.349e-165
GDF15	24091.5	-8.7	1.744e-166	1.089e-162
SLC2A1	41223.5	-7.6	1.466e-165	8.242e-162
SP2	1226.4	-3.2	6.013e-158	1.098e-154
MBNL2	6149.7	-5.7	1.208e-151	5.878e-148
CLIC2	9423.7	-8.1	2.276e-147	1.006e-143
RB1CC1	11739.5	-6.1	8.945e-145	3.774e-141
PNP	8731.6	-5.3	2.998e-144	1.171e-140
SLC22A23	1694.7	-5.9	3.934e-143	4.478e-140
MARCH8	25353.1	-7.7	7.475e-136	2.618e-132
TMCC2	105740.7	-13.7	2.317e-135	7.543e-132
C17orf103	17641.6	-9.3	5.531e-135	1.750e-131
RIOK3	40720.1	-7.7	4.788e-132	1.437e-128
ANK1	27203.9	-5.9	7.692e-132	2.162e-128
ISCU	18605.1	-6.5	4.241e-131	1.167e-127
YPEL4	4670.4	-8.9	4.965e-130	1.291e-126
LPIN2	26918.4	-7.5	8.969e-127	2.219e-123
SEC14L1	12265.6	-6.1	1.965e-126	4.674e-123
EPB41	20751.3	-6.7	8.103e-126	1.873e-122
SLC4A1	63651.4	-10.7	3.507e-124	7.746e-121
DCUN1D1	9708.7	-4.1	1.646e-122	3.579e-119
YOD1	7112.6	-6.9	2.007e-120	4.138e-117
FCHO2	1868.2	-5.7	4.742e-118	3.039e-115
RAPGEF2	7579.3	-5.3	3.093e-117	6.041e-114
CALCOCO1	15382.8	-6.6	3.209e-117	6.078e-114
WBP2	9732	-5	1.028e-116	1.888e-113
ZNF24	2411	-3.3	1.161e-115	2.092e-112
TMEM63B	1745.1	-5.6	2.104e-114	1.280e-111
ARL4A	20871	-8.1	8.453e-115	1.446e-111
RMND5A	3672.4	-3.5	1.971e-114	3.282e-111
PKM	1976.4	7.1	2.398e-114	3.891e-111
RP11-85G21.3	3063.1	-10	9.060e-113	1.416e-109
WASF2	10683.5	-3.9	3.081e-112	4.739e-109
DENND4A	5636.4	-4.7	3.126e-111	4.709e-108
ATG13	5092.7	-3.6	1.423e-109	2.094e-106
MOSPD1	4786.9	-6.9	1.701e-109	2.417e-106
CEP76	820.2	-3.9	6.992e-109	3.892e-106
KHNYN	3207.6	-4.8	1.429e-108	1.965e-105
KLHDC8A	1648.1	-8.8	1.231e-107	5.736e-105
LEPROT	2572.5	-2.9	3.739e-107	4.869e-104
DEDD2	5693.4	-5.8	3.491e-106	4.508e-103
ENTPD5	1590.8	-3.9	2.678e-103	1.064e-100
YPEL5	5619.9	-5.4	2.005e-103	2.488e-100
RFFL	2661.1	-4	3.639e-103	4.413e-100
INPP5K	4014.4	-4.8	2.092e-102	2.467e-99
NAPB	1175.5	-4.8	7.927e-102	3.216e-99
FAM65C	14857.4	-6.4	5.322e-102	5.984e-99
IBA57	1129.2	-4.9	1.874e-101	7.331e-99
BNIP3L	45320	-6.8	5.107e-101	5.542e-98
SDE2	7126	-6.1	2.364e-100	2.548e-97
POLL	1880.4	-3.9	1.089e-99	3.572e-97
TCP11L2	15354.7	-10.5	1.226e-99	1.277e-96
STAG2	4432.8	-3.4	2.413e-99	2.495e-96
RNF19A	6648.3	-5	4.244e-99	4.234e-96
CRIPT	1397.9	-4.8	2.637e-98	8.433e-96
TOP1	7987.8	-4.4	2.436e-98	2.379e-95
SMIM5	2302.1	-5.9	3.817e-98	3.716e-95
PPP1R15A	21268.6	-5.6	5.190e-98	4.864e-95
RABGAP1L	3589.4	-3.6	3.073e-97	2.867e-94
BCL2L1	36101.3	-6.5	4.545e-97	4.230e-94
SLC2A4	3229.9	-9.7	6.693e-97	6.055e-94
NDEL1	3989.3	-3.8	1.443e-96	1.300e-93
HAGH	5024.2	-4.1	1.617e-96	1.409e-93
TMUB2	3465.7	-4.4	2.289e-96	2.004e-93
PHOSPHO1	5135.4	-10.4	2.800e-96	2.372e-93
