gene	baseMean	log2FoldChange	pvalue	padj
AGPAT2	143.6	3.2	1.241e-44	1.697e-40
LPXN	334.3	4	2.651e-42	1.813e-38
SERPINB1	872.4	3.3	1.684e-40	6.974e-37
PKM	1976.4	4.1	9.457e-40	2.974e-36
NTRK1	265.8	6.4	7.059e-39	1.931e-35
DOCK2	373.8	4.5	7.352e-38	1.539e-34
PARVG	282.4	6.7	1.367e-37	2.806e-34
DNAJA4	3820.7	-3.5	8.828e-37	1.407e-33
ELANE	473.6	10.9	1.368e-35	2.501e-32
ALOX5	262.5	7.8	4.314e-35	6.028e-32
RABAC1	735.2	2.7	8.729e-33	9.943e-30
ZBTB16	103.3	6.1	2.604e-32	3.928e-29
MPO	3598.5	9.7	2.159e-31	2.081e-28
CTSS	108.3	4.3	1.961e-31	2.306e-28
HLA-E	875.6	3.1	2.913e-31	2.455e-28
AHNAK	665.9	6.8	5.937e-31	4.460e-28
ST3GAL4	387.4	3.7	6.395e-31	4.460e-28
CORO1A	693.7	5.3	6.133e-31	4.460e-28
MBOAT7	542	3.9	1.239e-30	8.170e-28
NFIA	4157	-2.6	2.050e-30	1.307e-27
PLAUR	199.3	5.3	8.884e-30	6.079e-27
RASGRP3	488.1	5.9	1.176e-29	7.312e-27
HDC	4223.4	9.1	1.462e-29	8.053e-27
FES	399.9	3.4	1.675e-29	8.053e-27
TMSB4X	2576.2	3.9	1.980e-29	9.926e-27
LAT2	262.6	5.5	7.908e-29	4.160e-26
GSN	782	3.8	1.935e-28	6.842e-26
TMEM56	3040.4	-4.4	2.592e-28	1.160e-25
TESPA1	1256.9	3.5	2.423e-27	1.051e-24
ARHGAP30	301.8	5.6	4.212e-27	1.858e-24
GDF15	24091.5	-3.6	4.326e-27	1.858e-24
RFESD	1676.4	-3.2	5.243e-27	2.588e-24
ITGB2	679.1	5.6	9.201e-27	3.464e-24
CLU	818.5	4.4	6.710e-26	2.407e-23
RAB3D	201.8	5.2	5.914e-26	2.407e-23
CAPG	698.9	7.1	6.870e-26	2.412e-23
TSPAN17	985.7	-2.5	1.883e-25	6.489e-23
HSH2D	412.7	5.8	3.051e-25	1.321e-22
HLA-DRB1	144.5	4	2.906e-25	1.349e-22
ITGAL	327.6	8	5.346e-25	1.726e-22
PRTN3	352.8	9.6	8.591e-25	2.631e-22
AGPAT9	226.2	6.7	9.942e-25	3.896e-22
SPARC	45.3	5.9	1.150e-24	4.400e-22
RHBDD2	1141.1	2.8	1.651e-24	5.927e-22
RAB31	55.3	5.5	1.880e-24	6.267e-22
ENPP3	348.3	4.9	2.756e-24	9.862e-22
KCNAB2	907.5	2.5	7.183e-24	1.884e-21
HK3	210.4	9.2	6.472e-24	1.884e-21
ANK1	27203.9	-2.6	8.640e-24	2.248e-21
PYCARD	106.3	5.6	1.140e-23	3.751e-21
FAM64A	42.2	6.4	1.743e-23	5.125e-21
RAB33A	34.1	5.6	1.841e-23	5.901e-21
HDAC5	2641.7	3.2	3.832e-23	9.059e-21
LOXL3	44.4	3.4	3.840e-23	1.008e-20
SELL	135.7	7.1	3.123e-23	1.060e-20
IL16	246.7	7.8	4.228e-23	1.060e-20
ALAS1	1346.2	3.1	5.427e-23	1.193e-20
QSOX1	468.5	3.5	5.525e-23	1.230e-20
SPTAN1	101.8	7.1	5.820e-23	1.623e-20
MAX	2536.3	2.8	1.060e-22	2.222e-20
UBA7	473.6	2.2	1.221e-22	2.722e-20
VIM	472.3	7.8	1.319e-22	2.722e-20
RAB3IL1	1325.7	-3.9	1.369e-22	2.722e-20
CD300LF	127.7	9	1.038e-22	3.083e-20
ANPEP	260.3	6.2	1.973e-22	4.996e-20
RASSF2	256.3	7.8	2.750e-22	5.699e-20
STAB1	64.7	8.8	2.799e-22	6.266e-20
NPDC1	35.9	7.5	3.321e-22	8.038e-20
CR1	289	7.3	7.206e-22	1.311e-19
EVI2B	112.3	7.9	5.246e-22	1.356e-19
AMMECR1	3925.5	-2.9	8.442e-22	1.490e-19
CD300A	120.4	7.6	8.713e-22	2.017e-19
PTPRCAP	66.9	6.8	1.435e-21	3.074e-19
CCNA1	293.5	8.6	1.755e-21	3.074e-19
SLC45A3	367.9	8.2	1.707e-21	3.112e-19
ITGAM	169.3	6.6	1.826e-21	3.453e-19
C1orf228	74.7	8	1.995e-21	4.318e-19
ADRBK1	481.6	2.4	8.312e-21	1.458e-18
STAR	50.1	4.9	9.743e-21	2.030e-18
ARHGAP9	281.6	5	1.187e-20	2.133e-18
AZU1	185.7	8.1	1.537e-20	2.595e-18
ACTG1	6880	3.3	1.806e-20	2.759e-18
COTL1	440.3	5.1	1.418e-20	2.811e-18
DOCK10	114.1	7.5	1.252e-20	2.833e-18
PBXIP1	703.7	1.7	2.888e-20	3.240e-18
NDST1	256.8	3.8	2.037e-20	3.240e-18
