gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-9.1	6.340e-283	1.478e-278
SLC25A37	195757.6	-8.5	3.774e-238	4.397e-234
TRAK2	13529.9	-7	1.432e-215	1.260e-211
SLC25A39	98563.2	-6.3	1.133e-181	1.002e-177
MICAL2	11231.7	-6.9	1.217e-170	5.671e-167
DMTN	16505.4	-5.6	1.659e-166	9.779e-163
HBA2	781957.4	-11	4.003e-165	2.022e-161
SLC2A1	41223.5	-7.3	7.848e-154	3.433e-150
SLC22A23	1694.7	-6	5.952e-146	1.208e-142
ANK1	27203.9	-6.2	9.944e-145	2.576e-141
GDF15	24091.5	-8.1	2.309e-144	4.891e-141
RAD23A	10450.8	-4.1	2.515e-133	5.429e-130
CLIC2	9423.7	-7.6	1.184e-130	3.187e-127
PNP	8731.6	-5	1.763e-129	2.936e-126
SLC4A1	63651.4	-10.9	2.034e-128	4.746e-125
PKM	1976.4	7.6	8.897e-128	1.468e-124
DCUN1D1	9708.7	-4.2	1.802e-127	3.710e-124
FAM65C	14857.4	-7	5.426e-125	1.066e-121
MARCH8	25353.1	-7.3	1.387e-122	1.701e-119
OPTN	14737.2	-6.5	2.324e-122	4.066e-119
YPEL4	4670.4	-8.5	3.840e-120	4.262e-117
MBNL2	6149.7	-5.1	3.333e-120	5.357e-117
RB1CC1	11739.5	-5.6	9.424e-120	1.434e-116
TMCC2	105740.7	-12.6	1.471e-115	1.588e-112
RNF19A	6648.3	-5.3	2.548e-112	2.375e-109
RAPGEF2	7579.3	-5.2	4.462e-112	3.999e-109
RP11-85G21.3	3063.1	-10	5.831e-112	5.594e-109
KLHDC8A	1648.1	-9	1.748e-111	1.201e-108
MOSPD1	4786.9	-6.9	6.567e-111	8.007e-108
TMEM63B	1745.1	-5.5	1.594e-110	1.022e-107
RAP1GAP	10780.6	-9.1	2.727e-110	2.323e-107
EPB41	20751.3	-6.2	1.658e-108	1.368e-105
LPIN2	26918.4	-6.9	2.479e-107	1.984e-104
DENND4A	5636.4	-4.6	2.708e-107	2.063e-104
RABGAP1L	3589.4	-3.8	5.258e-106	5.312e-103
C17orf103	17641.6	-8.2	7.946e-106	7.723e-103
TOP1	7987.8	-4.5	5.459e-105	5.163e-102
RIOK3	40720.1	-6.8	3.398e-102	2.316e-99
EPOR	5014.2	-4.2	3.765e-102	3.378e-99
FCHO2	1868.2	-5.3	1.360e-101	1.110e-98
HMBS	49478.2	-6.5	2.451e-101	2.114e-98
TSPO2	1800.8	-10.7	1.262e-100	5.488e-98
ARL4A	20871	-7.6	1.521e-100	9.339e-98
PIGQ	7370.2	-4.4	1.256e-100	9.989e-98
CAPN5	797.6	-7.3	3.994e-100	2.618e-97
CALCOCO1	15382.8	-6	1.740e-97	1.323e-94
SP2	1226.4	-2.5	4.939e-96	1.945e-93
SORBS1	1374.2	-5.2	6.606e-95	2.514e-92
HAGH	5024.2	-4.1	4.820e-95	2.597e-92
SLC2A4	3229.9	-9.6	8.608e-94	4.501e-91
SEC14L1	12265.6	-5.2	6.560e-94	4.501e-91
PHOSPHO1	5135.4	-10.2	1.183e-93	8.042e-91
BCL2L1	36101.3	-6.3	2.909e-93	1.449e-90
SOX6	2724.6	-8.8	7.939e-93	3.426e-90
KHNYN	3207.6	-4.4	2.948e-92	1.388e-89
CR1L	2068.2	-6.6	3.553e-92	1.643e-89
YOD1	7112.6	-6	1.025e-91	4.191e-89
BPGM	17869	-7.9	6.057e-91	2.757e-88
MORC3	4798.2	-4.3	7.923e-91	3.546e-88
SMIM5	2302.1	-5.7	7.221e-91	4.211e-88
ISCU	18605.1	-5.4	2.143e-90	1.242e-87
ARG1	5418.7	-10.5	6.963e-90	2.617e-87
SLC22A4	2867.3	-5.4	1.672e-89	6.185e-87
ISG20	3261.8	-7.4	1.621e-89	6.685e-87
KDM4C	2920.6	-3	1.942e-89	1.046e-86
BTG2	8282.4	-4.9	3.315e-89	1.171e-86
GAB1	1977.4	-3.4	6.227e-89	2.454e-86
RBM38	9159.5	-6.6	1.389e-88	7.149e-86
