gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-6.5	1.648e-155	3.902e-151
TMCC2	105740.7	-13.4	6.227e-132	7.374e-128
HIST1H2AC	2792.2	-8.2	1.600e-123	1.415e-119
SP2	1226.4	-2.8	1.406e-122	9.640e-119
TCP11L2	15354.7	-12	3.883e-122	1.839e-118
RAPGEF2	7579.3	-5.4	5.777e-122	2.640e-118
MICAL2	11231.7	-5.7	1.870e-121	7.326e-118
HDAC5	2641.7	-7	6.349e-121	1.946e-117
LPIN2	26918.4	-7.3	2.577e-120	7.020e-117
WBP2	9732	-5	1.494e-114	3.567e-111
CALCOCO1	15382.8	-6.5	2.747e-113	5.913e-110
MCOLN1	2240.8	-5.2	8.421e-113	1.676e-109
SEC14L1	12265.6	-5.7	1.546e-112	2.916e-109
DMTN	16505.4	-4.6	2.304e-112	3.896e-109
ATG13	5092.7	-3.6	3.547e-112	5.798e-109
RFX3	707.6	-3.7	3.949e-111	5.397e-108
RIOK3	40720.1	-7.1	6.431e-111	9.276e-108
KHNYN	3207.6	-4.8	3.085e-110	4.700e-107
TMUB2	3465.7	-4.6	1.543e-108	1.923e-105
RB1CC1	11739.5	-5.2	1.726e-103	2.116e-100
WDR45	2406.9	-5.4	1.646e-102	2.149e-99
YPEL5	5619.9	-5.4	8.448e-102	9.094e-99
WASF2	10683.5	-3.7	6.229e-101	6.640e-98
MARCH8	25353.1	-6.6	4.235e-100	4.214e-97
MBNL2	6149.7	-4.5	1.993e-98	1.888e-95
INPP5K	4014.4	-4.6	1.634e-97	1.488e-94
EAF1	1019.7	-3.4	4.848e-96	4.289e-93
ISCU	18605.1	-5.5	8.467e-96	7.161e-93
GABARAPL1	10151.5	-8.6	1.036e-95	9.795e-93
OPTN	14737.2	-5.6	1.703e-93	1.344e-90
FAM214B	5742.8	-6.2	4.491e-93	3.842e-90
DYRK1B	560.7	-5.1	7.096e-93	4.849e-90
ABTB1	1717.3	-6	6.424e-93	5.164e-90
MTMR3	5914	-5.2	8.033e-92	5.643e-89
NDEL1	3989.3	-3.7	9.902e-92	7.757e-89
C18orf8	3534.3	-5.1	2.545e-91	1.733e-88
BCL2L1	36101.3	-6.2	9.743e-91	6.456e-88
PNP	8731.6	-4.1	1.964e-90	1.235e-87
SLC25A39	98563.2	-4.4	7.918e-90	4.978e-87
BCL6	1687.5	-9.6	1.008e-89	6.685e-87
NAPB	1175.5	-4.4	2.562e-89	1.714e-86
TUFT1	5528.3	-8.3	8.853e-89	5.168e-86
RAD23A	10450.8	-3.3	1.021e-88	5.820e-86
RFFL	2661.1	-3.7	1.871e-88	1.128e-85
OSER1-AS1	322.5	-5.9	4.376e-88	2.126e-85
CRIPT	1397.9	-4.5	1.237e-87	6.594e-85
CYLD	1199.3	-4.2	1.802e-87	9.158e-85
ZNF24	2411	-2.9	2.503e-87	1.383e-84
RNF19A	6648.3	-4.6	2.108e-86	1.055e-83
DDIT3	3088	-6.3	5.459e-86	2.677e-83
ARG2	1045.5	-6	6.609e-86	3.437e-83
RMND5A	3672.4	-3	7.617e-86	3.812e-83
ARG1	5418.7	-9.8	7.273e-86	3.812e-83
C9orf78	9726	-4.6	1.566e-85	6.869e-83
DCAF8	6505.5	-4.5	3.791e-85	1.646e-82
TMEM140	5277	-7.8	5.386e-85	2.297e-82
UBR2	11072.7	-6	8.621e-84	3.582e-81
SLC2A1	41223.5	-5.3	1.394e-83	6.374e-81
CNPPD1	17880.9	-6.3	2.549e-82	1.059e-79
YOD1	7112.6	-5.6	3.039e-82	1.344e-79
FOXP1	3370.9	-4.4	3.897e-82	1.752e-79
TAX1BP1	8207.6	-4.2	1.821e-81	6.956e-79
TAOK3	4882.4	-3.7	2.225e-81	8.363e-79
NSUN3	3585.9	-6.6	2.091e-81	8.668e-79
HIST3H2A	569.1	-5.5	2.899e-81	1.048e-78
REEP4	7049.4	-4.7	7.007e-81	2.514e-78
GUK1	12315.9	-4.2	8.430e-81	3.337e-78
C17orf103	17641.6	-7.1	1.234e-80	4.450e-78
TXNIP	17597.1	-3.6	1.221e-79	4.228e-77
C7orf73	6939.9	-3.1	1.484e-79	5.815e-77
DEDD2	5693.4	-5	2.201e-79	7.341e-77
FBXL4	1533.2	-4.5	2.293e-79	8.733e-77
NONO	4125.9	2.8	2.814e-79	9.127e-77
SLC25A37	195757.6	-4.8	6.472e-79	2.071e-76
HIST1H1C	8884.9	-7.1	1.108e-78	3.919e-76
ABHD4	6353.7	-5.9	1.427e-78	5.149e-76
FBXO9	2111.6	-3.2	1.953e-78	6.955e-76
CLN8	2359.1	-5.4	5.074e-78	1.540e-75
MAST3	6505.5	-6.4	6.709e-78	2.082e-75
PIK3IP1	3784	-9.4	6.524e-77	2.236e-74
FOXO3	10380.9	-6	8.825e-77	2.870e-74
SECISBP2	1489.7	-2.9	9.597e-77	2.870e-74
DENND4A	5636.4	-3.9	1.191e-76	3.399e-74
KLHL28	719.9	-3.5	2.199e-76	6.199e-74
ATG14	6298.3	-6.5	3.778e-76	1.090e-73
UBE2H	4999.6	-7.6	4.645e-76	1.279e-73
TRAK2	13529.9	-4.1	5.480e-76	1.545e-73
FKBP8	4842.3	-5.1	6.088e-76	1.652e-73
OSER1	8037.9	-6.4	6.772e-76	1.802e-73
FBXO30	9303.7	-6.8	8.993e-76	2.387e-73
POLL	1880.4	-3.4	3.311e-75	8.615e-73
TPP1	13578	-3.4	5.131e-74	1.332e-71
FGD6	2497.8	-7.6	6.377e-74	1.681e-71
RP11-85G21.3	3063.1	-6.8	1.122e-73	2.927e-71
KIAA0513	2358	-5.4	1.073e-73	3.096e-71
KIAA0232	3373.5	-5.2	1.525e-73	3.896e-71
BIRC2	3653.6	-4.7	2.354e-73	6.436e-71
RUNDC3A	3593.7	-8.8	4.511e-73	1.221e-70
HEXIM1	2272.7	-5.7	1.066e-72	2.953e-70
TOP1	7987.8	-3.7	1.539e-72	3.773e-70
USP7	4871.3	-4.8	4.980e-72	1.209e-69
KLHL24	2379.8	-5.7	1.140e-71	2.648e-69
NCOA2	3035.8	-3.9	1.205e-71	2.771e-69
RP11-690G19.3	714.3	-3.6	1.316e-71	3.387e-69
SLC22A23	1694.7	-3.9	6.395e-71	1.493e-68
ALS2CR12	315.9	-6.2	7.997e-71	1.636e-68
LRP10	3237.4	-4.8	8.540e-71	1.906e-68
IP6K1	3946.7	-4.6	8.661e-71	2.127e-68
TBC1D17	846.3	-4.2	1.302e-70	3.196e-68
IRF1	2676.9	-4.6	2.548e-70	6.143e-68
WNK1	32593.1	-5.6	4.985e-70	1.231e-67
B4GALT3	11218.1	-5.8	5.629e-70	1.232e-67
NUB1	2629.4	-4	1.871e-69	3.920e-67
ENTPD5	1590.8	-3.1	2.503e-69	5.244e-67
ARL4A	20871	-6.2	2.406e-69	5.550e-67
UIMC1	5192.6	-5	5.315e-69	1.094e-66
TMEM115	2156.6	-4	8.377e-69	1.750e-66
HPS1	25197	-4.4	8.644e-69	1.750e-66
LRRC2	648.6	-7.4	1.041e-68	1.913e-66
YPEL4	4670.4	-6	1.508e-68	3.081e-66
FAM46C	42890.7	-6.4	1.636e-68	3.707e-66
ZNFX1	6655.9	-4.6	2.187e-68	4.755e-66
MIR22HG	4577.4	-8.2	3.015e-68	5.855e-66
BNIP3L	45320	-5.6	2.740e-68	5.860e-66
IBA57	1129.2	-3.9	4.400e-68	8.631e-66
ATP6V0E1	4963.1	-3.3	4.644e-68	9.776e-66
TRIM38	1849.1	-4.4	7.378e-68	1.376e-65
FURIN	3704.6	-4.5	6.691e-68	1.386e-65
STK17B	6911.7	-5.6	9.143e-68	1.678e-65
IFIT1B	22416.6	-12.1	1.104e-67	2.253e-65
VPS28	3826.8	-3.6	2.531e-67	5.125e-65
EPB41	20751.3	-4.8	4.904e-67	8.874e-65
RBM38	9159.5	-5.7	5.789e-67	1.040e-64
COL4A3BP	581.5	-2.2	7.472e-67	1.310e-64
DUT	1801.7	4.1	1.840e-66	3.738e-64
KDM3B	1715.2	-2.7	2.653e-66	5.173e-64
SEC62	14965.7	-4.9	3.195e-66	6.185e-64
CCDC28A	1762.6	-3.7	4.913e-66	9.443e-64
MAT2B	18115.5	-5.4	4.995e-66	9.853e-64
