GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_RNA_PROCESSING	822	287	2.44245782892e-58	1.08347429291e-54	TARDBP:EXOSC10:MRTO4:HNRNPR:SRSF10:SRSF4:SF3A3:UTP11L:PPIE:TRIT1:PPIH:EBNA1BP2:ERI3:SRSF11:ZRANB2:PTBP2:TRMT13:RTCA:RBM15:WDR77:DDX20:BCAS2:TTF2:WDR3:RBM8A:INTS3:ISG20L2:RNASEL:DHX9:TSEN15:IVNS1ABP:SNRPE:INTS7:RBM17:KIN:PRPF18:MTPAP:CSTF2T:HNRNPH3:CCAR1:DDX21:SUPV3L1:RPP30:NPM3:NOLC1:PDCD11:TRUB1:RPL27A:METTL15:NAT10:POLR2G:SF3B2:RBM4B:RPS3:CLNS1A:INTS4:CWC15:FDXACB1:PUS3:RPUSD4:DCPS:ZCRB1:RPS26:PA2G4:PAN2:METTL1:CPSF6:SNRPF:SART3:RPLP0:POP5:GTF2H3:DHX37:PSPC1:EXOSC8:NUFIP1:GTF2F2:UTP14C:OSGEP:HNRNPC:METTL3:PABPN1:RPS29:MNAT1:TRMT5:FCF1:CPSF2:AQR:MTFMT:RPLP1:SNUPN:RPS17:RPS17L:MRPS11:SNRPA1:RNPS1:ERI2:FUS:NUDT21:POLR2C:USB1:PRMT7:CIRH1A:NOB1:SF3B3:KARS:MPHOSPH6:RPL13:GEMIN4:TSR1:METTL16:PELP1:RPL26:RPL23A:UTP6:RPL27:EFTUD2:UTP18:SRSF1:INTS2:METTL2A:FTSJ3:NOL11:TSEN54:SRSF2:DUS1L:THOC1:SNRPD1:RPL17:ELAC1:RBFA:PTBP1:RPL36:KHSRP:HNRNPM:SUGP2:GPATCH1:RPS16:SNRPA:RPS19:ERCC2:SNRPD2:RPL18:ZNF473:PPP2R1A:RPS9:U2AF2:RPS5:CPSF3:DDX1:SF3B14:TRMT61B:SRSF7:GEMIN6:PNPT1:TPRKB:SNRNP200:ERCC3:IWS1:WDR33:POLR2D:IMP4:PRPF40A:SSB:CWC22:WDR75:NOP58:WDR12:RPL37A:DIS3L2:MTERFD2:NOP56:TRMT6:SNRPB2:CDK5RAP1:RALY:AAR2:CTNNBL1:DHX35:TP53RK:MOCS3:CSTF1:U2AF1:RRP1B:DGCR8:SNRPD3:THOC5:SF3A1:POLR2F:RPL3:TRNT1:RPUSD3:TSEN2:RPL32:LSM3:RPSA:EXOSC7:USP4:RBM6:RRP9:RPL29:PDE12:RPP14:TRMT10C:ISY1:DBR1:RSRC1:POLR2H:NCBP2:SLBP:DHX15:TRMT10A:INTS12:RPL34:GAR1:LARP7:METTL14:EXOSC9:LSM6:PLRG1:FRG1:NSUN2:DHX29:SKIV2L2:SMN2:GTF2H2:PTCD2:UTP15:AGGF1:RPS23:RIOK2:WDR36:THG1L:RPL26L1:DDX41:HNRNPH1:FARS2:CDKAL1:SRPK1:SRSF3:PPIL1:MTO1:RNGTT:CDC40:RPF2:TRMT11:ADAT2:LTV1:TFB1M:GTF2H5:FTSJ2:HNRNPA2B1:LSM5:RP9:TYW1:CPSF4:DUS4L:NAA38:METTL2B:INTS10:CCAR2:ELP3:INTS9:MAK16:CHD7:POP1:TRMT12:CPSF1:RPL8:NCBP1:TEX10:PRPF4:RPL35:TRUB2:EXOSC2:FTSJ1:RBM3:SUV39H1:TSR2:LAS1L:CSTF2:TRMT2B:RBM41:UPF3B:RNF113A:UTP14A:RBMX:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RNA_PROCESSING
GO_NCRNA_METABOLIC_PROCESS	528	209	1.23949903841e-52	2.74920886719e-49	EXOSC10:MRTO4:UTP11L:TRIT1:EBNA1BP2:ERI3:PARS2:TRMT13:WDR3:WARS2:TARS2:TDRKH:INTS3:ISG20L2:DARS2:RNASEL:TSEN15:INTS7:EPRS:IARS2:DDX21:PPA1:RPP30:NPM3:NOLC1:PDCD11:TRUB1:RPL27A:METTL15:NAT10:POLR2G:RPS3:INTS4:NARS2:FDXACB1:PUS3:RPUSD4:ASUN:YARS2:BCDIN3D:RPS26:PA2G4:NABP2:METTL1:RPLP0:POP5:DHX37:GTF3A:EXOSC8:GTF2F2:UTP14C:OSGEP:METTL3:RPS29:TRMT5:SNAPC1:FCF1:BRF1:MTFMT:VWA9:SNAPC5:RPLP1:RPS17:RPS17L:MRPS11:ERI2:EARS2:GTF3C1:POLR2C:USB1:CIRH1A:NOB1:KARS:MPHOSPH6:RPL13:GEMIN4:TSR1:METTL16:PELP1:RPL26:RPL23A:UTP6:RPL27:UTP18:INTS2:METTL2A:FTSJ3:NOL11:TSEN54:DUS1L:RPL17:ELAC1:RBFA:RPL36:RPS16:RPS19:CD3EAP:RPL18:RPS9:RPS5:TAF1B:DDX1:GTF3C2:TRMT61B:TPRKB:POLR1B:POLR2D:IMP4:SSB:WDR75:NABP1:GTF3C3:MARS2:NOP58:WDR12:RPL37A:FARSB:DIS3L2:MTERFD2:NOP56:TRMT6:CDK5RAP1:TP53RK:MOCS3:MRPL39:RRP1B:DGCR8:POLR2F:RPL3:MOV10L1:TRNT1:RPUSD3:TSEN2:RPL32:RPSA:EXOSC7:LARS2:QARS:RRP9:RPL29:RPP14:TRMT10C:POLR2H:NCBP2:TRMT10A:PPA2:INTS12:AIMP1:RPL34:GAR1:EXOSC9:LSM6:PET112:FRG1:NSUN2:SKIV2L2:UTP15:RPS23:RIOK2:WDR36:PHAX:THG1L:RARS:RPL26L1:FARS2:EEF1E1:CDKAL1:TAF11:MTO1:RARS2:QRSL1:GTF3C6:RPF2:TRMT11:ADAT2:LTV1:TFB1M:GTF2H5:FTSJ2:HNRNPA2B1:TYW1:CPSF4:DUS4L:METTL2B:INTS10:ELP3:INTS9:MAK16:CHD7:POP1:TRMT12:CPSF1:RPL8:SNAPC3:POLR1E:NCBP1:TEX10:RPL35:TRUB2:EXOSC2:SNAPC4:FTSJ1:SUV39H1:TSR2:LAS1L:CSTF2:TRMT2B:RNF113A:UTP14A:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NCRNA_METABOLIC_PROCESS
GO_NCRNA_PROCESSING	382	156	1.56937942288e-41	2.32058903997e-38	EXOSC10:MRTO4:UTP11L:TRIT1:EBNA1BP2:ERI3:TRMT13:WDR3:INTS3:ISG20L2:RNASEL:TSEN15:INTS7:DDX21:RPP30:NPM3:NOLC1:PDCD11:TRUB1:RPL27A:METTL15:NAT10:RPS3:INTS4:FDXACB1:PUS3:RPUSD4:RPS26:PA2G4:METTL1:RPLP0:POP5:DHX37:EXOSC8:UTP14C:OSGEP:METTL3:RPS29:TRMT5:FCF1:MTFMT:RPLP1:RPS17:RPS17L:MRPS11:ERI2:USB1:CIRH1A:NOB1:KARS:MPHOSPH6:RPL13:GEMIN4:TSR1:METTL16:PELP1:RPL26:RPL23A:UTP6:RPL27:UTP18:INTS2:METTL2A:FTSJ3:NOL11:TSEN54:DUS1L:RPL17:ELAC1:RBFA:RPL36:RPS16:RPS19:RPL18:RPS9:RPS5:DDX1:TRMT61B:TPRKB:IMP4:SSB:WDR75:NOP58:WDR12:RPL37A:DIS3L2:MTERFD2:NOP56:TRMT6:CDK5RAP1:TP53RK:MOCS3:RRP1B:DGCR8:RPL3:TRNT1:RPUSD3:TSEN2:RPL32:RPSA:EXOSC7:RRP9:RPL29:RPP14:TRMT10C:TRMT10A:INTS12:RPL34:GAR1:EXOSC9:LSM6:FRG1:NSUN2:SKIV2L2:UTP15:RPS23:RIOK2:WDR36:THG1L:RPL26L1:FARS2:CDKAL1:MTO1:RPF2:TRMT11:ADAT2:LTV1:TFB1M:GTF2H5:FTSJ2:HNRNPA2B1:TYW1:CPSF4:DUS4L:METTL2B:INTS10:ELP3:INTS9:MAK16:CHD7:POP1:TRMT12:CPSF1:RPL8:TEX10:RPL35:TRUB2:EXOSC2:FTSJ1:SUV39H1:TSR2:LAS1L:CSTF2:TRMT2B:RNF113A:UTP14A:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NCRNA_PROCESSING
GO_DNA_METABOLIC_PROCESS	745	233	2.78925185366e-38	3.09328030571e-35	DFFB:APITD1:DFFA:MTOR:FBXO6:RBBP4:CLSPN:PPIE:MUTYH:NASP:NFIA:CDC7:PRMT6:CHD1L:TDRKH:INTS3:UCHL5:DTL:CENPF:LIN9:PARP1:SPRTN:EXO1:FBXO18:KIN:DNA2:SUPV3L1:HELLS:SFR1:DCLRE1A:NSMCE4A:BCCIP:MGMT:NUP98:FANCF:ALKBH3:SSRP1:FAM111A:POLR2G:POLA2:BANF1:RBM14:POLD3:RPS3:MRE11A:USP28:CHEK1:NFRKB:RAD52:RAD51AP1:RECQL:CDK2:NABP2:TIMELESS:PRIM1:XRCC6BP1:UBE2N:SYCP3:EID3:ALKBH2:UNG:RFC5:GTF2H3:RAN:POLE:HMGB1:BRCA2:LIG4:TTC5:PARP2:SUPT16H:REC8:POLE2:MNAT1:RAD51B:TDP1:FAN1:AQR:DUT:USP3:TIPIN:FANCI:POLG:TICRR:BLM:UBE2I:NTHL1:NSMCE1:POLR2C:GINS3:ACD:PRMT7:RFWD3:USP10:GINS2:CDT1:SMG6:MYBBP1A:USP43:NT5M:TOP3A:TEFM:RAD51D:CDC6:TOP2A:BRCA1:PHB:EME1:NME1:RAD51C:SUMO2:THOC1:TYMS:RBBP8:RNF138:CHAF1A:DNMT1:ERCC2:ERCC1:PPP5C:TRIM28:RNASEH1:DDX1:SMC6:MSH2:MSH6:FANCL:POLE4:TSN:ERCC3:WDR33:POLR2D:MCM6:PMS1:NABP1:HSPD1:ORC2:SUMO1:BARD1:XRCC5:SMARCAL1:COPS7B:COPS8:ING5:PCNA:GINS1:CHAF1B:HMGN1:SUMO3:SMARCB1:CHEK2:H1F0:POLR2F:DMC1:APOBEC3G:MOV10L1:RAD18:MLH1:CDC25A:ATRIP:UBA7:HEMK1:VPRBP:PARP3:POLQ:PARP9:RUVBL1:ISY1:MBD4:ASTE1:HLTF:ACTL6A:POLR2H:RFC4:SLBP:WHSC1:RFC1:SLC30A9:COPS4:GAR1:SMARCA5:MND1:NEIL3:CASP3:PRIMPOL:RAD1:FBXO4:ERCC8:RAD17:GTF2H2C:GTF2H2:POLK:XRCC4:ANKRD32:GIN1:HIST1H4I:HMGA1:FANCE:SRPK1:RNF8:MCM3:PRIM2:ORC3:MMS22L:GTF2H5:EEPD1:POLD2:PPIA:RFC2:SHFM1:C7orf76:COPS6:POT1:SSBP1:XRCC2:PAXIP1:PINX1:WRN:GINS4:MCM4:DSCC1:TATDN1:TOP1MT:FANCC:INIP:POLE3:ABL1:RBBP7:POLA1:SMC1A:AIFM1:HMGB3:DKC1:BRCC3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_METABOLIC_PROCESS
GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	434	157	3.07710408965e-34	2.73000674834e-31	EXOSC10:MRTO4:SRSF10:GNL2:SF3A3:UTP11L:EBNA1BP2:ERI3:PTBP2:WDR77:DDX20:WDR3:ISG20L2:RNASEL:SNRPE:EIF2D:NVL:GTPBP4:CDC123:PRPF18:DDX21:RPP30:NPM3:NOLC1:PDCD11:EIF3F:RPL27A:METTL15:NAT10:MRPL11:RPS3:CLNS1A:FDXACB1:RPS26:PA2G4:SNRPF:SART3:RPLP0:DENR:DHX37:RAN:EXOSC8:NUFIP1:UTP14C:RPS29:FCF1:PATL2:RPLP1:SNUPN:RPS17:RPS17L:MRPS11:TICRR:RRN3:ERI2:EIF3CL:EIF3C:OGFOD1:PRMT7:CIRH1A:NIP7:NOB1:MPHOSPH6:RPL13:GEMIN4:TSR1:METTL16:PELP1:RPL26:RPL23A:UTP6:NLE1:AATF:RPL27:UTP18:SRSF1:FTSJ3:NOL11:SNRPD1:RPL17:RBFA:RPL36:EIF3G:EIF3K:RPS16:RPS19:SNRPD2:RPL18:RPS9:RPS5:DDX1:GEMIN6:XPO1:SNRNP200:POLR2D:IMP4:WDR75:NOP58:WDR12:FASTKD2:RPL37A:DIS3L2:MTERFD2:NOP56:AAR2:RRP1B:SNRPD3:SF3A1:EIF3D:RPL3:RPL32:LSM3:RPSA:EXOSC7:USP4:RRP9:RPL29:GNL3:RPP14:SHQ1:ISY1:LSG1:SDAD1:RPL34:GAR1:EXOSC9:LSM6:FRG1:BRIX1:SKIV2L2:SMN2:UTP15:RPS23:RIOK2:WDR36:RPL26L1:NOP16:CDC40:RPF2:LTV1:TFB1M:GTF2H5:FTSJ2:MALSU1:EIF4H:NOM1:MAK16:CHD7:RPL8:TEX10:RPL35:EXOSC2:DDX31:SUV39H1:TSR2:LAS1L:UTP14A:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS
GO_AMIDE_BIOSYNTHETIC_PROCESS	495	168	1.32310520003e-32	9.78215777889e-30	MRTO4:MRPS15:EIF2B3:PARS2:ST6GALNAC3:WARS2:MRPS21:TARS2:MRPL9:GBA:DAP3:SLC25A44:MRPL24:DARS2:MRPS14:EIF2D:EPRS:IARS2:DEGS1:CDC123:SLC25A16:PPA1:SLC25A22:MRPL23:SMPD1:MRPL17:EIF3F:RPL27A:EIF4G2:MRPL16:MRPL11:MRPL48:RPS3:NARS2:FDXACB1:MRPL51:MRPS35:YARS2:CERS5:RPS26:MRPL42:SLC25A3:GCN1L1:RPLP0:DENR:EIF2B1:GTF2H3:MRP63:MTIF3:MRPS31:SLC25A15:RPS29:RPL36AL:MTHFD1:DEGS2:AKT1:MTFMT:RPLP1:RPS17:RPS17L:MRPL46:MRPS11:TICRR:NMRAL1:EEF2K:EARS2:EIF3CL:EIF3C:KARS:RPL13:SLC25A35:RPL26:RPL23A:MRPL45:RPL27:EFTUD2:MRPS23:ICT1:RPL17:CNDP2:PTBP1:RPL36:EIF3G:MRPL4:EIF3K:RPS16:RPS19:RPL18:RPS9:RPS5:CAD:MTIF2:MRPL19:PTCD3:MRPL35:MRPS5:SSB:MARS2:CPS1:ATIC:RPL37A:FARSB:MRPS26:MRPL39:GART:MRPS6:SLC25A1:EIF3D:RPL3:SLC25A17:RPL32:MRPS25:RPSA:LARS2:SLC25A20:QARS:RPL29:SLC25A26:EEFSEC:MRPL3:GFM1:RPL22L1:EIF2B5:GUF1:MRPL1:PPA2:AIMP1:RPL34:MGST2:PET112:SLC25A4:MRPS30:DHX29:GTF2H2:MRPS27:GFM2:DHFR:RPS23:ETF1:RARS:RPL26L1:FARS2:EEF1E1:CDKAL1:MRPS10:RARS2:QRSL1:SMPD2:GGCT:MRPL32:COA1:MRPS24:EIF4H:SLC25A13:MRPS33:EIF4EBP1:MRPL15:MRPS28:MRPL13:RPL8:SPTLC1:UGCG:MRRF:RPL35:MRPS2:SLC25A6:FTSJ1:SLC25A5:SLC25A14	http://www.broadinstitute.org/gsea/msigdb/cards/GO_AMIDE_BIOSYNTHETIC_PROCESS
GO_SINGLE_ORGANISM_BIOSYNTHETIC_PROCESS	1332	333	3.1739029087e-32	2.01134761471e-29	NADK:FAM213B:ACOT7:ENO1:NMNAT1:PGD:MTOR:PLOD1:DHDDS:MECR:AK2:MRPS15:CTPS1:DPH2:B4GALT2:MMACHC:AKR1A1:PIK3R3:ALG6:ACADM:ST6GALNAC3:PIGK:ABCD3:DPH5:AMPD2:ATP5F1:MRPS21:TARS2:MRPL9:PMVK:GBA:DAP3:MRPL24:PIGM:ALDH9A1:UCK2:NME7:PIGC:DARS2:MRPS14:DTL:DEGS1:ADCK3:ARV1:GNPAT:SPRTN:ADSS:IDI1:AKR1C3:ATP5C1:DNA2:ADK:ALDH18A1:PGAM1:COX15:SCD:GPAM:PTDSS2:MRPL23:PGAP2:SMPD1:MRPL17:FAR1:CYP2R1:APIP:PDHX:EXT2:PTPMT1:MRPL16:FADS2:FADS1:B3GNT1:MRPL11:GSTP1:DHCR7:INPPL1:MRPL48:LIPT2:POLD3:ALG8:MRE11A:MTMR2:AASDHPPT:ALG9:ALG9:DLAT:DPAGT1:NDUFA9:MRPL51:GAPDH:TPI1:LPCAT3:MRPS35:YARS2:CERS5:ATP5G2:ATP5B:SHMT2:MRPL42:MMAB:RFC5:COQ5:EIF2B1:CRYL1:MRP63:MTIF3:ALG5:MRPS31:SLC25A15:SUCLA2:SPTSSA:POLE2:DDHD1:SGPP1:MTHFD1:DEGS2:AKT1:ADAL:SORD:DUT:PIGB:PTPLAD1:HEXA:STARD5:MRPL46:MRPS11:NME4:PGP:NMRAL1:COQ7:ACSM1:EARS2:QPRT:GOT2:HSD11B2:ACD:HAS3:KARS:USP10:GINS2:APRT:SRR:ENO3:PFAS:USP43:COX10:PEMT:SHMT1:TEFM:PIGW:MRPL45:PGAP3:ACLY:BRCA1:ATP5G1:XYLT2:NME1:NME1-NME2:MRPS23:ICT1:GRB2:PRPSAP1:AFMID:PGS1:FASN:TYMS:VAPA:MPPE1:ATP5A1:ACAA2:PIGN:GAMT:CSNK1G2:MRPL4:MRI1:TECR:ISYNA1:GPI:BCAT2:GYS1:SLC27A5:ADI1:CAD:LCLAT1:MTIF2:MDH1:UGP2:MRPL19:SUCLG1:MAT2A:PTCD3:MRPL35:MRPS5:GPAT2:INSIG2:ATP5G3:CPS1:ATIC:PECR:ACSL3:B3GNT7:INPP5D:MTERFD2:MRPS26:PANK2:PCNA:ACSS1:GINS1:NANP:AHCY:PIGU:FITM2:ADA:PIGT:MOCS3:MRPL39:ATP5J:GART:ATP5O:MRPS6:PIGP:CECR5:SLC25A1:CHCHD10:ADSL:TAMM41:MRPS25:XYLB:SACM1L:IMPDH2:UBA7:GLT8D1:TKT:PDHB:UMPS:MRPL3:NMNAT3:PLSCR1:GYG1:GMPS:GFM1:PLD1:ALG3:RFC4:PCYT1A:BDH1:PIGG:SLBP:FGFR3:PGM2:RFC1:SRD5A3:PPAT:PAICS:MRPL1:ENOPH1:PLA2G12A:GAR1:MGST2:PET112:CBR4:DCTD:PRIMPOL:SRD5A1:PRKAA1:MRPS30:MOCS2:MRPS27:GFM2:HMGCR:POLK:DHFR:HSD17B4:SLC35B3:NHLRC1:MBOAT1:HSD17B8:MRPS10:SLC35B2:ELOVL5:MB21D1:RARS2:QRSL1:PDSS2:SMPD2:FIG4:MPC1:MRPL32:MRPS24:POLD2:GBAS:PSPH:RFC2:MDH2:SLC25A13:DLD:POT1:IMPDH1:MRPS33:AGPAT5:PINX1:CSGALNACT1:DDHD2:AGPAT6:MRPL15:RDH10:MRPS28:PTDSS1:AZIN1:MRPL13:SQLE:AK3:ACER2:MTAP:FXN:SPTLC1:OGN:NANS:ALG2:UGCG:MRRF:UCK1:MRPS2:INPP5E:HDHD1:PRPS2:PDHA1:UPRT:PGK1:PRPS1:ACSL4:HPRT1:TAZ:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SINGLE_ORGANISM_BIOSYNTHETIC_PROCESS
GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1010	272	6.18231181594e-32	3.42809190194e-29	NADK:ACOT7:NMNAT1:MTOR:PLOD1:MRTO4:AK2:MRPS15:CTPS1:B4GALT2:EIF2B3:MMACHC:AKR1A1:PARS2:ACADM:ST6GALNAC3:AMPD2:ATP5F1:WARS2:MRPS21:TARS2:MRPL9:GBA:DAP3:SLC25A44:MRPL24:ALDH9A1:UCK2:NME7:DARS2:MRPS14:EIF2D:EPRS:IARS2:DEGS1:ADSS:ATP5C1:CDC123:SLC25A16:PPA1:ADK:ALDH18A1:COX15:PTDSS2:SLC25A22:MRPL23:SMPD1:MRPL17:EIF3F:RPL27A:EIF4G2:APIP:EXT2:MRPL16:B3GNT1:MRPL11:GSTP1:MRPL48:RPS3:NARS2:AASDHPPT:FDXACB1:MRPL51:MRPS35:YARS2:CERS5:ATP5G2:RPS26:ATP5B:SHMT2:MRPL42:SLC25A3:MMAB:GCN1L1:RPLP0:DENR:EIF2B1:GTF2H3:MRP63:MTIF3:MRPS31:SLC25A15:SUCLA2:SPTSSA:RPS29:RPL36AL:SGPP1:MTHFD1:DEGS2:AKT1:ADAL:DUT:MTFMT:RPLP1:HEXA:RPS17:RPS17L:MRPL46:MRPS11:TICRR:NME4:NMRAL1:EEF2K:EARS2:EIF3CL:EIF3C:QPRT:GOT2:HAS3:KARS:APRT:RPL13:SRR:PFAS:SLC25A35:RPL26:COX10:PEMT:SHMT1:RPL23A:MRPL45:RPL27:EFTUD2:ATP5G1:XYLT2:NME1:NME1-NME2:MRPS23:ICT1:AFMID:TYMS:VAPA:ATP5A1:RPL17:CNDP2:PTBP1:GAMT:CSNK1G2:RPL36:EIF3G:MRPL4:MRI1:EIF3K:RPS16:RPS19:RPL18:BCAT2:RPS9:RPS5:ADI1:CAD:MTIF2:MRPL19:MAT2A:PTCD3:MRPL35:MRPS5:SSB:ATP5G3:MARS2:CPS1:ATIC:RPL37A:FARSB:B3GNT7:MRPS26:PANK2:AHCY:ADA:MOCS3:MRPL39:ATP5J:GART:ATP5O:MRPS6:SLC25A1:CHCHD10:EIF3D:RPL3:ADSL:SLC25A17:RPL32:MRPS25:RPSA:LARS2:SLC25A20:IMPDH2:QARS:RPL29:SLC25A26:UMPS:EEFSEC:MRPL3:NMNAT3:PLSCR1:GMPS:GFM1:RPL22L1:EIF2B5:PCYT1A:QDPR:GUF1:PPAT:PAICS:MRPL1:ENOPH1:PPA2:AIMP1:RPL34:MGST2:PET112:DCTD:SLC25A4:MRPS30:MOCS2:DHX29:GTF2H2:MRPS27:GFM2:DHFR:RPS23:PCBD2:ETF1:RARS:RPL26L1:FARS2:EEF1E1:SLC35B3:CDKAL1:MRPS10:SLC35B2:RARS2:QRSL1:SMPD2:GGCT:MRPL32:COA1:MRPS24:GBAS:PSPH:EIF4H:SLC25A13:IMPDH1:MRPS33:CSGALNACT1:EIF4EBP1:AGPAT6:MRPL15:MRPS28:PTDSS1:AZIN1:MRPL13:RPL8:AK3:ACER2:MTAP:FXN:SPTLC1:OGN:UGCG:MRRF:RPL35:UCK1:MRPS2:SLC25A6:HDHD1:SMS:FTSJ1:UPRT:PRPS1:SLC25A5:SLC25A14:HPRT1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS
GO_MRNA_METABOLIC_PROCESS	601	188	4.76625955767e-31	2.34923637754e-28	TARDBP:EXOSC10:MRTO4:HNRNPR:SRSF10:SRSF4:SF3A3:PPIE:PPIH:SRSF11:ZRANB2:PTBP2:RBM15:WDR77:DDX20:MOV10:BCAS2:TTF2:RBM8A:RNASEL:DHX9:TSEN15:SNRPE:RBM17:KIN:PRPF18:MTPAP:CSTF2T:HNRNPH3:CCAR1:SUPV3L1:PDCD11:TRUB1:RPL27A:POLR2G:SF3B2:RBM4B:RPS3:CLNS1A:CWC15:DCPS:ZCRB1:RPS26:PAN2:CPSF6:SNRPF:SART3:RPLP0:GTF2H3:PSPC1:EXOSC8:GTF2F2:HNRNPC:METTL3:PABPN1:RPS29:MNAT1:CPSF2:AQR:PATL2:RPLP1:SNUPN:RPS17:RPS17L:SNRPA1:RNPS1:PARN:FUS:NUDT21:POLR2C:USB1:EDC4:PRMT7:SF3B3:RPL13:GEMIN4:SMG6:RPL26:RPL23A:RPL27:EFTUD2:SRSF1:SMG8:TSEN54:SRSF2:THOC1:SNRPD1:RPL17:PTBP1:RPL36:KHSRP:HNRNPM:SUGP2:GPATCH1:RPS16:SNRPA:RPS19:ERCC2:SNRPD2:RPL18:ZNF473:PPP2R1A:RPS9:U2AF2:RPS5:CPSF3:NBAS:DDX1:SF3B14:SRSF7:GEMIN6:PNPT1:SNRNP200:ERCC3:IWS1:WDR33:POLR2D:PRPF40A:SSB:CWC22:RPL37A:DIS3L2:SNRPB2:RALY:AAR2:CTNNBL1:DHX35:CSTF1:U2AF1:SNRPD3:THOC5:SF3A1:POLR2F:RPL3:TSEN2:RPL32:LSM3:MLH1:RPSA:EXOSC7:USP4:RPL29:PDE12:ISY1:DBR1:RSRC1:POLR2H:DNAJB11:NCBP2:SLBP:DHX15:RPL34:METTL14:EXOSC9:LSM6:PLRG1:FRG1:SKIV2L2:SMN2:GTF2H2:PTCD2:RPS23:ETF1:RPL26L1:DDX41:HNRNPH1:SRPK1:SRSF3:PPIL1:RNGTT:CDC40:GTF2H5:HNRNPA2B1:LSM5:CPSF4:NAA38:CCAR2:CPSF1:RPL8:NCBP1:PRPF4:RPL35:EXOSC2:CSTF2:RBM41:UPF3B:RNF113A:RBMX:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MRNA_METABOLIC_PROCESS
GO_DNA_REPAIR	473	160	6.35845963065e-31	2.82061269216e-28	APITD1:MTOR:FBXO6:CLSPN:PPIE:MUTYH:CDC7:PRMT6:CHD1L:INTS3:UCHL5:DTL:PARP1:SPRTN:EXO1:FBXO18:KIN:DNA2:SFR1:DCLRE1A:NSMCE4A:BCCIP:MGMT:FANCF:ALKBH3:SSRP1:POLR2G:RBM14:POLD3:RPS3:MRE11A:USP28:CHEK1:NFRKB:RAD52:RAD51AP1:RECQL:CDK2:NABP2:XRCC6BP1:UBE2N:EID3:ALKBH2:UNG:RFC5:GTF2H3:POLE:HMGB1:BRCA2:LIG4:TTC5:PARP2:SUPT16H:REC8:POLE2:MNAT1:RAD51B:TDP1:FAN1:AQR:USP3:FANCI:POLG:TICRR:BLM:UBE2I:NTHL1:NSMCE1:POLR2C:RFWD3:USP10:GINS2:USP43:TOP3A:RAD51D:BRCA1:EME1:RAD51C:SUMO2:RBBP8:RNF138:CHAF1A:ERCC2:ERCC1:PPP5C:TRIM28:DDX1:SMC6:MSH2:MSH6:FANCL:ERCC3:WDR33:POLR2D:PMS1:NABP1:SUMO1:BARD1:XRCC5:COPS7B:COPS8:PCNA:CHAF1B:HMGN1:SUMO3:SMARCB1:CHEK2:POLR2F:DMC1:RAD18:MLH1:ATRIP:UBA7:PARP3:POLQ:PARP9:RUVBL1:ISY1:MBD4:ASTE1:HLTF:ACTL6A:POLR2H:RFC4:WHSC1:RFC1:SLC30A9:COPS4:SMARCA5:NEIL3:PRIMPOL:RAD1:ERCC8:RAD17:GTF2H2C:GTF2H2:POLK:XRCC4:ANKRD32:HIST1H4I:HMGA1:FANCE:RNF8:MMS22L:GTF2H5:EEPD1:POLD2:RFC2:SHFM1:C7orf76:COPS6:XRCC2:PAXIP1:WRN:GINS4:FANCC:INIP:ABL1:POLA1:SMC1A:BRCC3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_REPAIR
