GO Accession No.,No. Different Genes, No.Total Genes,Hard Trimmed?,Soft Trimmed?
GO:0000070,180,765,,
GO:0000278,255,1308,,
GO:0000819,223,1076,,
GO:0006119,92,361,,
GO:0006259,48,129,,
GO:0006281,74,269,,
GO:0006396,57,175,,
GO:0006414,43,109,,
GO:0006415,144,745,,
GO:0006521,170,945,,
GO:0006974,107,493,,
GO:0007005,102,460,,
GO:0007049,121,592,,
GO:0007059,63,226,,
GO:0007346,267,1772,,
GO:0010564,134,711,,
GO:0022402,40,110,,
GO:0022900,262,1752,,
GO:0032543,36,93,,
GO:0033108,42,122,,
GO:0033238,55,192,,
GO:0033554,111,557,,
GO:0034660,99,473,,
GO:0042590,35,91,,
GO:0043624,68,273,,
GO:0044281,35,92,,
GO:0044770,45,142,,
GO:0045333,29,66,,
GO:0048285,38,107,,
GO:0051276,234,1550,,
GO:0051301,54,195,,
GO:0051340,96,467,,
GO:0051351,67,279,,
GO:0051726,142,822,,
GO:0098813,162,982,,
GO:0140014,30,76,,
GO:1901564,102,528,,
GO:1901987,72,321,,
GO:1903320,42,139,,
GO:1903321,60,254,,
GO:1903322,30,83,,
GO:1903362,31,88,,
GO:1903364,26,65,,
