GO Accession No.,No. Different Genes, No.Total Genes,Hard Trimmed?,Soft Trimmed?
GO:1903034,8,27,,YES
GO:1903555,36,340,,YES
GO:1903035,33,299,,
GO:0051240,17,99,,YES
GO:1902624,12,58,,
GO:0002274,21,57,,
GO:0002275,72,602,,
GO:0051480,26,202,,
GO:1902622,31,272,,
GO:1903557,78,974,,
GO:0046649,10,32,,
GO:0006954,51,412,,
GO:0006952,51,412,,
GO:0001775,131,1194,,
GO:0045087,45,417,,
GO:0048870,8,21,,YES
GO:0009617,45,369,,
GO:0043062,37,305,,
GO:0045321,29,214,,
GO:0002703,24,109,,
GO:0042330,118,1505,,
GO:0001817,67,451,,YES
GO:0006909,84,860,,
GO:0001819,114,1048,,
GO:0050866,17,94,,
GO:0050867,48,480,,
GO:0050900,46,454,,
GO:0050865,6,12,,
GO:0055094,52,558,,
GO:0034097,83,924,,YES
GO:0036230,26,162,,
GO:1901623,35,324,,
GO:0002682,77,709,,
GO:0002683,61,502,,
GO:0006887,96,1018,,
GO:0002684,59,478,,YES
GO:0002685,104,1103,,
GO:0002444,68,564,,
GO:0051049,57,620,,
GO:0002237,173,1924,,
GO:0006955,24,117,,
GO:0045055,35,285,,YES
GO:0051241,17,99,,
GO:0071310,7,20,,YES
GO:0032103,113,1388,,
GO:0032940,58,556,,YES
GO:0032101,38,293,,
GO:0051924,14,73,,
GO:0097529,17,105,,YES
GO:0032102,15,58,,
GO:0033993,105,1262,,
GO:0042108,25,156,,
GO:0022617,20,96,,
GO:0002690,29,149,,
GO:0090022,130,1840,,
GO:0002252,132,1358,,
GO:0002693,39,257,,
GO:0009605,28,163,,
GO:0042742,25,160,,
GO:0002376,60,458,,
GO:0022610,52,463,,
GO:0002576,25,100,,
GO:0006897,25,120,,YES
GO:0002687,85,829,,
GO:0006968,79,814,,
GO:0097530,26,208,,YES
GO:0002688,147,1783,,
GO:0043085,30,221,,
GO:0006928,22,98,,YES
GO:0071345,73,884,,
GO:0002407,48,320,,
GO:0030155,26,155,,
GO:0030595,18,81,,
GO:0050727,8,21,,YES
GO:0050728,9,27,,
GO:0071622,14,75,,YES
GO:0036336,76,825,,
GO:0050921,8,24,,YES
GO:2000404,10,43,,
GO:0044093,24,156,,YES
GO:0050920,55,587,,YES
GO:2000401,15,88,,
GO:0040017,135,1776,,
GO:0040011,12,39,,YES
GO:0050818,11,41,,
GO:0009611,29,179,,YES
GO:0042035,43,368,,
GO:0051270,129,1795,,YES
GO:0060326,74,898,,
GO:0048584,69,768,,YES
GO:0009607,146,1887,,
GO:0051345,10,38,,
GO:0010959,39,296,,
GO:0071216,7,20,,
GO:0050776,7,16,,
