GO:0006325,295,1412
GO:0006396,75,226
GO:0006401,335,1660
GO:0006413,43,103
GO:0006605,115,434
GO:0006612,351,1792
GO:0006886,177,775
GO:0007010,52,143
GO:0008104,254,1225
GO:0009056,54,156
GO:0009057,76,261
GO:0010608,197,914
GO:0010629,141,601
GO:0016071,262,1305
GO:0016072,44,122
GO:0016569,72,252
GO:0019058,176,822
GO:0021915,81,303
GO:0022613,91,357
GO:0030031,89,351
GO:0030099,98,403
GO:0033365,91,373
GO:0034248,104,445
GO:0034249,99,425
GO:0034470,91,382
GO:0034660,138,654
GO:0042254,134,639
GO:0044248,71,289
GO:0044419,114,528
GO:0045184,118,552
GO:0050853,312,1750
GO:0051172,171,875
GO:0051276,270,1500
GO:0051649,51,196
GO:0061024,37,131
GO:0070727,15,35
GO:0070972,184,982
GO:0071826,159,828
GO:0072594,40,149
GO:0072599,61,263
GO:0072657,260,1481
GO:0090150,47,189
GO:1901361,73,334
