GO:0001775,131,1194
GO:0001817,67,451
GO:0001819,114,1048
GO:0002237,173,1924
GO:0002274,132,1358
GO:0002376,21,57
GO:0002682,72,602
GO:0002683,60,458
GO:0002684,48,320
GO:0002685,68,564
GO:0002687,25,100
GO:0002688,77,709
GO:0002690,61,502
GO:0006897,59,478
GO:0006928,104,1103
GO:0006952,85,829
GO:0006954,147,1783
GO:0006955,29,149
GO:0006968,39,257
GO:0009605,24,109
GO:0009607,96,1018
GO:0009617,25,120
GO:0022610,84,860
GO:0030595,22,98
GO:0032101,51,412
GO:0032103,51,412
GO:0034097,24,117
GO:0040011,79,814
GO:0042330,28,163
GO:0044093,146,1887
GO:0045321,29,179
GO:0048584,45,369
GO:0048870,39,296
GO:0050727,52,463
GO:0050776,20,96
GO:0050865,26,155
GO:0050900,18,81
GO:0050920,38,293
GO:0050921,15,58
GO:0051240,113,1388
GO:0060326,58,556
GO:0071216,105,1262
GO:0071345,83,924
GO:0071622,26,162
GO:1903034,76,825
GO:1903035,12,39
GO:1903555,135,1776
GO:1903557,43,368
