GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_MITOTIC_CELL_CYCLE	765	180	1.56247865698e-32	6.93115532236e-29	MAD2L2:NUDC:PSMB2:CDCA8:CDC20:KIF2C:STIL:ORC1:PSRC1:PSMA5:PSMB4:IQGAP3:PRCC:NUF2:NEK2:MCM10:MASTL:ITGB1:ZWINT:CDK1:BTRC:FBXL15:BUB3:TUBGCP2:PSMD13:PIDD:RRM1:PSMA1:PSMA1:E2F8:KIF18A:PSMC3:TNKS1BP1:CDCA5:CEP164:FOXM1:NCAPD2:CDCA3:EPS8:RACGAP1:ESPL1:DCTN2:CDK4:E2F7:NUP37:TRIAP1:DYNLL1:CHFR:BORA:HAUS4:PSMB5:PSME2:PSMC6:CDKN3:DLGAP5:PSMA3:BUB1B:KNSTRN:OIP5:NUSAP1:CCNB2:KIF23:BBS4:PRC1:E4F1:CCNF:PKMYT1:PLK1:KDM8:KIF22:ORC6:CNEP1R1:KATNB1:PSMB10:VPS4A:PSMD7:CENPN:CNTROB:AURKB:SPAG5:PSMD11:PSMB3:PSMD3:TUBG1:KIF18B:CLTC:PSMD12:NUP85:RECQL5:CDK3:BIRC5:CHMP6:AZI1:ANAPC11:STRA13:NDC80:PSMG2:SKA1:SPC24:HAUS8:CCNE1:WDR62:PSMD8:PSMC4:CALM3:LIG1:NUP62:RRM2:CALM2:NCAPH:BUB1:ORC4:PSMD14:SPC25:RQCD1:PSMD1:CDC25B:TPX2:DSN1:MYBL2:UBE2C:AURKA:RAE1:PSMA7:RTEL1:CDC45:KLHL22:MCM5:NUP50:GTSE1:TADA3:XPC:AZI2:CNOT10:PSMD6:UBA3:NAA50:MCM2:NCAPG:EIF4E:CENPE:CCNA2:CEP72:CCNB1:CDK7:SKP1:KIF20A:CDC25C:CNOT8:KIF4B:PTTG1:HMMR:KIFC1:TTK:CENPW:KATNA1:FBXO5:FGFR1OP:PSMB1:MAD1L1:RPA3:MPLKIP:DBF4:MCM7:ORC5:ZC3HC1:NCAPG2:BIN3:CDCA2:PBK:RRS1:CCNE2:NSMCE2:DCTN3:MELK:PSMD5:PPP2R4:FBXW5:KIF4A:PSMD10:HAUS7	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MITOTIC_CELL_CYCLE
GO_CELL_CYCLE	1308	255	2.1757852378e-31	3.30084212691e-28	MAD2L2:AUNIP:RPS6KA1:NUDC:PSMB2:CDCA8:CDC20:KIF2C:RAD54L:STIL:ORC1:DHCR24:PSRC1:PSMA5:DCLRE1B:PSMB4:CKS1B:LAMTOR2:IQGAP3:PRCC:NUF2:CENPL:NEK2:MCM10:MASTL:ITGB1:ZWINT:CDK1:AVPI1:BTRC:FBXL15:BUB3:MKI67:TUBGCP2:PSMD13:PIDD:RRM1:TRIM21:PSMA1:PSMA1:E2F8:KIF18A:PSMC3:TNKS1BP1:CDCA5:LAMTOR1:CEP164:H2AFX:TBRG1:FOXM1:RHNO1:NCAPD2:ING4:CDCA3:EPS8:PRKAG1:RACGAP1:ESPL1:DCTN2:CDK4:E2F7:GAS2L3:NUP37:PRKAB1:RAB35:TRIAP1:DYNLL1:CHFR:BORA:ING1:HAUS4:PSMB5:PSME2:PSMC6:CDKN3:DLGAP5:PSMA3:ERH:CINP:XRCC3:BUB1B:KNSTRN:RAD51:ZFYVE19:OIP5:NUSAP1:CCNB2:NOX5:KIF23:BBS4:PRC1:CHTF18:E4F1:CCNF:PKMYT1:PLK1:KDM8:KIF22:TAOK2:ORC6:CNEP1R1:KATNB1:PSMB10:CHTF8:CHTF8:VPS4A:PSMD7:CENPN:FANCA:CNTROB:AURKB:SPAG5:PSMD11:GAS2L2:PSMB3:PSMD3:PSMC3IP:TUBG1:KIF18B:CLTC:PSMD12:NUP85:RECQL5:CDK3:BIRC5:CHMP6:AZI1:ANAPC11:STRA13:GPS1:NDC80:PSMG2:SKA1:PIN1:SPC24:CALR:GADD45GIP1:FAM32A:HAUS8:CCNE1:WDR62:PSMD8:PSMC4:CALM3:LIG1:NUP62:RRM2:CENPO:CALM2:USP39:NCAPH:SEPT10:BUB1:ACTR3:ORC4:PSMD14:SPC25:RQCD1:PSMD1:DTYMK:CDC25B:TPX2:DSN1:MYBL2:UBE2C:AURKA:RAE1:PSMA7:RTEL1:CDC45:KLHL22:MCM5:RANGAP1:CENPM:NUP50:GTSE1:ARL8B:TADA3:FANCD2:XPC:AZI2:CNOT10:PSMD6:UBA3:NAA50:MCM2:ECT2:MAEA:NCAPG:EIF4E:CENPE:CCNA2:CEP72:TRIP13:PELO:CKS1B:CENPK:CCNB1:CDK7:SKP1:KIF20A:CDC25C:HDAC3:CNOT8:KIF4B:PTTG1:HMMR:GMNN:KIFC1:CCND3:CENPQ:TTK:CENPW:KATNA1:FBXO5:WTAP:FGFR1OP:PSMB1:SUN1:MAD1L1:RPA3:MPLKIP:TBRG4:DBF4:MCM7:LAMTOR4:ALKBH4:ORC5:ZC3HC1:EZH2:NCAPG2:BIN3:CDCA2:ESCO2:PBK:RRS1:RAD54B:CCNE2:HRSP12:NSMCE2:DCTN3:FANCG:MELK:CKS2:CENPP:PSMD5:SLC2A8:PPP2R4:NTMT1:FBXW5:MRPL41:APEX2:KIF4A:CENPI:PSMD10:MCTS1:HAUS7:HCFC1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_CYCLE
GO_CELL_CYCLE_PROCESS	1076	223	2.23230982433e-31	3.30084212691e-28	MAD2L2:AUNIP:NUDC:PSMB2:CDCA8:CDC20:KIF2C:RAD54L:STIL:ORC1:DHCR24:PSRC1:PSMA5:DCLRE1B:PSMB4:LAMTOR2:IQGAP3:PRCC:NUF2:CENPL:NEK2:MCM10:MASTL:ITGB1:ZWINT:CDK1:BTRC:FBXL15:BUB3:MKI67:TUBGCP2:PSMD13:PIDD:PSMA1:PSMA1:KIF18A:PSMC3:TNKS1BP1:CDCA5:LAMTOR1:CEP164:H2AFX:TBRG1:FOXM1:RHNO1:NCAPD2:ING4:CDCA3:EPS8:PRKAG1:RACGAP1:ESPL1:DCTN2:CDK4:E2F7:GAS2L3:NUP37:PRKAB1:RAB35:TRIAP1:DYNLL1:CHFR:BORA:HAUS4:PSMB5:PSME2:PSMC6:CDKN3:DLGAP5:PSMA3:XRCC3:BUB1B:KNSTRN:RAD51:OIP5:NUSAP1:CCNB2:NOX5:KIF23:BBS4:PRC1:E4F1:CCNF:PKMYT1:PLK1:KDM8:KIF22:TAOK2:ORC6:CNEP1R1:KATNB1:PSMB10:VPS4A:PSMD7:CENPN:FANCA:CNTROB:AURKB:SPAG5:PSMD11:GAS2L2:PSMB3:PSMD3:TUBG1:KIF18B:CLTC:PSMD12:NUP85:RECQL5:CDK3:BIRC5:CHMP6:AZI1:ANAPC11:STRA13:NDC80:PSMG2:SKA1:SPC24:CALR:GADD45GIP1:HAUS8:CCNE1:WDR62:PSMD8:PSMC4:CALM3:LIG1:NUP62:RRM2:CENPO:CALM2:NCAPH:BUB1:ACTR3:ORC4:PSMD14:SPC25:RQCD1:PSMD1:CDC25B:TPX2:DSN1:MYBL2:UBE2C:AURKA:RAE1:PSMA7:RTEL1:CDC45:KLHL22:MCM5:RANGAP1:CENPM:NUP50:GTSE1:TADA3:FANCD2:XPC:CNOT10:PSMD6:NAA50:MCM2:ECT2:NCAPG:EIF4E:CENPE:CCNA2:CEP72:TRIP13:CENPK:CCNB1:CDK7:SKP1:KIF20A:CDC25C:HDAC3:CNOT8:KIF4B:PTTG1:HMMR:KIFC1:CENPQ:TTK:CENPW:KATNA1:FBXO5:FGFR1OP:PSMB1:SUN1:MAD1L1:RPA3:MPLKIP:TBRG4:DBF4:MCM7:LAMTOR4:ALKBH4:ORC5:ZC3HC1:EZH2:NCAPG2:BIN3:CDCA2:PBK:RRS1:RAD54B:CCNE2:HRSP12:NSMCE2:DCTN3:FANCG:MELK:CKS2:CENPP:PSMD5:SLC2A8:PPP2R4:NTMT1:FBXW5:KIF4A:CENPI:PSMD10:HAUS7	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_CYCLE_PROCESS
GO_MITOTIC_NUCLEAR_DIVISION	361	92	9.30825910519e-20	1.03228593477e-16	MAD2L2:NUDC:CDCA8:CDC20:KIF2C:PSRC1:NUF2:NEK2:MASTL:ZWINT:CDK1:BUB3:TUBGCP2:KIF18A:CDCA5:CEP164:NCAPD2:CDCA3:EPS8:RACGAP1:ESPL1:DCTN2:NUP37:CHFR:BORA:HAUS4:DLGAP5:BUB1B:KNSTRN:OIP5:NUSAP1:CCNB2:KIF23:PRC1:E4F1:CCNF:PKMYT1:PLK1:KIF22:KATNB1:VPS4A:CENPN:AURKB:SPAG5:KIF18B:CLTC:RECQL5:CDK3:BIRC5:CHMP6:ANAPC11:STRA13:NDC80:SKA1:SPC24:HAUS8:NUP62:NCAPH:BUB1:SPC25:CDC25B:TPX2:DSN1:MYBL2:UBE2C:AURKA:KLHL22:TADA3:NAA50:NCAPG:CENPE:CCNA2:CCNB1:CDC25C:KIF4B:PTTG1:KIFC1:CENPW:KATNA1:FBXO5:MAD1L1:MPLKIP:ZC3HC1:NCAPG2:CDCA2:PBK:RRS1:NSMCE2:DCTN3:FBXW5:KIF4A:HAUS7	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MITOTIC_NUCLEAR_DIVISION
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	77	37	2.74631859502e-19	2.4365338575e-16	PSMB2:CDC20:PSMA5:PSMB4:CDK1:BUB3:PSMD13:PSMA1:PSMA1:PSMC3:PSMB5:PSME2:PSMC6:PSMA3:BUB1B:PLK1:PSMB10:PSMD7:AURKB:PSMD11:PSMB3:PSMD3:PSMD12:ANAPC11:PSMA8:PSMD8:PSMC4:PSMD14:PSMD1:UBE2C:AURKA:PSMA7:PSMD6:CCNB1:PTTG1:PSMB1:PSMD5:PSMD10	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS
GO_REGULATION_OF_LIGASE_ACTIVITY	129	48	1.99578319408e-18	1.47554904149e-15	PARK7:MAD2L2:PSMB2:CDC20:PSMA5:PSMB4:MASTL:CDK1:BTRC:BUB3:PSMD13:PSMA1:PSMA1:PSMC3:DCUN1D5:PCID2:PSMB5:PSME2:PSMC6:PSMA3:XRCC3:BUB1B:AXIN1:STUB1:PLK1:PSMB10:PSMD7:PSMD11:PSMB3:PSMD3:PSMD12:ANAPC11:PSMA8:PIN1:PSMD8:PSMC4:GEN1:PSMD14:PSMD1:UBE2C:PSMA7:PSMD6:CCNB1:SKP1:FBXO5:PSMB1:PSMD5:MID1IP1:PSMD10	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_LIGASE_ACTIVITY
GO_CHROMOSOME_SEGREGATION	269	74	2.91784403452e-18	1.50100903327e-15	CEP85:NUDC:CDCA8:CDC20:KIF2C:PSRC1:NUF2:CENPL:NEK2:ZWINT:MMS19:BUB3:KIF18A:CDCA5:NCAPD2:RACGAP1:ESPL1:NUP37:DLGAP5:BUB1B:KNSTRN:NUSAP1:KIF23:PRC1:PLK1:KIF22:KATNB1:VPS4A:CENPN:AURKB:SPAG5:KIF18B:NUP85:RECQL5:BIRC5:CHMP6:STRA13:NDC80:SKA1:SPC24:CENPO:CIAO1:NCAPH:BUB1:ACTR3:SPC25:DSN1:KLHL22:TOP3B:RANGAP1:CENPM:ARL8B:FANCD2:NAA50:NCAPG:CENPE:TRIP13:CENPK:CCNB1:KIF4B:PTTG1:KIFC1:CENPQ:TTK:CENPW:SUN1:MAD1L1:CDCA2:ESCO2:RRS1:CENPP:NTMT1:KIF4A:CENPI	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME_SEGREGATION
GO_SISTER_CHROMATID_SEGREGATION	175	57	3.00665080555e-18	1.50100903327e-15	NUDC:CDCA8:CDC20:KIF2C:PSRC1:NUF2:CENPL:NEK2:ZWINT:BUB3:KIF18A:CDCA5:NCAPD2:RACGAP1:ESPL1:NUP37:DLGAP5:BUB1B:KNSTRN:NUSAP1:KIF23:PRC1:PLK1:KIF22:KATNB1:VPS4A:CENPN:AURKB:SPAG5:KIF18B:NUP85:BIRC5:CHMP6:NDC80:SKA1:SPC24:CENPO:NCAPH:BUB1:SPC25:DSN1:KLHL22:RANGAP1:CENPM:NAA50:NCAPG:CENPE:CENPK:CCNB1:KIF4B:KIFC1:CENPQ:MAD1L1:RRS1:CENPP:KIF4A:CENPI	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SISTER_CHROMATID_SEGREGATION
GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	1503	243	3.04532941826e-18	1.50100903327e-15	AURKAIP1:MRPL20:MAD2L2:AUNIP:ATPIF1:KIF2C:STIL:MRPL37:BCL10:CAPZA1:VPS72:CCT3:NDUFS2:CENPL:KLHL12:RBBP5:NEK2:SNAP47:ITGB1:CDK1:ADAMTS14:MICU1:MRPS16:MRPL43:TUBGCP2:PSMD13:TSPAN4:RRM1:TRIM21:KIF18A:IMMP1L:FERMT3:MRPL49:CFL1:NDUFV1:NDUFS8:TCIRG1:MRPL21:SERPINH1:ACAT1:PPP2R1B:TRAPPC4:H2AFX:HSPA8:FOXRED1:VAMP1:EPS8:RND1:RACGAP1:COX14:ESPL1:WIBG:DCTN2:CCT2:ARPC3:PRKAB1:TMEM120B:POMP:MTRF1:MRPL52:HAUS4:SRP54:TRAPPC6B:NDUFB1:KNSTRN:RAD51:GCHFR:OIP5:SNAP23:KIF23:PRC1:AXIN1:MRPS34:NDUFB10:CORO7:NDUFAB1:ALDOA:TRADD:VPS4A:COG4:CENPN:TRAPPC2L:FANCA:DVL2:AURKB:SCO1:ATPAF2:TNFAIP1:SPAG5:PSMD11:MED24:TUBG1:COA3:KIF18B:GOSR2:MRPL27:MRPS7:TK1:BIRC5:CHMP6:BAIAP2:MRPL12:STRA13:DCXR:GPS1:NDC80:PSMG2:NDUFS7:MRPL54:LONP1:CLPP:ECSIT:CALR:GADD45GIP1:ASF1B:NDUFB7:HAUS8:MRPL34:SDHAF1:WDR62:PSMD8:MRPS12:SHKBP1:NUP62:PPP6R1:RRM2:CENPO:PREB:MRPL33:CYP1B1:ADD2:MRPS9:CHCHD5:ACTR3:SPC25:NDUFB3:DES:MRPL44:ATG16L1:NDUFA10:MKKS:HM13:TPX2:UQCC1:NFS1:MYBL2:UBE2C:AURKA:N6AMT1:PFKL:MRPL40:P2RX6:IL2RB:PDXP:XRCC6:CENPM:NDUFA6:SCO2:ARPC4:RAF1:HACL1:NDUFAF3:APEH:ZMYND10:KCTD6:MCM2:ACAD9:MRPS22:ECT2:MRPL47:HES1:ADAMTS3:MRPS18C:CENPE:NDUFC1:HMGB2:CEP72:MRPL36:NDUFS6:CENPK:CCNB1:MRPS36:TBCA:SAR1B:CTNNA1:HDAC3:MRPL22:KIF4B:GMNN:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H4F:HIST1H3G:TRIM27:PFDN6:DAXX:KIFC1:UQCC2:MRPL2:MRPS18A:MRPL14:AARS2:CENPQ:TTK:ME1:CENPW:VTA1:KATNA1:FBXO5:MRPL18:DBNL:ASL:ARPC1A:CAPZA2:NDUFA5:BIN3:TMEM70:DECR1:GPAA1:NDUFB6:KIF24:VCP:STOML2:CENPP:MRPL50:PSMD5:NDUFA8:TOR2A:PPP2R4:NTMT1:TRAF2:MRPL41:MID1IP1:NDUFB11:HSD17B10:KIF4A:CENPI:PSMD10:NDUFA1:HAUS7:IRAK1:VBP1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION
GO_POSITIVE_REGULATION_OF_LIGASE_ACTIVITY	109	43	7.10925902059e-18	3.15366730153e-15	PSMB2:CDC20:PSMA5:PSMB4:MASTL:CDK1:BTRC:BUB3:PSMD13:PSMA1:PSMA1:PSMC3:DCUN1D5:PSMB5:PSME2:PSMC6:PSMA3:BUB1B:AXIN1:STUB1:PLK1:PSMB10:PSMD7:PSMD11:PSMB3:PSMD3:PSMD12:ANAPC11:PSMA8:PIN1:PSMD8:PSMC4:PSMD14:PSMD1:UBE2C:PSMA7:PSMD6:CCNB1:SKP1:FBXO5:PSMB1:PSMD5:MID1IP1:PSMD10	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_LIGASE_ACTIVITY
