Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CELLULAR_RESPONSE_TO_STRESS	1524	200	5.11415654086e-16	1.66223292976e-12	ISG15:ERRFI1:UBE4B:MUL1:PINK1:SYF2:RRAGC:SLC2A1:PTPRF:JUN:GADD45A:USP33:SH3GLB1:KIAA1324:SHC1:ARHGEF2:GLUL:BTG2:NUAK2:YOD1:ATF3:HIST3H2A:KLF6:WAC:MAP3K8:ERCC6:FAS:PI4K2A:PI4K2A:POLL:BRSK2:TPP1:USP47:CRY2:MAPK8IP1:CREB3L1:AMBRA1:ATG13:PRDX5:SYVN1:RELA:KAT5:CCS:POLD4:ALDH3B1:GABARAPL1:YBX3:CDKN1B:HIST4H4:SLC38A2:STAT6:DDIT3:MDM2:CRY1:RP11-809C9.2:MAP1LC3B2:TAOK3:UBC:ULK1:FOXO1:RGCC:CUL4A:DHRS2:MAP4K5:ATG14:MAX:ZFYVE1:FOS:SEL1L:FOXN3:ATXN3:MOAP1:BDKRB2:COPS2:CPEB1:AEN:CHD2:NPRL3:TCEB2:SLX4:CREBBP:VASN:USP7:KIAA0430:MYH11:AMFR:HERPUD1:GABARAPL2:TERF2IP:MAP1LC3B:SLC2A4:KDM6B:UBB:BECN1:NPEPPS:PDK2:SPAG9:PPM1D:PMAIP1:RNF152:ARID3A:FZR1:PIAS4:MAP2K7:CDKN2D:ASNA1:BRD4:ITPKC:RELB:BBC3:PPP1R15A:IRF3:BRSK1:ID2:PSME4:APLF:INO80B:RNF103:MAP3K2:MBD5:NR4A2:MLTK:NFE2L2:NHEJ1:ANKZF1:DNAJB2:TRIP12:SP100:TRIB3:SLC52A3:CRNKL1:BCL2L1:MAP1LC3A:SRC:OSER1:STAU1:RBM38:BACH1:SOD1:CRKL:TFIP11:ASCC2:MTMR3:HMOX1:RBX1:EP300:IRAK2:WDR48:CCDC13:SELK:BOC:PDCD10:SEC62:PIK3CA:BCL6:UBE2D3:RNF175:MARCH6:DAP:PLK2:PIK3R1:CRHBP:JMY:SKP1:UBE2B:SLU7:CREBRF:CPEB4:UIMC1:SQSTM1:TDP2:HFE:HIST1H4H:PHF1:FOXO3:SESN1:ARG1:TNFAIP3:CITED2:RP1-111D6.3:TAB2:SOD2:GET4:AP5Z1:PDK4:DNAJB9:CNOT4:NEIL2:BNIP3L:PTK2B:RB1CC1:TP53INP1:DERL1:TOPORS:DNAJA1:UBQLN1:C5:STOM:TAB3:DDX3X:RRAGB:FOXO4:IKBKG	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_STRESS
GO_bp	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	675	111	7.49428732985e-16	1.66223292976e-12	MUL1:PINK1:PTPRF:GADD45A:SH3GLB1:KIAA1324:ARHGEF2:YOD1:PIP4K2A:WAC:ERCC6:VPS26A:PSAP:BRSK2:USP47:SVIP:HIPK3:CD44:MAPK8IP1:CREB3L1:AMBRA1:CNTF:SYVN1:FEZ1:YBX3:PTGES3:DDIT3:MDM2:CRY1:TAOK3:ULK1:NUPL1:HSPH1:FOXO1:CUL4A:MAP4K5:ATP6V1D:ATXN3:BDKRB2:ELL3:ATP6V0C:CREBBP:YPEL3:HERPUD1:TERF2IP:MAP1LC3B:SERPINF2:NUP88:PHF23:PER1:NDEL1:IFT20:CDK5R1:BECN1:NBR1:CALCOCO2:SPAG9:PMAIP1:PIAS4:MAP2K2:MAP2K7:CDKN2D:DNAJB1:BRD4:BBC3:PPP1R15A:AKT1S1:ATP6V1B1:MAP3K2:MLTK:NFE2L2:PIKFYVE:TRIP12:BCL2L1:SERINC3:SOD1:DYRK1A:ATP6V1E1:TFIP11:MTMR3:EP300:RAB5A:ATP6V1A:PDCD10:BCL6:SFRP2:PIK3R1:ATP6V0E1:CREBRF:UIMC1:SQSTM1:NUP153:FGD2:EPM2A:SOD2:CRHR2:HSPB1:BRAF:DNAJB6:ATP6V1B2:LZTS1:BNIP3L:PTK2B:SDCBP:ATP6V1C1:DNAJA1:BAG1:UBQLN1:TXN:TSC1:OGT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS
GO_bp	GO_REGULATION_OF_AUTOPHAGY	245	56	7.57905612543e-15	1.11243074254e-11	PINK1:RRAGC:TMEM59:USP33:SH3GLB1:KIAA1324:PIP4K2A:WAC:VPS26A:PSAP:SVIP:AMBRA1:FEZ1:ULK1:FOXO1:ATG14:ATP6V1D:HERC1:ATP6V0C:MAP1LC3B:PHF23:FLCN:IFT20:CDK5R1:BECN1:CALCOCO2:RNF152:ATP6V1B1:PIKFYVE:BCL2L1:TP53INP2:ATP6V1E1:MTMR3:EP300:RAB5A:ATP6V1A:CISD2:DAP:PLK2:ATP6V0E1:SQSTM1:EPM2A:RP1-111D6.3:TAB2:HSPB1:ATP6V1B2:LZTS1:BNIP3L:RB1CC1:TP53INP1:ATP6V1C1:UBQLN1:DAPK1:TSC1:TAB3:PIM2:RRAGB	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_AUTOPHAGY
GO_bp	GO_REGULATION_OF_CATABOLIC_PROCESS	718	113	1.00309354602e-14	1.11243074254e-11	PINK1:RNF19B:RRAGC:TMEM59:USP33:SH3GLB1:KIAA1324:RC3H1:BTG2:YOD1:PIP4K2A:WAC:VPS26A:PSAP:PNPLA2:BRSK2:SVIP:AMBRA1:STX5:RELA:VPS11:FEZ1:CDKN1B:MDM2:UBC:ULK1:FOXO1:IRS2:ATG14:ATP6V1D:ENTPD5:ATXN3:HERC1:OAZ2:ARIH1:FURIN:RHBDF1:ATP6V0C:HERPUD1:GABARAPL2:MAP1LC3B:PHF23:UBB:FLCN:IFT20:CDK5R1:BECN1:CALCOCO2:TOB1:RNF152:OAZ1:FZR1:ZFP36:ODC1:PPP1CB:PSME4:ATP6V1B1:NFE2L2:PIKFYVE:DNAJB2:TRIB3:PSMF1:BCL2L1:TP53INP2:ATP6V1E1:MTMR3:TNRC6B:EP300:RAB5A:ABHD5:TMF1:ATP6V1A:TIPARP:CISD2:DAP:PLK2:SKP1:RNF14:ATP6V0E1:CREBRF:SQSTM1:MYLIP:HFE:GCLC:TNFAIP3:EPM2A:RP1-111D6.3:TAB2:ZFAND2A:GNA12:HSPB1:BPGM:ZC3HAV1:NUB1:PPP1R3B:ATP6V1B2:LZTS1:BNIP3L:PTK2B:RB1CC1:SDCBP:TP53INP1:RNF19A:ATP6V1C1:VPS28:UBQLN1:DAPK1:SECISBP2:PTPN3:TSC1:TAB3:PIM2:RRAGB:OGT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_CATABOLIC_PROCESS
GO_bp	GO_AUTOPHAGY	386	73	4.46418473331e-14	3.96062469539e-11	PINK1:SESN2:RRAGC:TMEM59:SH3GLB1:FNBP1L:KIAA1324:LAMTOR5:PRKAB2:OPTN:STAM:ANXA7:PI4K2A:PI4K2A:TOLLIP:TSG101:AMBRA1:ATG13:ATG2A:VPS11:GABARAPL1:RP11-809C9.2:MAP1LC3B2:UBC:ULK1:FOXO1:ATG14:VTI1B:ZFYVE1:ATG2B:MYH11:GABARAPL2:MAP1LC3B:PHF23:GABARAP:UBB:BECN1:NBR1:PLEKHM1:CALCOCO2:ITPKC:TBC1D17:MBD5:STAM2:ATG9A:CRNKL1:MAP1LC3A:TP53INP2:MTMR3:FBXO7:MTMR14:CCDC36:BOC:PIK3CA:LAMTOR3:CISD2:DAP:SQSTM1:HIST1H3E:HIST1H3H:EPM2A:WIPI2:PDK4:FIS1:CTSB:VPS37A:RB1CC1:TP53INP1:VPS28:UBQLN1:C5:STOM:WDR45:RRAGB:VAMP7	http://www.broadinstitute.org/gsea/msigdb/cards/GO_AUTOPHAGY
GO_bp	GO_PROTEIN_CATABOLIC_PROCESS	561	93	9.43222583979e-14	6.97355897088e-11	ISG15:KLHL21:UBE4B:UBR4:PINK1:RNF19B:RNF11:USP33:OTUD7B:USP21:KLHDC8A:YOD1:MGEA5:ZRANB1:BRSK2:TPP1:USP47:TSG101:SYVN1:KAT5:BIRC2:DDIT3:USP15:MDM2:HECTD4:UBC:USP12:CUL4A:KLHL28:SEL1L:ATXN3:LGMN:FBXL22:CLPX:ARIH1:USP7:CYLD:AMFR:HERPUD1:ARRB2:UBB:RFFL:NR1D1:SCPEP1:RNF213:PMAIP1:CDC34:FZR1:PSME4:RNF103:NFE2L2:ANKZF1:DNAJB2:TRIP12:RBCK1:PSMF1:TP53INP2:FBXO7:RBX1:SIAH2:TBL1XR1:UBE2D3:USP38:RNF175:MARCH6:SKP1:UBE2B:RNF14:SQSTM1:MYLIP:TRIM38:UBR2:FBXO9:FBXL4:RNF146:TNFAIP3:GET4:DNAJB9:UBE2H:NUB1:CLN8:CTSB:VPS37A:BNIP3L:RNF19A:DERL1:FBXO32:VPS28:TOPORS:UBE2R2:UBAP1:UBQLN1:USP9X	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEIN_CATABOLIC_PROCESS
GO_bp	GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	849	123	3.2260093504e-13	1.84002268985e-10	KLHL21:UBE4B:UBR4:MUL1:PINK1:RNF19B:RNF11:USP33:OTUD7B:DCAF8:DCAF8:USP21:RC3H1:KLHDC8A:YOD1:TRIM58:OTUD1:WAC:MARCH8:MARCH5:ZRANB1:USP47:TSG101:ZFP91:SYVN1:FAM76B:BIRC3:BIRC2:KBTBD3:MED21:ASB8:USP15:MDM2:BRAP:HECTD4:RNF10:UBC:NUPL1:USP12:CUL4A:FBXO33:KLHL28:PELI2:ATXN3:COPS2:FBXL22:HERC1:ARIH1:ASB7:TCEB2:USP7:CYLD:AMFR:ARRB2:MED11:NUP88:UBB:RFFL:ATXN7L3:NPEPPS:UBE2O:RNF213:RNF152:CDC34:FZR1:PIAS4:FEM1A:MARCH2:PAF1:PSME4:RNF103:NFE2L2:TRIP12:SP100:RBCK1:PSMF1:TOP1:NEURL2:BACH1:FBXO7:RBX1:WDR48:RYBP:SIAH2:KLHL24:UBE2D3:USP38:OTUD4:RNF175:MARCH6:TRIM23:FEM1C:MARCH3:SKP1:UBE2B:RNF14:UIMC1:RNF182:MYLIP:NUP153:TRIM38:UBR2:FBXO9:FBXL4:RNF146:TNFAIP3:FBXO30:UBE2H:CNOT4:MKRN1:NUB1:VCPIP1:RNF19A:FBXO32:SHARPIN:TOPORS:UBE2R2:DCAF12:DCAF10:RC3H2:ZER1:USP9X:OTUD5:STAG2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL
GO_bp	GO_REGULATION_OF_RESPONSE_TO_STRESS	1427	181	3.31834569855e-13	1.84002268985e-10	VAMP3:ERRFI1:MUL1:PINK1:SESN2:PTPRF:JAK1:GADD45A:BCL10:SH3GLB1:KIAA1324:ASH1L:ARHGEF2:CD247:TNFSF18:YOD1:CD55:ARF1:PIP4K2A:WAC:ERCC6:VPS26A:PSAP:IFIT1:BRSK2:IGF2:HPX:USP47:SVIP:HIPK3:CD44:MAPK8IP1:CREB3L1:AMBRA1:CNTF:SYVN1:RELA:PDE2A:SESN3:BIRC3:BIRC2:FEZ1:CLEC4A:YBX3:KRT1:PTGES3:DDIT3:MDM2:TSPAN8:CRY1:TAOK3:UBC:ULK1:NUPL1:HSPH1:FOXO1:CUL4A:MAP4K5:ATP6V1D:ATXN3:LGMN:BDKRB2:ELL3:ATP6V0C:CREBBP:YPEL3:CYLD:HERPUD1:TERF2IP:MAP1LC3B:SERPINF2:ARRB2:NUP88:PHF23:PER1:NDEL1:UBB:IFT20:CDK5R1:NR1D1:BECN1:NBR1:CALCOCO2:SPAG9:SEC14L1:PMAIP1:PIAS4:MAP2K2:FEM1A:MAP2K7:CDKN2D:ACP5:DNAJB1:BRD4:ITPKC:RELB:BBC3:PPP1R15A:IRF3:AKT1S1:NR1H2:RSAD2:PSME4:ATP6V1B1:MAP3K2:MBD5:MLTK:NFE2L2:PIKFYVE:VIL1:TRIP12:PSMF1:CRNKL1:BCL2L1:SRC:SERINC3:SOD1:DYRK1A:ATP6V1E1:TFIP11:MTMR3:EP300:IRAK2:RAB5A:NR1D2:CCDC36:FOXP1:ATP6V1A:PDCD10:KNG1:BCL6:TXK:UBE2D3:SFRP2:OSMR:RICTOR:IL6ST:PIK3R1:IRF1:SKP1:TNIP1:ATP6V0E1:CREBRF:UIMC1:SQSTM1:NUP153:TRIM38:HIST1H3E:HIST1H3H:FGD2:SESN1:TNFAIP3:EPM2A:RP1-111D6.3:TAB2:SOD2:CRHR2:HSPB1:PDK4:ZC3HAV1:BRAF:DNAJB6:CTSB:ATP6V1B2:LZTS1:DMTN:BNIP3L:PTK2B:SDCBP:ATP6V1C1:SHARPIN:DNAJA1:BAG1:UBQLN1:TXN:C5:STOM:TSC1:TAB3:OGT:IKBKG:VAMP7	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_RESPONSE_TO_STRESS
GO_bp	GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	184	44	7.9585141754e-13	3.92266320912e-10	RRAGC:SLC2A1:JUN:USP33:SH3GLB1:KIAA1324:GLUL:NUAK2:ATF3:FOSL1:GABARAPL1:SLC38A2:MDM2:RP11-809C9.2:MAP1LC3B2:ULK1:FOXO1:ATG14:MAX:ZFYVE1:FOS:NPRL3:GABARAPL2:MAP1LC3B:BECN1:PDK2:PPM1D:PMAIP1:RNF152:PPP1R15A:NCOA1:NR4A2:NFE2L2:MAP1LC3A:MTMR3:HMOX1:SFRP2:DAP:CPEB4:HFE:PIM1:PDK4:CDKN2B:TSC1:RRAGB	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS
GO_bp	GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	258	53	3.56313074934e-12	1.52942159567e-09	NPPA:RRAGC:SLC2A1:JUN:GADD45A:USP33:BCL10:SH3GLB1:KIAA1324:GLUL:NUAK2:ATF3:FAS:IGF2:FOSL1:PDE2A:GABARAPL1:SLC38A2:MDM2:RP11-809C9.2:MAP1LC3B2:ULK1:FOXO1:ATG14:MAX:ZFYVE1:FOS:NPRL3:GABARAPL2:MAP1LC3B:BECN1:PDK2:PPM1D:PMAIP1:RNF152:PPP1R15A:NCOA1:MAP3K2:NR4A2:NFE2L2:MAP1LC3A:MTMR3:HMOX1:SFRP2:DAP:IRF1:CPEB4:HFE:PIM1:PDK4:CTSB:CDKN2B:TSC1:RRAGB	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS
