gene	baseMean	log2FoldChange	pvalue	padj
LPIN2	26918.4	-6.2	1.792e-102	5.839e-98
ISCU	18605.1	-5.1	3.964e-95	6.458e-91
TMUB2	3465.7	-4	4.084e-94	4.395e-90
CENPU	2095.4	3.8	1.118e-92	9.051e-89
HIST1H2AC	2792.2	-6.3	1.274e-91	8.304e-88
NSUN3	3585.9	-6.4	8.281e-89	4.469e-85
ZNF24	2411	-2.6	2.156e-86	9.975e-83
ATP6V0E1	4963.1	-3.5	3.343e-84	8.789e-81
CRIPT	1397.9	-4	3.377e-81	9.212e-78
DUT	1801.7	4.2	3.224e-81	9.212e-78
ATG13	5092.7	-2.8	4.852e-81	1.437e-77
MCOLN1	2240.8	-4	1.178e-78	2.678e-75
NUB1	2629.4	-3.9	1.076e-76	1.740e-73
EAF1	1019.7	-2.8	1.295e-76	2.343e-73
RIOK3	40720.1	-5.4	1.671e-76	2.343e-73
FOXP1	3370.9	-3.9	6.791e-76	1.353e-72
TAOK3	4882.4	-3.3	1.093e-75	1.353e-72
TMCC2	105740.7	-9.2	1.411e-75	1.649e-72
MYLIP	599.9	-5.7	1.370e-75	1.853e-72
RB1CC1	11739.5	-4.1	1.111e-75	1.853e-72
RMND5A	3672.4	-2.6	4.150e-75	6.399e-72
UIMC1	5192.6	-4.8	1.283e-74	1.900e-71
C9orf78	9726	-4	3.174e-74	2.902e-71
C1orf116	695.2	-8.9	4.803e-74	5.459e-71
RELA	1865.2	-3.9	1.111e-73	1.170e-70
PNKD	4735.3	-5.6	1.149e-73	1.440e-70
CNPPD1	17880.9	-5.5	2.556e-73	2.582e-70
CHP1	10003.2	-3.2	1.698e-72	1.976e-69
WDR45	2406.9	-4.1	7.041e-72	7.862e-69
OSER1	8037.9	-5.8	1.285e-71	1.396e-68
ZC3HAV1	12620.3	-4.1	1.673e-71	1.743e-68
SPATA2	344.4	-3.2	3.553e-71	2.830e-68
C18orf8	3534.3	-4.2	2.928e-71	2.864e-68
SLC35C1	303.8	-3.5	5.653e-71	4.537e-68
WASF2	10683.5	-2.8	2.281e-70	2.110e-67
SEC14L1	12265.6	-4.2	3.873e-70	2.263e-67
SFT2D2	1455.9	3.4	5.324e-70	3.735e-67
MAT2B	18115.5	-5.1	6.741e-70	3.735e-67
TMEM140	5277	-6.5	5.992e-70	4.191e-67
DAZAP2	8849.6	-2.5	2.404e-69	1.940e-66
NPEPPS	2385	-4.4	4.702e-69	3.714e-66
HMOX1	11266.3	-10.6	1.575e-68	7.885e-66
B4GALT3	11218.1	-5.3	4.435e-68	2.169e-65
SLC35C2	1933.5	-3.8	5.672e-68	4.161e-65
TMEM115	2156.6	-3.7	6.995e-68	5.018e-65
CBFA2T2	2775.6	-7.7	1.652e-67	7.554e-65
KHNYN	3207.6	-3.4	2.128e-67	1.235e-64
POLR1D	6065.3	-3.9	4.983e-67	2.183e-64
WBP2	9732	-3.5	3.340e-67	2.200e-64
TAX1BP1	8207.6	-3.5	6.926e-67	2.913e-64
KLHL28	719.9	-3	2.845e-66	1.454e-63
YPEL5	5619.9	-4	2.450e-66	1.521e-63
COL4A3BP	581.5	-2	4.247e-66	2.042e-63
LSM10	1016.7	-3.9	6.929e-66	3.378e-63
DCAF8	6505.5	-3.6	1.553e-65	7.702e-63
GABARAPL1	10151.5	-6.5	3.895e-65	1.897e-62
UBR2	11072.7	-4.8	4.062e-65	2.322e-62
PER1	2006.6	-6.3	9.458e-65	3.429e-62
RFX3	707.6	-2.6	9.141e-65	3.949e-62
UBAP1	13992	-5.8	9.782e-65	5.263e-62
KANSL3	3259.7	-3.8	1.497e-64	7.862e-62
RAB9A	1726.2	-5.1	1.912e-64	7.862e-62
IRF3	2183.9	-4.1	1.895e-64	9.801e-62
TYMS	1120.1	5.1	2.590e-64	1.065e-61
MSRB1	2670.3	-4.6	4.369e-64	1.413e-61
POLL	1880.4	-2.9	5.020e-64	2.002e-61
OSER1-AS1	322.5	-4.3	1.047e-63	3.983e-61
CD55	5776.5	-4.9	1.784e-63	5.517e-61
HLTF	1302.9	4.1	2.416e-63	9.552e-61
INPP5K	4014.4	-3.4	2.446e-63	1.132e-60
CALCOCO1	15382.8	-4.5	2.549e-63	1.170e-60
BIRC2	3653.6	-4.1	5.731e-63	2.578e-60
STAT6	5613.2	-4.3	6.885e-63	3.073e-60
PNP	8731.6	-3.2	7.072e-63	3.114e-60
CYLD	1199.3	-3.3	1.276e-62	4.337e-60
NONO	4125.9	2.3	1.540e-62	6.561e-60
TCP11L2	15354.7	-7.5	2.782e-62	1.170e-59
SELPLG	3810.8	-5.5	5.285e-62	2.208e-59
HPS1	25197	-3.8	1.322e-61	3.520e-59
TSC1	4677	-4	1.924e-61	5.058e-59
DCP1A	1761.2	-2.4	1.763e-61	5.546e-59
