gene	baseMean	log2FoldChange	pvalue	padj
RELA	1865.2	-3.6	1.913e-64	3.291e-60
LSM10	1016.7	-3.9	5.767e-64	4.959e-60
CENPU	2095.4	3.1	1.393e-63	7.382e-60
TMUB2	3465.7	-3.3	2.591e-63	1.564e-59
ZNF24	2411	-2.2	3.218e-62	1.107e-58
SFT2D2	1455.9	3.2	1.561e-59	3.529e-56
NUB1	2629.4	-3.2	1.087e-54	3.747e-51
PNKD	4735.3	-4.7	1.630e-53	3.348e-50
SPATA2	344.4	-2.8	3.808e-53	6.952e-50
EAF1	1019.7	-2.3	1.134e-52	1.773e-49
BET1L	799.5	-3.3	1.299e-52	1.773e-49
TAOK3	4882.4	-2.7	1.713e-52	2.345e-49
RSBN1L-AS1	248	-4	2.118e-52	2.478e-49
HIST1H2AC	2792.2	-4.7	2.267e-52	2.661e-49
YY1AP1	3043.5	-2.9	9.989e-53	2.814e-49
EPM2A	266.6	-7.4	5.109e-52	5.076e-49
DUT	1801.7	3.3	1.392e-51	1.111e-48
SLC35C2	1933.5	-3.3	1.238e-51	1.130e-48
WDR62	1159.1	3.8	1.701e-51	1.540e-48
FOSL1	531.5	-4.8	2.582e-51	2.121e-48
NONO	4125.9	2.1	6.803e-51	5.571e-48
FOXP1	3370.9	-3.2	5.255e-51	5.765e-48
ATP6V0E1	4963.1	-2.7	1.166e-50	8.326e-48
DNPEP	583.2	-2.2	2.059e-50	1.475e-47
KANSL3	3259.7	-3.3	1.498e-50	2.532e-47
TYMS	1120.1	4.5	1.029e-49	6.804e-47
ATXN7L3	821.3	-3.8	2.635e-49	1.346e-46
C1orf116	695.2	-6.6	3.076e-49	1.889e-46
KLHL28	719.9	-2.6	6.744e-49	3.325e-46
ATG13	5092.7	-2.2	8.219e-49	4.711e-46
SKA2	1273.7	3.8	6.794e-48	3.375e-45
CBFA2T2	2775.6	-6.4	6.701e-48	3.375e-45
POLQ	890.5	5.1	8.821e-48	3.688e-45
BRMS1	1083.4	-2.2	8.708e-48	4.072e-45
TMEM167B	1301.8	-3.2	1.184e-47	5.402e-45
IRF3	2183.9	-3.5	1.158e-47	5.402e-45
SMC2	2180.4	4.4	9.323e-48	6.082e-45
KIAA1524	629.6	5	1.892e-47	8.179e-45
TNPO1	1472.5	-3.1	3.051e-47	1.244e-44
MCOLN1	2240.8	-3.1	1.408e-47	1.488e-44
OSER1	8037.9	-4.6	5.306e-47	2.126e-44
DAZAP2	8849.6	-2.1	5.000e-47	2.873e-44
DCP1A	1761.2	-2.1	1.017e-46	3.888e-44
ZC3HAV1	12620.3	-3.3	1.124e-46	4.060e-44
ISCU	18605.1	-3.5	1.171e-46	4.136e-44
CASC5	1804.5	4.5	2.496e-46	8.915e-44
MYLIP	599.9	-4.3	3.364e-46	1.138e-43
CRIPT	1397.9	-3	3.787e-46	1.296e-43
UBE2T	1768	4.8	5.911e-46	1.636e-43
SMC4	2589.6	2.2	4.981e-46	1.637e-43
NSUN3	3585.9	-4.5	5.520e-46	1.721e-43
TMEM115	2156.6	-3	6.492e-46	1.985e-43
UIMC1	5192.6	-3.7	3.053e-46	2.434e-43
NFYB	537.5	3.3	1.227e-45	3.136e-43
COL4A3BP	581.5	-1.7	1.271e-45	3.188e-43
KDM3B	1715.2	-2	1.158e-45	3.555e-43
EXOSC9	791	2.1	8.375e-45	2.336e-42
PIAS4	655.7	-3.1	7.961e-45	2.361e-42
SCYL1	2900	-3	8.641e-45	2.406e-42
DHX40	1418.2	-3.8	1.075e-44	2.848e-42
C9orf78	9726	-3	3.471e-44	1.373e-41
POLR1D	6065.3	-3.2	5.794e-44	1.607e-41
PDP2	121.4	-3.8	1.044e-43	2.635e-41
KLC4	206.5	-2.6	1.471e-43	3.496e-41
RAB39B	272.8	-5.1	1.956e-43	4.944e-41
RAB9A	1726.2	-4.2	2.774e-43	6.582e-41
HUWE1	6607.7	-1.7	2.550e-43	6.582e-41
CIT	1560.8	4.6	4.576e-43	8.155e-41
HIST1H1C	8884.9	-4.8	3.918e-43	9.330e-41
MED29	1858.7	-2.1	6.659e-43	1.290e-40
TAX1BP1	8207.6	-2.8	8.727e-43	2.114e-40
AMMECR1L	553	-2.5	1.229e-42	2.440e-40
DENND2D	442.6	-4.9	1.829e-42	4.310e-40
DHFR	374.4	4.3	2.272e-42	5.279e-40
WASF2	10683.5	-2.2	2.816e-42	5.969e-40
TMEM134	312.2	-4.3	2.883e-42	7.184e-40
BIRC2	3653.6	-3.3	2.863e-42	8.976e-40
RMND5A	3672.4	-1.9	4.193e-42	9.246e-40
KDM3A	1885.9	-2.7	6.260e-42	1.075e-39
PCBD2	280.8	2.7	5.875e-42	1.207e-39
SLC35C1	303.8	-2.6	8.710e-42	1.710e-39
IFT20	467.6	-3.4	9.870e-42	1.978e-39
MAT2B	18115.5	-3.9	1.513e-41	3.126e-39
CYLD	1199.3	-2.6	1.527e-41	3.126e-39
SYF2	2083.3	-2.2	3.813e-41	7.371e-39
REEP4	7049.4	-3	4.582e-41	9.163e-39
C18orf8	3534.3	-3.1	5.932e-41	1.120e-38
POLR3GL	643.7	2.4	6.794e-41	1.328e-38
TBCD	444	3.2	6.034e-41	1.408e-38
ZNHIT2	454.1	-3.6	8.053e-41	1.859e-38
ETF1	2662.2	-1.8	9.877e-41	1.867e-38
LMNB2	540.1	3.9	1.384e-40	2.472e-38
JADE1	1376.2	3.4	1.774e-40	2.588e-38
FOXJ3	1243.6	-1.5	3.055e-40	5.340e-38
SUPT5H	3017.1	-2.1	1.272e-40	5.657e-38
G2E3	847.8	2.3	3.694e-40	6.322e-38
NKIRAS2	1283.3	-1.8	3.859e-40	6.325e-38
TTK	913.4	4.4	4.021e-40	6.523e-38
MAD2L1	1244.1	4.2	5.203e-40	7.129e-38
VEZF1	1844.2	-2.1	5.407e-40	8.883e-38
ARL13B	507.3	-2.3	6.800e-40	1.106e-37
BOLA3	572.8	3.5	8.519e-40	1.436e-37
EXOC6	898.5	3.8	1.070e-39	1.787e-37
VPS28	3826.8	-2.5	1.525e-39	2.409e-37
B4GALT3	11218.1	-4	1.169e-39	2.688e-37
RNF181	1459.2	-2	2.630e-39	3.365e-37
