gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-5.4	2.745e-105	4.172e-101
ITSN1	1173.7	-4.6	2.112e-67	1.605e-63
C7orf73	6939.9	-2.8	3.885e-65	2.020e-61
TRAK2	13529.9	-3.5	9.238e-58	4.147e-54
IRF9	258.8	-3.4	3.160e-53	9.768e-50
SMOX	3874.6	-4.8	7.897e-53	2.364e-49
MICAL2	11231.7	-3.7	2.155e-52	5.529e-49
TXNIP	17597.1	-2.9	6.341e-52	1.137e-48
ARG1	5418.7	-7.6	7.406e-52	1.137e-48
TCP11L2	15354.7	-7.7	7.327e-52	1.137e-48
RAPGEF2	7579.3	-3.5	1.489e-51	2.057e-48
RP11-85G21.3	3063.1	-5.7	1.752e-51	2.218e-48
TSPO2	1800.8	-4.7	2.989e-51	3.567e-48
DMTN	16505.4	-3	1.042e-49	1.131e-46
TMCC2	105740.7	-8.1	1.386e-49	1.434e-46
STAT5A	962.2	5.9	1.892e-48	1.844e-45
S100A4	2549.2	5.6	5.310e-46	4.846e-43
FZD3	217.2	5.4	4.654e-45	4.418e-42
MYBBP1A	610.3	4.6	5.977e-43	4.781e-40
AGPAT4	1443.3	-5.6	1.279e-42	9.920e-40
FAM214B	5742.8	-4.2	1.890e-42	1.616e-39
RFX3	707.6	-2.3	3.113e-42	2.150e-39
CALCOCO1	15382.8	-3.9	3.645e-42	2.459e-39
ARG2	1045.5	-4.1	4.489e-42	2.841e-39
MCCC2	634.1	4.7	5.529e-42	3.361e-39
BCL2L1	36101.3	-4.2	1.030e-41	6.018e-39
SLC25A37	195757.6	-3.4	2.686e-41	1.511e-38
IL1R1	361.3	-6.5	7.124e-41	3.547e-38
RSAD2	10196.2	-5.8	6.850e-41	3.590e-38
GPI	2226.4	6.9	1.622e-40	8.216e-38
FAM45A	278.6	3.4	3.618e-40	1.855e-37
RAD23A	10450.8	-2.2	1.563e-39	7.619e-37
SLC27A5	116.7	4.1	2.757e-39	1.287e-36
RP11-343N15.5	162.2	-2.6	6.611e-39	2.999e-36
RNF19A	6648.3	-3	1.278e-38	5.666e-36
MSN	3712.2	3.9	1.535e-38	6.300e-36
MARCH8	25353.1	-4	1.501e-38	6.300e-36
DYRK1B	560.7	-3.3	1.278e-38	6.791e-36
TBC1D22B	3136.1	-3.4	2.111e-38	8.397e-36
C5orf42	1495.2	-5.4	4.851e-38	1.892e-35
FAM35A	266.3	6	6.403e-38	2.423e-35
UBE2H	4999.6	-5.3	5.993e-38	2.562e-35
GNL3	1206.3	4.1	8.608e-38	3.106e-35
RP11-379K17.4	391.6	-5.6	2.372e-37	8.409e-35
FKTN	78.9	3.3	3.209e-37	1.028e-34
SORBS1	1374.2	-3.1	3.030e-37	1.028e-34
FOXO3	10380.9	-4.1	3.435e-37	1.110e-34
CLK3	8742.9	-3.6	5.233e-37	1.700e-34
SLC22A23	1694.7	-2.7	2.402e-36	7.605e-34
GUK1	12315.9	-2.8	2.905e-36	9.014e-34
SLC2A1	41223.5	-3.4	3.435e-36	1.050e-33
CLUH	384.4	3.7	5.995e-36	1.607e-33
TESPA1	1256.9	-3.8	6.107e-36	1.797e-33
BSDC1	9863	-2.4	1.069e-35	3.007e-33
TTC39A	178.9	-4.5	1.672e-35	4.689e-33
NDEL1	3989.3	-2.3	1.926e-35	5.223e-33
FAM162A	456.6	4.3	2.065e-35	5.506e-33
GNA15	461	6.2	2.210e-35	5.942e-33
FAM216A	145.8	4.3	3.743e-35	9.181e-33
LY9	95.4	-5.2	3.885e-35	9.367e-33
ISG20	3261.8	-4.4	3.860e-35	9.871e-33
TOP1	7987.8	-2.6	4.559e-35	1.118e-32
SMIM10	187.2	5	8.803e-35	2.220e-32
SRPK2	312.3	3.1	9.857e-35	2.341e-32
CHCHD6	95.5	4	1.280e-34	2.851e-32
PTK2B	9007	-4.2	1.558e-34	3.587e-32
DENND2D	442.6	4.7	2.343e-34	5.456e-32
CCS	5907.9	-2.8	3.297e-34	7.524e-32
LRP10	3237.4	-3.3	4.133e-34	9.097e-32
RAP1GAP	10780.6	-4.8	6.808e-34	1.437e-31
SMYD3	113.8	4.7	7.143e-34	1.437e-31
KIAA0232	3373.5	-3.5	5.632e-34	1.437e-31
PMS1	298	2.6	1.075e-33	2.222e-31
NOP2	858.2	3.1	1.082e-33	2.222e-31
EGFL7	698.8	4.8	1.138e-33	2.367e-31
KHNYN	3207.6	-2.6	1.238e-33	2.926e-31
CTDSP2	1028.8	-2.8	1.252e-33	3.278e-31
TSPAN5	1802.7	-4.5	1.787e-33	3.482e-31
HEPACAM2	978	-5.9	1.809e-33	3.553e-31
URB1	456.2	4	4.000e-33	6.970e-31
GCNT2	2813.2	-3.1	4.876e-33	9.390e-31
MGST1	385.3	5.5	5.141e-33	9.727e-31
ABTB1	1717.3	-3.5	1.031e-32	1.888e-30
SP2	1226.4	-1.4	1.204e-32	2.179e-30
BCL6	1687.5	-5.7	1.677e-32	3.061e-30
IFIT1B	22416.6	-8.3	2.405e-32	4.249e-30
DIMT1	605.9	2.8	2.547e-32	4.542e-30
KLHDC8A	1648.1	-3.9	3.496e-32	6.034e-30
MTMR3	5914	-3	5.347e-32	9.131e-30
NFE2	16381.1	-2.2	5.424e-32	9.153e-30
WNK1	32593.1	-3.7	5.603e-32	9.357e-30
MFAP3L	201.8	-4	9.255e-32	1.552e-29
RUNDC3A	3593.7	-5.7	9.568e-32	1.596e-29
WIPI1	1018.4	-2.1	1.298e-31	2.784e-29
ALS2CR12	315.9	-4.1	1.914e-31	3.126e-29
RBM38	9159.5	-3.8	2.107e-31	3.405e-29
WBSCR22	1048.4	2.1	3.174e-31	5.105e-29
QTRT1	350.4	4.1	4.063e-31	5.779e-29
HDAC5	2641.7	-3.5	3.881e-31	6.114e-29
NOP16	799.4	4.4	4.633e-31	7.189e-29
MBNL2	6149.7	-2.5	6.347e-31	9.750e-29
CR1L	2068.2	-3.6	8.880e-31	1.323e-28
HEATR2	185.9	2.8	1.724e-30	2.587e-28
RRP9	441.2	4.9	2.650e-30	3.553e-28
HAGH	5024.2	-2.2	2.883e-30	4.261e-28
YPEL4	4670.4	-3.9	3.520e-30	5.035e-28
RP11-620J15.3	423.6	2.2	3.547e-30	5.035e-28
ERGIC1	205.9	2.8	4.851e-30	7.137e-28
POLR1B	532.3	4.3	5.278e-30	9.782e-28
C14orf159	414	2.3	7.970e-30	1.010e-27
RAD21	3461.5	-1.5	7.746e-30	1.089e-27
RPL23	5535.5	2.4	9.856e-30	1.365e-27
