gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-9.1	2.514e-283	1.572e-278
SLC25A37	195757.6	-8.6	1.514e-246	4.733e-242
SLC25A39	98563.2	-6.9	9.494e-219	1.987e-214
DMTN	16505.4	-6.1	1.018e-193	1.622e-189
TRAK2	13529.9	-6.6	7.557e-190	9.452e-186
MICAL2	11231.7	-7.1	1.239e-179	1.315e-175
OPTN	14737.2	-7.8	5.110e-177	4.651e-173
HBA2	781957.4	-11.4	2.361e-176	1.785e-172
RAD23A	10450.8	-4.6	7.938e-169	5.333e-165
GDF15	24091.5	-8.7	1.752e-166	1.090e-162
SLC2A1	41223.5	-7.6	1.482e-165	8.423e-162
SP2	1226.4	-3.2	6.480e-158	1.130e-154
MBNL2	6149.7	-5.7	1.236e-151	5.750e-148
CLIC2	9423.7	-8.1	2.288e-147	1.022e-143
RB1CC1	11739.5	-6.1	9.087e-145	3.663e-141
PNP	8731.6	-5.3	3.070e-144	1.204e-140
SLC22A23	1694.7	-5.9	4.015e-143	4.539e-140
MARCH8	25353.1	-7.7	7.504e-136	2.656e-132
TMCC2	105740.7	-13.7	2.284e-135	7.518e-132
C17orf103	17641.6	-9.3	5.514e-135	1.667e-131
RIOK3	40720.1	-7.7	4.800e-132	1.456e-128
ANK1	27203.9	-5.9	7.803e-132	2.218e-128
ISCU	18605.1	-6.5	4.282e-131	1.126e-127
YPEL4	4670.4	-8.9	4.965e-130	1.286e-126
LPIN2	26918.4	-7.5	8.997e-127	2.251e-123
SEC14L1	12265.6	-6.1	1.987e-126	4.780e-123
EPB41	20751.3	-6.7	8.161e-126	1.880e-122
SLC4A1	63651.4	-10.7	3.472e-124	7.755e-121
DCUN1D1	9708.7	-4.1	1.692e-122	3.717e-119
YOD1	7112.6	-6.9	2.018e-120	4.206e-117
FCHO2	1868.2	-5.7	4.808e-118	3.094e-115
RAPGEF2	7579.3	-5.3	3.140e-117	6.139e-114
CALCOCO1	15382.8	-6.6	3.228e-117	6.139e-114
WBP2	9732	-5	1.045e-116	1.911e-113
ZNF24	2411	-3.3	1.204e-115	2.192e-112
TMEM63B	1745.1	-5.6	2.133e-114	1.240e-111
ARL4A	20871	-8.1	8.443e-115	1.380e-111
RMND5A	3672.4	-3.5	2.036e-114	3.239e-111
PKM	1976.4	7.1	2.419e-114	3.750e-111
RP11-85G21.3	3063.1	-10	9.044e-113	1.419e-109
WASF2	10683.5	-3.9	3.160e-112	4.911e-109
DENND4A	5636.4	-4.7	3.180e-111	4.579e-108
ATG13	5092.7	-3.6	1.464e-109	2.058e-106
MOSPD1	4786.9	-6.9	1.709e-109	2.437e-106
CEP76	820.2	-3.9	7.195e-109	4.021e-106
KHNYN	3207.6	-4.8	1.452e-108	1.909e-105
KLHDC8A	1648.1	-8.8	1.233e-107	5.487e-105
LEPROT	2572.5	-2.9	3.889e-107	5.086e-104
DEDD2	5693.4	-5.8	3.519e-106	4.343e-103
ENTPD5	1590.8	-3.9	2.742e-103	1.094e-100
YPEL5	5619.9	-5.4	2.025e-103	2.401e-100
RFFL	2661.1	-4	3.718e-103	4.556e-100
INPP5K	4014.4	-4.8	2.123e-102	2.514e-99
NAPB	1175.5	-4.8	8.050e-102	3.119e-99
FAM65C	14857.4	-6.4	5.346e-102	6.078e-99
IBA57	1129.2	-4.9	1.903e-101	7.112e-99
BNIP3L	45320	-6.8	5.116e-101	5.614e-98
SDE2	7126	-6.1	2.377e-100	2.572e-97
POLL	1880.4	-3.9	1.113e-99	3.625e-97
TCP11L2	15354.7	-10.5	1.215e-99	1.271e-96
STAG2	4432.8	-3.4	2.475e-99	2.586e-96
RNF19A	6648.3	-5	4.294e-99	4.332e-96
CRIPT	1397.9	-4.8	2.673e-98	8.512e-96
TOP1	7987.8	-4.4	2.474e-98	2.426e-95
SMIM5	2302.1	-5.9	3.844e-98	3.576e-95
PPP1R15A	21268.6	-5.6	5.226e-98	4.952e-95
RABGAP1L	3589.4	-3.6	3.144e-97	2.945e-94
BCL2L1	36101.3	-6.5	4.557e-97	4.053e-94
SLC2A4	3229.9	-9.7	6.657e-97	6.000e-94
NDEL1	3989.3	-3.8	1.473e-96	1.341e-93
HAGH	5024.2	-4.1	1.647e-96	1.451e-93
TMUB2	3465.7	-4.4	2.324e-96	2.057e-93
PHOSPHO1	5135.4	-10.4	2.779e-96	2.380e-93
ATG9A	14115	-5.8	1.240e-94	1.048e-91
EPOR	5014.2	-4	1.730e-94	1.448e-91
PTPN7	2836.4	5.4	4.072e-94	3.413e-91
EAF1	1019.7	-3.4	3.273e-93	1.023e-90
RBM38	9159.5	-6.8	2.165e-92	1.736e-89
NONO	4125.9	3.1	2.913e-92	2.229e-89
ARG2	1045.5	-6.3	2.509e-91	6.258e-89
C9orf78	9726	-4.8	1.548e-91	1.218e-88
HIST1H2AC	2792.2	-6.9	2.921e-91	2.154e-88
UBA7	473.6	5.5	7.618e-91	2.677e-88
CNPPD1	17880.9	-6.7	3.699e-91	2.754e-88
BPGM	17869	-7.9	5.847e-91	4.302e-88
USP15	24007.4	-5.2	6.355e-91	4.468e-88
MCOLN1	2240.8	-4.7	4.092e-90	2.844e-87
RUNDC3A	3593.7	-11	7.231e-90	5.110e-87
DCAF8	6505.5	-4.6	1.657e-89	1.165e-86
