gene	baseMean	log2FoldChange	pvalue	padj
TNS1	26244.5	-8.6	1.520e-262	4.026e-258
SLC25A37	195757.6	-6.6	1.867e-146	2.473e-142
TRAK2	13529.9	-5.4	7.917e-134	7.103e-130
SMOX	3874.6	-7.9	1.233e-133	8.433e-130
RNF19A	6648.3	-5.7	6.236e-129	3.304e-125
RAPGEF2	7579.3	-5.6	1.005e-128	4.582e-125
RFX3	707.6	-4	3.020e-124	1.092e-120
MICAL2	11231.7	-5.8	3.920e-124	1.283e-120
TXNIP	17597.1	-4.5	1.968e-123	5.726e-120
TMCC2	105740.7	-12.5	3.293e-116	8.590e-113
TSPO2	1800.8	-7.5	4.082e-115	7.237e-112
C7orf73	6939.9	-3.8	3.558e-115	7.237e-112
TCP11L2	15354.7	-11.8	3.260e-115	7.237e-112
DMTN	16505.4	-4.6	6.985e-114	1.322e-110
CALCOCO1	15382.8	-6.5	4.985e-113	8.704e-110
MARCH8	25353.1	-6.9	3.737e-111	6.287e-108
LPIN2	26918.4	-6.9	1.376e-107	2.120e-104
FAM214B	5742.8	-6.6	1.061e-103	1.612e-100
RP11-85G21.3	3063.1	-8.2	4.245e-101	5.919e-98
KHNYN	3207.6	-4.6	2.507e-100	3.283e-97
SLC2A1	41223.5	-5.8	1.255e-98	1.634e-95
SP2	1226.4	-2.5	3.485e-98	4.197e-95
RFFL	2661.1	-3.9	7.350e-97	8.369e-94
RIOK3	40720.1	-6.6	7.772e-97	8.447e-94
SLC25A39	98563.2	-4.6	5.120e-96	5.426e-93
HDAC5	2641.7	-6.3	6.994e-96	7.126e-93
ITSN1	1173.7	-5.6	9.403e-96	8.033e-93
MBNL2	6149.7	-4.5	4.012e-95	3.795e-92
DENND4A	5636.4	-4.3	2.661e-93	2.510e-90
RAD23A	10450.8	-3.4	3.222e-93	2.846e-90
SEC14L1	12265.6	-5.2	1.276e-92	1.108e-89
ARG1	5418.7	-10.2	1.974e-92	1.661e-89
SLC22A23	1694.7	-4.4	3.264e-90	2.532e-87
MCOLN1	2240.8	-4.7	4.724e-90	3.624e-87
BCL2L1	36101.3	-6.2	7.761e-90	6.066e-87
WBP2	9732	-4.4	2.041e-89	1.485e-86
