gene	baseMean	log2FoldChange	pvalue	padj
LPIN2	26918.4	-2.5	1.902e-17	2.031e-13
XPO7	33970	-2.8	3.941e-16	1.655e-12
TAC3	185	-2.7	3.567e-16	1.655e-12
TMCC2	105740.7	-3.9	4.682e-15	1.173e-11
MTHFD1L	126	2.4	5.349e-15	1.173e-11
FKTN	78.9	2	1.362e-14	2.844e-11
MGMT	209.6	2.1	3.708e-14	6.638e-11
TESPA1	1256.9	-2.1	7.056e-14	9.627e-11
RIMS3	61.1	2.7	1.111e-13	1.408e-10
FANK1	540.9	-3	1.126e-13	1.408e-10
SELPLG	3810.8	-2.5	1.812e-13	1.759e-10
RFX3	707.6	-1.1	2.829e-13	2.722e-10
IFIT1B	22416.6	-4.6	3.148e-13	2.722e-10
PMS1	298	1.5	2.876e-13	2.859e-10
LRRC2	648.6	-2.7	5.205e-13	3.787e-10
C15orf26	146.5	-3.5	6.526e-13	3.919e-10
TCP11L2	15354.7	-3.2	6.240e-13	4.599e-10
TMA16	205.7	1.6	7.189e-13	5.004e-10
MVP	2111.4	-2.3	9.693e-13	5.449e-10
CCDC176	895.8	-2.3	1.356e-12	7.400e-10
RANBP17	111.6	2.1	1.593e-12	9.484e-10
CALCOCO1	15382.8	-1.9	1.986e-12	9.484e-10
FZD3	217.2	2.6	1.863e-12	1.080e-09
ATG14	6298.3	-2.3	2.031e-12	1.080e-09
RPS6KL1	123.1	2.9	4.607e-12	1.758e-09
MSRB1	2670.3	-1.9	4.578e-12	1.881e-09
GGCT	616	1.5	6.673e-12	2.640e-09
ZNF254	135	2.4	6.139e-12	2.743e-09
RAPGEF2	7579.3	-1.5	7.110e-12	3.072e-09
HMOX1	11266.3	-4.1	9.994e-12	3.558e-09
TRHDE	53.1	-3.3	1.038e-11	4.197e-09
ARG1	5418.7	-3	1.391e-11	5.446e-09
EEF2K	652.1	2.8	1.766e-11	6.706e-09
MYBBP1A	610.3	2.1	1.987e-11	7.113e-09
MIAT	2405.5	-3.9	1.958e-11	7.113e-09
SMIM10	187.2	2.6	2.127e-11	7.630e-09
CCS	5907.9	-1.4	2.688e-11	7.630e-09
CD55	5776.5	-1.9	3.941e-11	1.089e-08
TBCEL	5563.9	-3.3	3.470e-11	1.113e-08
TUFT1	5528.3	-2.5	5.284e-11	1.388e-08
FBXO30	9303.7	-2.2	5.429e-11	1.391e-08
ABTB1	1717.3	-1.8	5.021e-11	1.463e-08
CLN8	2359.1	-1.8	5.001e-11	1.463e-08
EXTL2	152.6	3.4	5.671e-11	1.615e-08
FGD6	2497.8	-2.5	7.238e-11	1.690e-08
TRIM35	178.9	1.7	6.250e-11	1.703e-08
DCPS	245.7	1.4	7.782e-11	2.071e-08
MCCC2	634.1	2.1	1.005e-10	2.193e-08
CLEC2B	464.1	-4.1	8.644e-11	2.193e-08
PIK3IP1	3784	-3	1.006e-10	2.193e-08
