gene	baseMean	log2FoldChange	pvalue	padj
AGPAT2	143.6	3.2	1.282e-44	1.860e-40
LPXN	334.3	4	2.664e-42	1.932e-38
SERPINB1	872.4	3.3	1.696e-40	6.943e-37
PKM	1976.4	4.1	9.489e-40	3.003e-36
NTRK1	265.8	6.4	7.049e-39	2.045e-35
DOCK2	373.8	4.5	7.388e-38	1.551e-34
PARVG	282.4	6.7	1.364e-37	2.810e-34
DNAJA4	3820.7	-3.5	8.855e-37	1.399e-33
ELANE	473.6	10.9	1.361e-35	2.979e-32
ALOX5	262.5	7.8	4.299e-35	6.004e-32
RABAC1	735.2	2.7	8.779e-33	1.000e-29
ZBTB16	103.3	6.1	2.604e-32	3.073e-29
MPO	3598.5	9.7	2.148e-31	2.070e-28
HLA-E	875.6	3.1	2.923e-31	2.312e-28
CTSS	108.3	4.3	1.972e-31	2.408e-28
CORO1A	693.7	5.3	6.121e-31	4.235e-28
AHNAK	665.9	6.8	5.918e-31	4.276e-28
ST3GAL4	387.4	3.7	6.410e-31	4.485e-28
MBOAT7	542	3.9	1.240e-30	8.180e-28
NFIA	4157	-2.6	2.060e-30	1.301e-27
PLAUR	199.3	5.3	8.873e-30	6.095e-27
RASGRP3	488.1	5.9	1.174e-29	7.741e-27
HDC	4223.4	9.1	1.455e-29	7.992e-27
FES	399.9	3.4	1.680e-29	9.773e-27
TMSB4X	2576.2	3.9	1.981e-29	9.931e-27
LAT2	262.6	5.5	7.897e-29	4.407e-26
GSN	782	3.8	1.937e-28	8.989e-26
TMEM56	3040.4	-4.4	2.592e-28	1.160e-25
TESPA1	1256.9	3.5	2.426e-27	1.059e-24
GDF15	24091.5	-3.6	4.329e-27	1.860e-24
ARHGAP30	301.8	5.6	4.203e-27	1.967e-24
RFESD	1676.4	-3.2	5.253e-27	2.520e-24
ITGB2	679.1	5.6	9.174e-27	3.415e-24
CAPG	698.9	7.1	6.845e-26	2.229e-23
CLU	818.5	4.4	6.705e-26	2.346e-23
RAB3D	201.8	5.2	5.906e-26	2.346e-23
TSPAN17	985.7	-2.5	1.890e-25	7.820e-23
HLA-DRB1	144.5	4	2.914e-25	1.086e-22
HSH2D	412.7	5.8	3.044e-25	1.538e-22
ITGAL	327.6	8	5.324e-25	1.700e-22
PRTN3	352.8	9.6	8.547e-25	2.625e-22
AGPAT9	226.2	6.7	9.913e-25	3.363e-22
SPARC	45.3	5.9	1.151e-24	3.542e-22
RHBDD2	1141.1	2.8	1.655e-24	5.774e-22
RAB31	55.3	5.5	1.882e-24	7.017e-22
ENPP3	348.3	4.9	2.751e-24	1.178e-21
KCNAB2	907.5	2.5	7.208e-24	1.875e-21
HK3	210.4	9.2	6.443e-24	1.875e-21
ANK1	27203.9	-2.6	8.661e-24	2.233e-21
PYCARD	106.3	5.6	1.138e-23	4.167e-21
FAM64A	42.2	6.4	1.744e-23	5.737e-21
RAB33A	34.1	5.6	1.847e-23	5.852e-21
HDAC5	2641.7	3.2	3.836e-23	9.069e-21
LOXL3	44.4	3.4	3.871e-23	1.015e-20
SELL	135.7	7.1	3.113e-23	1.052e-20
IL16	246.7	7.8	4.217e-23	1.052e-20
ALAS1	1346.2	3.1	5.433e-23	1.194e-20
QSOX1	468.5	3.5	5.530e-23	1.218e-20
SPTAN1	101.8	7.1	5.807e-23	1.802e-20
MAX	2536.3	2.8	1.062e-22	2.240e-20
VIM	472.3	7.8	1.314e-22	2.750e-20
RAB3IL1	1325.7	-3.9	1.369e-22	2.767e-20
UBA7	473.6	2.2	1.229e-22	2.830e-20
CD300LF	127.7	9	1.034e-22	3.038e-20
ANPEP	260.3	6.2	1.969e-22	4.315e-20
RASSF2	256.3	7.8	2.741e-22	6.024e-20
NPDC1	35.9	7.5	3.319e-22	6.554e-20
STAB1	64.7	8.8	2.794e-22	6.893e-20
EVI2B	112.3	7.9	5.233e-22	1.074e-19
CR1	289	7.3	7.187e-22	1.293e-19
AMMECR1	3925.5	-2.9	8.452e-22	1.492e-19
CD300A	120.4	7.6	8.687e-22	1.987e-19
CCNA1	293.5	8.6	1.748e-21	3.058e-19
PTPRCAP	66.9	6.8	1.431e-21	3.125e-19
SLC45A3	367.9	8.2	1.701e-21	3.290e-19
ITGAM	169.3	6.6	1.821e-21	3.457e-19
C1orf228	74.7	8	1.989e-21	4.255e-19
ADRBK1	481.6	2.4	8.337e-21	1.551e-18
STAR	50.1	4.9	9.752e-21	1.633e-18
ARHGAP9	281.6	5	1.185e-20	2.138e-18
AZU1	185.7	8.1	1.531e-20	2.742e-18
ACTG1	6880	3.3	1.806e-20	2.760e-18
DOCK10	114.1	7.5	1.247e-20	2.825e-18
COTL1	440.3	5.1	1.414e-20	3.318e-18
NDST1	256.8	3.8	2.037e-20	3.477e-18
SASH3	171.6	7.8	2.131e-20	3.530e-18
FPR1	50.2	8.7	2.519e-20	4.100e-18
PBXIP1	703.7	1.7	2.904e-20	4.116e-18
XYLT1	142.4	6.8	2.001e-20	4.116e-18
CAMLG	743	1.9	3.628e-20	4.413e-18
IL3RA	102.4	6.4	2.835e-20	4.413e-18
FCER1G	249.7	8	2.845e-20	4.438e-18
ANTXR2	58	8.6	2.537e-20	4.438e-18
U2SURP	2588.6	-1.1	3.532e-20	4.757e-18
UBAC1	9133.3	-2.8	3.594e-20	4.780e-18
RASGRP2	135.7	7.7	2.907e-20	5.545e-18
MYO1D	736.9	-2.3	6.434e-20	8.149e-18
CAST	3075.2	-2.7	8.160e-20	1.073e-17
PLEK	869.5	6.3	1.138e-19	1.447e-17
SRGN	16589.3	6.4	1.259e-19	1.591e-17
GP9	37.5	4.2	1.236e-19	1.619e-17
CDH1	3252.4	-5	1.325e-19	1.628e-17
LYZ	182.5	7	1.394e-19	1.963e-17
DPY30	681	-1.1	1.870e-19	1.990e-17
ANXA6	89.6	5	1.453e-19	2.280e-17
HYAL3	467.8	3.3	2.560e-19	3.041e-17
TAGAP	91.9	3.6	2.342e-19	3.099e-17
CD97	313.2	2.5	2.338e-19	3.141e-17
RP11-191G24.1	64.4	-3.7	2.350e-19	3.616e-17
EDARADD	45.5	5.7	2.718e-19	4.144e-17
LEPR	1387.8	-4	3.330e-19	4.592e-17
FCGR2B	62.3	5.9	3.242e-19	4.768e-17
RGS2	77.9	3.7	3.800e-19	4.878e-17
CD33	88.1	4.9	4.475e-19	5.558e-17
SRGAP3	49.4	5.4	3.837e-19	5.598e-17
GAB1	1977.4	-1.6	5.109e-19	5.658e-17
DUSP6	176.1	5	4.741e-19	5.658e-17
IL1R1	361.3	5.3	4.895e-19	5.793e-17
IL15RA	570.3	-2.1	5.610e-19	5.937e-17
B3GALT4	52.8	3.4	5.554e-19	6.124e-17
LAIR1	396.5	7.5	6.177e-19	6.520e-17
PRAM1	68.1	8.9	4.837e-19	7.260e-17
CLIC2	9423.7	-2.9	9.878e-19	1.006e-16
MFAP3L	201.8	3.5	9.747e-19	1.150e-16
CBL	80.3	4.6	1.132e-18	1.658e-16
KEL	3675.5	-2.7	2.475e-18	2.532e-16
SLC41A1	628.1	-2.3	3.159e-18	3.117e-16
DENND1C	75.9	7.6	2.238e-18	3.288e-16
CYTIP	38.2	8.1	2.930e-18	3.642e-16
C6orf25	171	5.3	3.232e-18	3.642e-16
HBA2	781957.4	-3.7	4.743e-18	4.536e-16
EPAS1	205.5	5.2	4.430e-18	4.910e-16
SPINK2	35.3	11.9	5.459e-18	5.431e-16
DENND3	213.5	4.8	6.071e-18	6.535e-16
GAB2	251.3	3.6	6.271e-18	6.746e-16
CD70	247	-3.4	6.270e-18	6.746e-16
DAB2	24.7	5.6	5.449e-18	8.822e-16
MYCT1	36.3	5.5	7.500e-18	8.953e-16
NAALADL1	51	6.9	9.522e-18	9.064e-16
TBC1D10C	109.2	3.9	7.365e-18	9.890e-16
SLC6A8	1068.7	-3.1	9.451e-18	1.029e-15
HMBS	49478.2	-2.8	1.397e-17	1.232e-15
ENPP2	93.9	7.2	1.073e-17	1.373e-15
TYROBP	248.9	8.1	1.400e-17	1.411e-15
MFSD10	613.7	3	2.669e-17	2.038e-15
CAPN5	797.6	-3.1	3.013e-17	2.285e-15
TPGS2	6069.4	-1.7	2.799e-17	2.385e-15
HLA-A	7871.4	4	2.808e-17	2.402e-15
SLC16A3	146.1	4	1.979e-17	2.432e-15
JAK3	41.9	7.8	2.604e-17	2.458e-15
SLC24A3	47.6	7.8	2.560e-17	2.844e-15
PSMB9	66.3	4.9	3.173e-17	3.373e-15
EPOR	5014.2	-1.7	4.124e-17	3.475e-15
ANKRD44	75.3	3.5	4.145e-17	3.798e-15
TNXB	2411.1	-3.5	4.698e-17	3.798e-15
NEK6	98.7	4	4.307e-17	3.909e-15
SOX4	72.4	4.2	3.695e-17	4.420e-15
ARL11	44.9	5.3	4.163e-17	4.420e-15
FNBP1	132.1	5.5	5.141e-17	4.691e-15
LGALS1	903.3	6.7	5.964e-17	4.694e-15
GMFG	452.3	3.4	6.049e-17	4.799e-15
RAP1GAP2	22	4.6	3.083e-17	4.840e-15
MYO15B	297.1	5.3	5.506e-17	4.900e-15
TSKU	733.9	-3.9	7.908e-17	5.339e-15
PTK7	35.1	4.9	7.020e-17	6.024e-15
ALOX5AP	1468.5	9.1	7.014e-17	6.487e-15
C1orf162	125.4	7.1	6.937e-17	6.843e-15
NKG7	82	7.7	7.993e-17	6.902e-15
SPI1	72.2	7	6.405e-17	6.939e-15
ALCAM	60.4	4.3	7.502e-17	7.130e-15
ATG16L2	188.5	4.6	8.936e-17	7.538e-15
DNAJC4	211.2	1.9	9.904e-17	8.306e-15
ARHGDIB	2010.6	2.8	1.221e-16	8.844e-15
FAM101B	665.7	5.8	1.230e-16	8.860e-15
ADRB2	79.9	5.4	8.895e-17	9.307e-15
CD99	1024.5	2.5	1.733e-16	1.247e-14
CXorf21	17.9	8	1.784e-16	1.790e-14
PPAP2A	93.1	7.7	2.308e-16	1.836e-14
ACOT11	40.2	3.5	2.057e-16	1.847e-14
HPGDS	111.5	6.4	2.017e-16	1.847e-14
ST3GAL6	98.6	6.8	1.834e-16	1.855e-14
HIP1	76.7	3.6	2.616e-16	2.035e-14
EMILIN2	329.5	5.2	1.976e-16	2.128e-14
PLXDC2	97.9	4.9	2.507e-16	2.244e-14
CPXM1	103	6.2	2.559e-16	2.279e-14
MRC2	51.2	6.1	2.552e-16	2.302e-14
SEMA4A	94.8	5	3.116e-16	3.035e-14
MATK	27.2	4.6	3.458e-16	3.035e-14
TNFSF10	56.1	3.7	3.782e-16	3.357e-14
PTAFR	118.5	5.5	4.533e-16	3.377e-14
IL17RA	301	5	4.446e-16	3.377e-14
FNDC3B	404.7	3.6	3.341e-16	3.429e-14
MYO1F	325.9	6.2	3.963e-16	4.046e-14
P2RY8	278.9	4.1	5.807e-16	4.318e-14
TPST1	34.1	6.3	6.812e-16	5.644e-14
PLCL2	522.8	4.4	8.881e-16	5.678e-14
KIAA1683	710.3	7.7	9.012e-16	5.761e-14
GNB5	44.2	3.4	9.526e-16	6.365e-14
CLC	16420.4	8.1	1.030e-15	6.485e-14
SH2D3C	76.6	5.4	9.170e-16	6.652e-14
AHSP	59630.8	-4	1.079e-15	6.923e-14
MSRB3	143.1	3.3	7.899e-16	7.352e-14
CHAC2	562.6	-1.9	1.265e-15	7.657e-14
SIGLEC10	42.1	4.7	9.932e-16	7.866e-14
SNX22	895.2	-2.2	1.341e-15	8.035e-14
ARHGAP27	640.6	7.3	1.360e-15	8.269e-14
C3AR1	120.5	5.9	1.184e-15	8.298e-14
CFH	74.9	4.5	1.225e-15	8.337e-14
CPA3	2238	8.8	1.492e-15	8.942e-14
STK4	966.9	1.8	1.977e-15	1.179e-13
IL1B	69.5	4.4	1.615e-15	1.402e-13
PROM1	33.4	10	1.831e-15	1.423e-13
GAPT	111.4	8	2.228e-15	1.517e-13
NCF1	136.1	7.2	2.146e-15	1.652e-13
ABCA2	144.8	5.2	2.217e-15	1.698e-13
RARRES3	287.9	2.5	2.965e-15	1.729e-13
CD84	315.1	4.6	2.091e-15	1.899e-13
C1orf186	378.3	8.5	3.406e-15	1.968e-13
PLD3	1036.7	2.1	3.503e-15	2.004e-13
GPR174	26.3	3.8	2.749e-15	2.219e-13
RNASE6	33	4.2	5.131e-15	3.288e-13
MRPS31	488.6	-1.3	5.991e-15	3.447e-13
SLC37A2	53.1	5.4	4.797e-15	3.475e-13
OSBP2	10144.9	-3.2	6.375e-15	3.603e-13
SNX8	1644.9	-1.7	7.476e-15	4.163e-13
HLA-DRA	250.6	5.9	7.368e-15	4.769e-13
PILRA	50.8	7.4	7.696e-15	4.801e-13
CDKN2D	912.2	4.2	9.906e-15	4.810e-13
FAM132B	1985.3	-3.3	9.550e-15	5.246e-13
C19orf77	322	7	8.610e-15	5.246e-13
NFIB	22.6	4.6	5.920e-15	5.375e-13
FMNL1	91.4	5.9	8.638e-15	5.402e-13
CNR2	51.6	7.1	7.750e-15	5.475e-13
PDE4D	55.4	4.3	7.929e-15	5.475e-13
ADAM28	68.9	5.7	8.953e-15	5.503e-13
C10orf11	29.1	4.7	7.722e-15	5.503e-13
MFSD2B	2577.2	-2	1.150e-14	6.257e-13
GATA2	1232.4	4.6	1.011e-14	6.522e-13
SSR4	2090.1	1.3	1.251e-14	6.561e-13
C16orf54	131.1	3.6	8.923e-15	6.808e-13
SELP	58.5	5.6	1.037e-14	7.218e-13
NOTCH1	181.7	3.4	1.562e-14	9.443e-13
TWF2	100.2	1.7	1.756e-14	1.023e-12
RUNX2	75.7	7.8	1.736e-14	1.172e-12
AIFM2	534.7	-2.9	2.295e-14	1.174e-12
MMRN1	74.6	5.3	2.004e-14	1.182e-12
TAPSAR1	45.6	4.6	2.339e-14	1.253e-12
TMEM63B	1745.1	-2	2.096e-14	1.297e-12
FYB	121.1	6.3	2.326e-14	1.539e-12
