Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	36	10	4.57769415033e-07	0.00203066512509	UROD:SPTA1:PPOX:HMBS:FECH:BLVRB:SLC25A38:CPOX:EIF2AK1:ALAD	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS
GO_bp	GO_HEME_BIOSYNTHETIC_PROCESS	20	7	1.70792562897e-06	0.00336382635634	UROD:PPOX:HMBS:FECH:SLC25A38:CPOX:ALAD	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HEME_BIOSYNTHETIC_PROCESS
GO_bp	GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS	27	8	2.27490511024e-06	0.00336382635634	UROD:SPTA1:PPOX:HMBS:FECH:SLC25A38:CPOX:ALAD	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS
GO_bp	GO_HEME_METABOLIC_PROCESS	29	8	4.4664923576e-06	0.00464364594134	UROD:PPOX:HMBS:FECH:BLVRB:SLC25A38:CPOX:ALAD	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HEME_METABOLIC_PROCESS
GO_bp	GO_ERYTHROCYTE_HOMEOSTASIS	72	13	5.23404637212e-06	0.00464364594134	TAL1:AMPD3:SOX6:RB1:EPB42:KLF1:CEBPG:SLC25A38:ADD1:VEGFA:RHAG:JAK2:GATA1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ERYTHROCYTE_HOMEOSTASIS
GO_bp	GO_RESPONSE_TO_METHYLMERCURY	12	5	7.51191851065e-06	0.00555381175221	UROD:HMBS:FECH:CPOX:ALAD	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_METHYLMERCURY
GO_bp	GO_MYELOID_CELL_HOMEOSTASIS	87	14	1.14163410117e-05	0.0072346983897	TAL1:AMPD3:SOX6:RB1:EPB42:KLF1:CEBPG:BCL2L11:SLC25A38:ADD1:VEGFA:RHAG:JAK2:GATA1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MYELOID_CELL_HOMEOSTASIS
GO_bp	GO_EMBRYONIC_HEMOPOIESIS	20	6	2.18609068708e-05	0.00969749828789	TAL1:KMT2A:SH2B3:FLT3LG:VEGFA:GATA1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EMBRYONIC_HEMOPOIESIS
GO_bp	GO_ORGANIC_CATION_TRANSPORT	20	6	2.18609068708e-05	0.00969749828789	RHD:RHCE:SLC25A42:SLC22A4:RHAG:SLC22A16	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ORGANIC_CATION_TRANSPORT
GO_bp	GO_MICROVILLUS_ORGANIZATION	20	6	2.18609068708e-05	0.00969749828789	RAP1A:STX2:RAP2A:MINK1:MAP4K4:RAP2B	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MICROVILLUS_ORGANIZATION
