gene	baseMean	log2FoldChange	pvalue	padj
TMCC2	5320.8	1.9618	5.499660692e-58	1.032e-53
DUSP1	1153.7	1.3515	5.528621122e-13	5.189e-09
FOS	963.2	1.0007	2.463865243e-11	2.552e-08
PNMA1	890.7	0.8302	5.383395772e-08	7.208e-05
CREG1	461.9	0.7539	1.654809147e-05	1.773e-02
JUNB	1485.9	0.642	8.083314408e-06	2.529e-02
OSTM1	458.4	0.7483	9.333848981e-05	3.618e-02
CCDC117	429.3	0.8505	5.240944501e-05	3.618e-02
IER2	462.3	0.6183	1.508677898e-04	5.199e-02
TSC22D2	552.2	0.647	2.615845893e-04	6.760e-02
ZFAND5	905.3	0.645	2.177526974e-04	6.760e-02
HMOX1	582.3	-0.6283	2.137904422e-04	6.760e-02
INSIG1	1671	0.4912	4.596307345e-04	1.061e-01
XK	3454.3	0.4965	4.781596401e-04	1.061e-01
EGR1	709.1	0.51	9.469364700e-04	1.949e-01
DDIT3	699.1	-0.566	1.005337483e-03	1.949e-01
PITHD1	935.9	0.4873	1.141443742e-03	2.238e-01
KLC3	37.8	1.6271	2.146065996e-04	2.238e-01
PPP2CA	762.8	0.6137	8.963744422e-04	2.527e-01
CUL4A	2271.7	0.4382	9.706817584e-04	2.599e-01
AKIRIN1	286.2	0.7428	3.463197518e-04	3.096e-01
HSPH1	659.4	0.5161	2.832381063e-03	4.001e-01
STRADB	3942.8	0.4134	2.149334165e-03	4.142e-01
CCNI	1168.9	0.4091	3.787879127e-03	4.142e-01
USP38	768.6	0.482	3.750406387e-03	4.142e-01
SH3BGRL2	645.3	0.5374	3.645428485e-03	4.142e-01
SCD	2218.7	-0.3493	3.211053424e-03	4.142e-01
ITM2B	2460.5	0.473	3.529027021e-03	4.142e-01
PTBP1	1352.9	0.3685	2.859700795e-03	4.142e-01
EFCAB14	593.9	0.4492	4.617205722e-03	4.773e-01
SOCS2	677.6	0.4408	4.802017860e-03	4.814e-01
TSC22D3	1557.1	-0.3623	5.313647676e-03	5.150e-01
HSPA5	10752.4	-0.3718	9.122843269e-04	5.153e-01
CELF1	1012.5	0.3566	5.637765714e-03	5.153e-01
JAK2	429.1	0.608	9.814170568e-04	5.264e-01
USP9X	2376.7	0.3465	7.441933379e-03	6.183e-01
TP53INP1	2201.8	0.5492	1.251716322e-03	6.183e-01
KLF1	5583.4	0.4959	1.242140298e-03	6.183e-01
ATP5D	1314.5	0.5111	7.061804212e-03	6.300e-01
TOR3A	411.9	0.535	1.642665459e-03	7.521e-01
UBE2G1	416.4	0.4928	9.901781181e-03	7.521e-01
ABCG2	1099.7	0.3524	1.000962336e-02	8.292e-01
USP48	353.3	0.4085	1.341460378e-02	9.569e-01
DAP	1076.3	0.3653	1.258955997e-02	9.569e-01
AKIRIN2	478.5	0.3792	1.422876290e-02	9.569e-01
ZNF800	133.4	0.795	2.395818634e-03	9.569e-01
MICU2	466	0.5094	1.424461233e-02	9.569e-01
OR4F5	0.3	0	1.000000000e+00	1.000e+00
RP11-34P13.7	3.7	0.2728	8.206661300e-01	1.000e+00
AL627309.1	7.3	-0.3568	6.817674040e-01	1.000e+00
RP11-34P13.9	0.6	-3.0024	3.681050529e-01	1.000e+00
AP006222.2	71.1	-0.1878	5.176076815e-01	1.000e+00
RP4-669L17.10	1.1	1.0073	6.756015837e-01	1.000e+00
RP5-857K21.4	0.9	-1.4523	5.706576119e-01	1.000e+00
RP11-206L10.3	0.7	0.8846	7.718717726e-01	1.000e+00
RP11-206L10.4	0.1	0.9525	8.346174103e-01	1.000e+00
RP11-206L10.2	6	0.1487	8.789017388e-01	1.000e+00
RP11-206L10.9	2.7	-0.6358	6.518663875e-01	1.000e+00
FAM87B	4.1	-0.8972	4.866459716e-01	1.000e+00
LINC00115	4.9	1.8192	1.491449279e-01	1.000e+00
FAM41C	8.9	0.2343	7.609858927e-01	1.000e+00
NOC2L	387.4	-0.0205	9.034977574e-01	1.000e+00
KLHL17	4.9	0.8044	4.557842500e-01	1.000e+00
PLEKHN1	0.3	0.9525	8.330602399e-01	1.000e+00
ISG15	253	-0.3433	1.643436581e-01	1.000e+00
AGRN	246.9	-0.0849	6.586546454e-01	1.000e+00
