Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_DEFENSE_RESPONSE	1194	131	6.2320163868e-20	2.76452246918e-16	TNFRSF18:TNFRSF4:TNFRSF8:PADI4:CNR2:FGR:IFI6:PTAFR:TMEM39B:TRIM62:F3:FCGR1A:TNFAIP8L2:S100A8:MNDA:SLAMF1:CD48:FCER1G:CR1:IL2RA:ALOX5:PRF1:ADAM8:SLC35C1:PRG2:MS4A2:PTPRCAP:UNC93B1:TIRAP:C3AR1:CLEC1B:CELA1:IL23A:OASL:RNASE6:RNASE3:CEBPE:LTB4R:CTSG:BATF:THBS1:B2M:PSTPIP1:FES:MMP25:CORO1A:PYCARD:NOD2:NLRC5:HP:COTL1:CYBA:CCL2:CCL5:CCL23:EPX:LPO:CD300LB:CD300C:HRH4:SERPINB10:AZU1:ELANE:TBXA2R:P2RY11:ICAM1:BST2:GMIP:NFKBID:TYROBP:AXL:C5AR1:C5AR2:SIGLEC14:FPR2:LILRA2:ADAM17:GNLY:IL18RAP:TNFAIP6:DPP4:ALS2:CXCR2:CXCR1:SCG2:SIRPB1:HCK:CEBPB:ITGB2:SCUBE1:IL5RA:IL17RE:CX3CR1:CCR3:CCR1:CCR2:CCR5:HYAL3:TLR9:TLR9:STAB1:PRKCD:PXK:MYLK:CPA3:IL1RAP:SPON2:PF4:PPBP:CXCL3:ANXA3:SPP1:IL4:CAMLG:REEP2:CD14:CSF1R:NDST1:F12:TREML1:NCF1:CLEC5A:CLU:STAR:LY96:TLR4:ADAMTS13:CARD9:C8G:BMX:VSIG4:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DEFENSE_RESPONSE
GO_bp	GO_INFLAMMATORY_RESPONSE	451	67	3.23556320226e-17	5.45723799056e-14	TNFRSF18:TNFRSF4:TNFRSF8:CNR2:PTAFR:F3:S100A8:FCER1G:IL2RA:ALOX5:ADAM8:MS4A2:TIRAP:C3AR1:CELA1:IL23A:LTB4R:THBS1:PSTPIP1:MMP25:PYCARD:HP:CYBA:CCL2:CCL5:CCL23:HRH4:AZU1:ELANE:TBXA2R:ICAM1:NFKBID:AXL:C5AR1:C5AR2:FPR2:IL18RAP:TNFAIP6:CXCR2:CXCR1:SCG2:HCK:CEBPB:ITGB2:SCUBE1:IL5RA:IL17RE:CCR3:CCR1:CCR2:CCR5:HYAL3:TLR9:TLR9:STAB1:PXK:IL1RAP:PF4:PPBP:CXCL3:SPP1:CD14:CSF1R:NDST1:F12:LY96:TLR4:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_INFLAMMATORY_RESPONSE
GO_bp	GO_IMMUNE_RESPONSE	1048	114	3.69064787459e-17	5.45723799056e-14	TNFRSF18:TNFRSF4:TNFRSF8:PADI4:CNR2:FGR:IFI6:PTAFR:TRIM62:TGFBR3:FCGR1A:TNFAIP8L2:S100A8:S100A13:SLAMF1:FCER1G:FCGR2B:LAX1:CR1:IL2RA:PRF1:PRG3:PRG2:MS4A2:PTGDR2:UNC93B1:TIRAP:C3AR1:IL23A:OASL:RNASE3:LTB4R:CTSG:BATF:GPR65:CRIP1:CRIP1:THBS1:B2M:SMAD6:CD276:PSTPIP1:FES:CORO1A:MYLPF:PYCARD:NOD2:NLRC5:CYBA:TNFSF13:CCL2:CCL5:CCL23:MILR1:CD300LB:AZU1:ELANE:SBNO2:TNFSF14:ICAM1:BST2:TYROBP:AXL:PRKD2:C5AR1:TRPM4:SIGLEC14:LILRA2:ADAM17:IL1RL1:IL18R1:IL18RAP:SIRPB1:CST7:HCK:CEBPB:LIF:NCF4:LGALS1:IL5RA:CX3CR1:CCR1:CCR2:CCR5:TLR9:TLR9:PRKCD:GATA2:IL1RAP:SPON2:PF4:PPBP:CXCL3:ANXA3:IL4:CD14:CSF1R:HRH2:F12:TREML1:ENPP3:LFNG:MYO1G:NCF1:CLEC5A:CLU:STAR:LY96:PKHD1L1:TLR4:ADAMTS13:CARD9:C8G:FUT7:BMX:VSIG4	http://www.broadinstitute.org/gsea/msigdb/cards/GO_IMMUNE_RESPONSE
GO_bp	GO_IMMUNE_SYSTEM_PROCESS	1924	173	4.94831405112e-17	5.48768028269e-14	TNFRSF18:TNFRSF4:KCNAB2:TNFRSF8:PADI4:CNR2:FGR:IFI6:PTAFR:TRIM62:TGFBR3:S1PR1:FCGR1A:CTSK:TNFAIP8L2:S100A8:S100A13:CHRNB2:MNDA:SLAMF1:CD48:FCER1G:FCGR2B:LAX1:CR1:BATF3:IL2RA:PRF1:ADAM8:SPI1:PRG3:PRG2:MS4A2:PTGDR2:CLCF1:UNC93B1:TIRAP:KIRREL3:C3AR1:CLEC1B:CACNB3:IL23A:OASL:ARL11:RNASE3:CEBPE:LTB4R:RIPK3:CTSG:BATF:GPR65:JAG2:CRIP1:CRIP1:THBS1:B2M:ANXA2:DAPK2:SMAD6:CD276:PSTPIP1:FES:IL21R:CORO1A:MYLPF:PYCARD:ITGAM:ITGAX:NOD2:NLRC5:GPR97:SMPD3:HP:CYBA:PLD2:TNFSF13:CCL2:CCL5:CCL23:IKZF3:HOXB6:EPX:MILR1:CD300A:CD300LB:CD300C:CD300LF:SLC16A3:AZU1:PRTN3:ELANE:SBNO2:AP3D1:PIP5K1C:TNFSF14:ICAM1:HSH2D:BST2:CEBPA:TYROBP:AXL:TMEM91:CEACAM1:PRKD2:C5AR1:TRPM4:SIGLEC14:NLRP12:LILRA2:GP6:ADAM17:EPAS1:IL1RL1:IL18R1:IL18RAP:DPP4:CXCR2:CXCR1:INHA:SCG2:SIRPB1:CST7:HCK:L3MBTL1:ELMO2:CEBPB:ITGB2:LIF:NCF4:LGALS1:PDGFB:IL5RA:CX3CR1:CCR1:CCR2:CCR5:TLR9:TLR9:PRKCD:GATA2:IL1RAP:SPON2:PF4:PPBP:CXCL3:ANXA3:FST:IL4:CD14:CSF1R:HRH2:F12:TREML1:ENPP3:LFNG:ACTB:HOXA9:POLM:MYO1G:LIMK1:NCF1:CLEC5A:CLU:STAR:LY96:PKHD1L1:TLR4:ADAMTS13:CARD9:C8G:FUT7:BMX:VSIG4:CXCR3:RAB33A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_IMMUNE_SYSTEM_PROCESS
GO_bp	GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1358	132	1.10219996995e-15	9.7787181334e-13	TNFRSF18:TNFRSF4:PADI2:CNR2:FGR:PTAFR:TMEM39B:PTGER3:CD101:FCGR1A:CTSK:TNFAIP8L2:CHRNB2:MNDA:SLAMF1:FCER1G:FCGR2B:LAX1:SOX13:CR1:HLX:IL2RA:ADAM8:CTR9:SLC35C1:NR1H3:SPI1:LPXN:MS4A2:CLCF1:TBC1D10C:UNC93B1:APOA1:TIRAP:C3AR1:CACNB3:IL23A:MMP14:RIPK3:CTSG:MEIS2:THBS1:B2M:DAPK2:CD276:FES:VIMP:SOCS1:CORO1A:PYCARD:ITGAM:NOD2:NLRC5:CYBA:PLD2:TMEM102:TNFSF13:PIK3R6:CCL2:CCL5:IKZF3:MILR1:CD300A:CD300LB:CD300C:CD300LF:SERPINB10:CD226:ELANE:AP3D1:TNFSF14:FCER2:ICAM1:BST2:GMIP:NFKBID:TYROBP:CLC:AXL:CEACAM1:TEX101:PRKD2:C5AR1:C5AR2:TRPM4:CD33:OSCAR:ADAM17:IL1RL1:DPP4:IGFBP2:INHA:HCK:L3MBTL1:ELMO2:CEBPB:ITGB2:LIF:LGALS1:CCR1:CCR2:GPX1:TLR9:TLR9:PRKCD:CD200R1:MYLK:GATA2:CPA3:SPON2:PF4:PPBP:CXCL3:THBS4:IL4:REEP2:CD14:CSF1R:TREML1:ACTB:HOXA9:MYO1G:LIMK1:TMEM176B:GNRH1:CLU:LY96:TLR4:GSN:CARD9:C8G:VSIG4:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GO_bp	GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	57	21	5.31860447404e-15	3.93222157447e-12	TNFRSF8:PTAFR:FCER1G:ADAM8:TIRAP:IL23A:THBS1:PYCARD:NOD2:CYBA:CCL2:AZU1:CCR2:TLR9:TLR9:SPON2:PF4:CD14:CLU:LY96:TLR4:CARD9	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
GO_bp	GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS	602	72	2.51312729997e-13	1.59260467181e-10	TNFRSF18:TNFRSF4:TNFRSF8:IFI6:PTAFR:TRIM62:PTGER3:F3:FCGR1A:EDARADD:IL2RA:CTR9:CLCF1:P2RY2:KRT18:OASL:B2M:DUOX2:CDIP1:SOCS1:IL21R:CORO1A:PYCARD:CYBA:TNFSF13:CCL2:CCL5:CCL23:SBNO2:TNFSF14:ICAM1:BST2:SLC27A1:CEBPA:AXL:NLRP12:ADAM17:GPR75:IL1RL1:IL18R1:IL18RAP:CXCR2:CXCR1:HCK:CEBPB:RTN4R:CSF2RB:IL5RA:IL17RE:CX3CR1:CCR3:CCR1:CCR2:CCR5:HYAL3:PRKCD:ST3GAL6:IL1RAP:PF4:PPBP:CXCL3:ACSL1:CSF1R:STAR:VLDLR:IL11RA:NPR2:HSPA5:CDK9:CSF2RA:IL3RA:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS
GO_bp	GO_REGULATION_OF_CELL_ACTIVATION	458	60	4.38195387824e-13	2.42979342548e-10	TNFRSF4:CNR2:FGR:PTAFR:PTGER3:TNFAIP8L2:CHRNB2:MNDA:SLAMF1:FCER1G:LAX1:SOX13:HLX:IL2RA:ADAM8:NR1H3:CLCF1:TBC1D10C:TIRAP:IL23A:MMP14:RIPK3:THBS1:CAPN3:CD276:FES:CORO1A:PYCARD:NOD2:ALOX12:TNFSF13:PIK3R6:CCL2:CCL5:IKZF3:MILR1:CD300A:CD226:AP3D1:TNFSF14:NFKBID:CLC:AXL:CEACAM1:TEX101:IL1RL1:DPP4:IGFBP2:INHA:SERPINE2:CEBPB:LGALS1:PDGFB:CCR2:PRKCD:IL4:ADRB2:GNRH1:TLR4:GSN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_ACTIVATION
GO_bp	GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	320	48	5.32777962595e-13	2.62600338008e-10	TNFRSF18:TNFRSF4:TNFRSF8:CNR2:PTAFR:PTGER3:F3:S100A8:PLAU:CTR9:NR1H3:P2RY2:TIRAP:SCARB1:CEBPE:CTSG:B2M:VIMP:SOCS1:PYCARD:NOD2:CCL2:CCL5:ELANE:SBNO2:TBXA2R:ICAM1:AXL:PTGIR:C5AR1:ADAM17:HCK:CEBPB:CX3CR1:CCR2:CCR5:TLR9:TLR9:SPON2:PF4:PPBP:CXCL3:CD14:GNRH1:STAR:LY96:VLDLR:TLR4:CARD9	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN
GO_bp	GO_CELL_ACTIVATION	564	68	7.69227892996e-13	3.41229493333e-10	TNFRSF4:S100A13:CHRNB2:SLAMF1:FCER1G:F5:LAX1:BATF3:PRF1:DGKZ:SPI1:PRG3:CLCF1:TRPC6:CD9:CLEC1B:KRT2:IL23A:RIPK3:BATF:JAG2:B2M:CD276:IL21R:CORO1A:PYCARD:GPR97:PIK3R6:CCL5:IKZF3:MILR1:MYL12A:AZU1:SBNO2:TNFSF14:ICAM1:HSH2D:BST2:TYROBP:AXL:GP6:ADAM17:IL18R1:DPP4:CXCR2:CEBPB:ITGB2:LGALS1:CX3CR1:PRKCD:GATA2:GP9:PF4:PPBP:ANXA3:IL4:TREML1:LFNG:ACTB:HOXA9:POLM:CLU:GNA14:TLR4:ADAMTS13:FUT7:BMX:FLNA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELL_ACTIVATION
