chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr10	134148978	134149228	30.8	3	1.423e-15	3.504e-11
chr22	30758992	30759242	47.9	-2.4	4.218e-12	1.071e-07
chr14	106311802	106312052	31.5	-2.6	2.109e-11	2.382e-07
chr11	2121636	2121886	46.2	-2.5	9.729e-11	1.106e-06
chr12	2989115	2989365	26.6	-2.7	6.423e-10	2.996e-06
chr13	31314424	31314674	22.5	2.5	3.495e-10	3.488e-06
chr19	52299446	52299696	23.8	-2.9	4.371e-10	3.762e-06
chr1	43418240	43418490	82.1	-1.8	1.802e-09	1.218e-05
chr5	68596421	68596671	34.8	-1.9	5.674e-09	1.218e-05
chr6	28869729	28869979	40.8	-2	4.539e-09	1.218e-05
chr17	1633525	1633775	149.6	-1.5	7.528e-10	1.218e-05
chr21	34883234	34883484	42	-2.8	4.036e-09	1.218e-05
chr2	208368018	208368268	39.2	-2.4	5.748e-09	1.496e-05
chr6	52086168	52086418	14.7	2.5	4.281e-09	1.496e-05
chr6	147197580	147197830	24.6	2.3	9.132e-09	1.496e-05
chr17	42359028	42359278	123.7	-1.8	1.537e-09	1.496e-05
chr7	104584047	104584297	27.7	2.5	1.168e-08	1.691e-05
chr1	204641602	204641852	90.8	-1.8	7.558e-09	2.086e-05
chr5	180565338	180565588	29.4	-2.7	1.910e-08	2.351e-05
chr8	86290375	86290625	29.9	-2.2	1.743e-08	2.351e-05
chr7	8074929	8075179	33.4	-2.1	1.870e-08	3.226e-05
chr1	210755991	210756241	16.9	3.1	1.342e-08	3.287e-05
chr14	65308537	65308787	54.9	-1.6	1.485e-08	3.287e-05
chr12	113728381	113728631	33.3	-2	3.717e-08	4.158e-05
chr1	204660458	204660708	65.4	-2.5	2.604e-08	4.518e-05
chr2	204582779	204583029	12.5	2.2	1.985e-08	4.518e-05
chr3	183596023	183596273	16.1	2.4	2.684e-08	4.518e-05
chr4	185334496	185334746	44.4	-2.1	2.518e-08	4.518e-05
chr15	68895613	68895863	37.5	-2.3	5.169e-08	4.518e-05
chr16	193087	193337	67.2	-1.6	3.045e-08	4.518e-05
