chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr22	19920963	19921213	125.9	2.4	2.748e-13	1.198e-08
chr19	12444389	12444639	108.4	2	3.284e-12	4.422e-08
chr1	21564261	21564511	41.2	2.5	7.790e-11	2.965e-07
chr7	5570603	5570853	62.9	-2.7	6.083e-11	2.965e-07
chr22	19920172	19920422	175.5	2	2.771e-11	2.965e-07
chr17	26295236	26295486	134.8	2	1.339e-10	7.460e-07
chr16	67794137	67794387	125.6	2	2.217e-10	1.059e-06
chr22	42576371	42576621	68.3	2.4	5.928e-10	1.288e-06
chr17	58439310	58439560	66.1	2.2	8.681e-10	1.358e-06
chr1	89412665	89412915	90.7	2.2	5.534e-10	1.446e-06
chr8	49379216	49379466	105.4	2.2	6.442e-10	1.446e-06
chr22	24407622	24407872	100.5	1.9	5.786e-10	1.446e-06
chr1	45296748	45296998	107.5	1.7	9.693e-10	1.505e-06
chr2	43380217	43380467	49.8	2	1.151e-09	1.505e-06
chr2	65754567	65754817	25.7	2.5	8.860e-10	1.505e-06
chr3	151569935	151570185	75.7	2	7.856e-10	1.505e-06
chr15	78568996	78569246	45.8	1.9	1.301e-09	1.505e-06
chr17	72283250	72283500	73.1	1.6	1.526e-09	1.505e-06
chr3	45900652	45900902	61.9	2.2	2.770e-09	2.685e-06
chr15	91191842	91192092	52.6	2.4	3.088e-09	2.685e-06
chr11	66675796	66676046	76.4	2	2.503e-09	3.211e-06
chr4	10184765	10185015	92.4	2.1	2.801e-09	3.465e-06
chr5	149434991	149435241	99.3	1.8	2.715e-09	3.465e-06
chr1	8602287	8602537	30.4	2.1	3.096e-09	3.510e-06
chr7	129390012	129390262	89.6	2.3	3.620e-09	3.510e-06
chr8	97924083	97924333	41.6	2	5.635e-09	3.510e-06
chr15	33554581	33554831	38.6	3	4.668e-09	3.510e-06
chr19	50279108	50279358	66.3	1.6	6.892e-09	3.510e-06
chr22	18285678	18285928	74	1.7	5.169e-09	3.510e-06
chr9	72147350	72147600	79.2	2.1	4.112e-09	3.692e-06
chr11	97834489	97834739	128	1.9	2.685e-09	3.950e-06
chr1	226160907	226161157	27.1	2.1	4.137e-09	4.260e-06
chr2	86416572	86416822	82.4	2.4	5.210e-09	4.260e-06
chr2	88549976	88550226	114.9	2.3	3.309e-09	4.260e-06
chr3	143002294	143002544	141	2.1	4.605e-09	5.482e-06
chr10	71094171	71094421	83.6	1.3	7.453e-09	5.482e-06
chr12	32207086	32207336	52.2	1.8	1.015e-08	5.482e-06
chr15	39432256	39432506	107.8	1.9	7.441e-09	5.482e-06
chr11	73916295	73916545	73.2	2.1	1.556e-08	5.501e-06
chr22	33277272	33277522	142.5	1.9	4.864e-09	5.501e-06
chr11	12222751	12223001	78.3	1.9	9.334e-09	6.524e-06
chr20	60849662	60849912	69.7	1.8	1.364e-08	6.524e-06
chr19	53439646	53439896	115.2	1.9	6.427e-09	6.815e-06
chr19	10305537	10305787	75.2	2.2	1.614e-08	7.227e-06
chr12	113859070	113859320	61.9	1.7	2.119e-08	8.186e-06
chr1	160510002	160510252	153.3	2	8.763e-09	8.586e-06
chr5	133802181	133802431	25.5	-1.6	1.613e-08	8.586e-06
chr17	74030554	74030804	78.9	1.4	1.467e-08	8.586e-06
chr9	131886926	131887176	36.1	2.3	2.801e-08	9.939e-06
chr1	158661767	158662017	34.3	2.2	1.979e-08	1.035e-05
chr2	28731370	28731620	119.2	1.7	1.146e-08	1.035e-05
chr6	164198347	164198597	131.8	2.3	1.653e-08	1.035e-05
chr7	73300409	73300659	131.9	2.2	1.176e-08	1.035e-05
chr14	31528854	31529104	143.6	2	1.470e-08	1.035e-05
chr7	99432889	99433139	65.9	1.8	3.097e-08	1.072e-05
chr4	2796202	2796452	64.4	1.7	3.739e-08	1.248e-05
chr22	31892215	31892465	122.1	1.7	1.547e-08	1.248e-05
chr1	200123360	200123610	71.6	1.6	5.254e-08	1.276e-05
chr7	1687924	1688174	68.3	2.2	3.986e-08	1.286e-05
chr22	18307278	18307528	136.8	2.1	1.749e-08	1.319e-05
chr1	16470350	16470600	64.2	1.9	4.694e-08	1.338e-05
chr16	4875300	4875550	66.7	1.9	5.065e-08	1.365e-05
chr6	37679702	37679952	63.8	2	4.725e-08	1.403e-05
chr15	51944408	51944658	96.2	2.4	3.289e-08	1.403e-05
chr15	79055285	79055535	45.5	1.7	4.661e-08	1.403e-05
chr19	5091123	5091373	87.4	1.7	3.363e-08	1.403e-05
chr20	60810222	60810472	72.9	1.9	4.916e-08	1.403e-05
chr11	73727415	73727665	69	2	5.024e-08	1.451e-05
chr14	23366630	23366880	82.7	1.5	3.412e-08	1.451e-05
chr20	37576650	37576900	64.5	2	7.582e-08	1.526e-05
chr5	168240676	168240926	105.2	1.8	4.326e-08	1.641e-05
chr1	186081492	186081742	62.1	2	6.380e-08	1.687e-05
chr2	30402037	30402287	102.5	1.8	4.661e-08	1.785e-05
chr1	116951920	116952170	40.4	2	6.685e-08	1.799e-05
chr17	17605906	17606156	101.1	1.9	5.010e-08	1.799e-05
chr6	46097567	46097817	87.2	1.7	4.781e-08	1.846e-05
chr12	122309484	122309734	190.5	1.6	3.250e-08	1.895e-05
chr18	14132410	14132660	81.5	1.6	5.036e-08	1.895e-05
chr1	156847616	156847866	86.6	2.1	5.459e-08	1.932e-05
chr2	43037471	43037721	91.3	1.6	5.276e-08	1.936e-05
chr1	26704964	26705214	164.5	1.4	4.717e-08	1.947e-05
chr1	226992619	226992869	72.5	1.7	8.759e-08	2.017e-05
chr15	101137063	101137313	68.7	1.8	1.189e-07	2.017e-05
chr10	80787158	80787408	96.1	1.6	6.150e-08	2.023e-05
chr17	40094453	40094703	152.2	1.8	3.761e-08	2.023e-05
chr21	47875706	47875956	78.3	1.6	6.708e-08	2.101e-05
chr2	174939596	174939846	55	1.8	1.105e-07	2.190e-05
chr11	75246187	75246437	122	1.6	4.226e-08	2.190e-05
chr7	99659193	99659443	64.1	1.9	1.427e-07	2.258e-05
chr17	19174397	19174647	102	2	7.651e-08	2.290e-05
chr8	30892255	30892505	95.5	1.9	7.611e-08	2.325e-05
chr3	195774694	195774944	43.2	2.3	1.111e-07	2.379e-05
chr20	5656176	5656426	113.3	1.7	5.081e-08	2.382e-05
chr22	30758992	30759242	47.9	1.5	1.578e-07	2.806e-05
chr5	131649838	131650088	132.1	1.6	6.153e-08	2.823e-05
chr19	42733560	42733810	61.5	1.4	1.509e-07	3.095e-05
chr1	88219943	88220193	57.7	2	1.560e-07	3.168e-05
chr5	159048202	159048452	124.9	1.8	8.558e-08	3.211e-05
chr19	15515069	15515319	54.7	1.4	1.614e-07	3.211e-05
chr17	46566173	46566423	43	1.9	1.637e-07	3.225e-05
chr7	64126316	64126566	54.6	1.9	2.070e-07	3.294e-05
chr10	71075371	71075621	84.5	1.5	1.168e-07	3.294e-05
chr13	38533573	38533823	57.7	1.8	1.936e-07	3.294e-05
chr20	56153212	56153462	63.3	2.4	1.814e-07	3.294e-05
chr22	23429058	23429308	37.3	2	1.770e-07	3.294e-05
chr3	17193227	17193477	68.5	1.6	1.922e-07	3.451e-05
chr1	43832971	43833221	59.8	1.7	2.192e-07	3.501e-05
chr7	138868704	138868954	59.8	1.9	1.937e-07	3.501e-05
chr11	915345	915595	42.2	1.6	1.889e-07	3.501e-05
chr11	9811491	9811741	71.4	1.8	2.223e-07	3.513e-05
chr9	134055936	134056186	75.4	2.1	2.453e-07	3.694e-05
chr3	123532800	123533050	34.7	2.2	2.305e-07	4.155e-05
chr6	11232814	11233064	99.6	1.6	1.973e-07	5.052e-05
chr9	135860258	135860508	79.6	1.8	2.072e-07	5.052e-05
chr17	499565	499815	41.9	1.8	2.742e-07	5.052e-05
chr22	41935940	41936190	62.5	1.8	2.996e-07	5.087e-05
chr3	52033909	52034159	76.7	2	2.150e-07	5.093e-05
chr12	53056179	53056429	96.3	1.5	2.150e-07	5.093e-05
chr7	142510154	142510404	82.7	1.6	2.194e-07	5.154e-05
chr20	45618891	45619141	27.7	2.4	1.848e-07	5.239e-05
chr4	87837602	87837852	59	2	3.727e-07	5.312e-05
chr7	106750420	106750670	67.9	1.6	3.719e-07	5.312e-05
chr8	49557956	49558206	26.6	1.7	2.764e-07	5.741e-05
chr16	8232802	8233052	91.2	1.8	2.589e-07	5.743e-05
chr16	72047832	72048082	63.4	1.4	4.268e-07	5.743e-05
chr17	53421873	53422123	61	1.8	5.098e-07	5.743e-05
chr3	53163464	53163714	103.2	1.9	2.750e-07	6.019e-05
chr9	90425685	90425935	75.8	1.6	3.106e-07	6.536e-05
chr16	3524276	3524526	46.5	1.7	5.137e-07	6.553e-05
chr17	5095124	5095374	80.5	1.5	3.069e-07	6.553e-05
chr20	5756831	5757081	47.9	1.4	4.268e-07	6.553e-05
chr3	52434243	52434493	80.2	1.6	3.216e-07	6.563e-05
chr11	1319248	1319498	69.5	1.9	5.129e-07	6.705e-05
chr1	110727054	110727304	52.6	2	4.742e-07	6.719e-05
chr11	32471998	32472248	75	1.6	6.488e-07	6.719e-05
chr15	22833297	22833547	64.3	1.9	4.781e-07	6.719e-05
chr11	74148498	74148748	46.8	2.1	5.376e-07	6.773e-05
chr22	31277503	31277753	122.4	1.6	2.058e-07	6.773e-05
chr1	186952519	186952769	38.8	2.2	4.587e-07	6.901e-05
chr11	46563204	46563454	38.1	1.5	4.854e-07	6.901e-05
chr12	5330026	5330276	86.5	1.8	3.475e-07	6.901e-05
chr22	23449238	23449488	90.9	1.9	3.486e-07	6.901e-05
chr13	27395902	27396152	46.1	2.1	5.271e-07	6.984e-05
chr19	55740102	55740352	176.8	1.5	2.223e-07	6.984e-05
chr3	13059765	13060015	38.7	1.8	5.211e-07	7.238e-05
chr22	18348229	18348479	45.4	1.4	5.308e-07	7.238e-05
chr22	31198822	31199072	56.7	1.6	5.376e-07	7.238e-05
chr17	75567639	75567889	83.2	2	3.870e-07	7.310e-05
chr3	176752662	176752912	41.7	1.9	5.244e-07	7.337e-05
chr8	11207837	11208087	62	1.8	6.603e-07	7.337e-05
chr10	5982878	5983128	50.4	2	6.456e-07	7.337e-05
chr17	25906867	25907117	56.1	1.7	6.716e-07	7.337e-05
chr17	73521575	73521825	42.6	1.6	5.834e-07	7.337e-05
chr16	31539044	31539294	99.3	1.5	3.943e-07	7.517e-05
chr3	46655984	46656234	60.8	1.9	7.214e-07	7.778e-05
chr11	118717029	118717279	63.9	1.6	6.474e-07	7.870e-05
chr19	34625288	34625538	38.1	1.7	6.492e-07	7.870e-05
chr12	90193161	90193411	29.7	2	4.237e-07	8.046e-05
chr20	19491318	19491568	72.9	2	7.764e-07	8.151e-05
chr20	48714880	48715130	73.5	1.9	6.852e-07	8.151e-05
chr3	39430203	39430453	93.1	1.4	4.742e-07	8.233e-05
chr8	2498295	2498545	87.4	1.6	4.898e-07	8.451e-05
chr2	118709860	118710110	24.7	2.4	5.388e-07	8.473e-05
chr9	100700544	100700794	99.8	2	5.012e-07	8.496e-05
chr3	4867665	4867915	65.8	1.1	8.505e-07	8.615e-05
chr6	161686632	161686882	60.9	2.1	8.362e-07	8.655e-05
chr14	58618836	58619086	43.5	1.8	7.339e-07	8.655e-05
chr20	35939485	35939735	24.7	1.7	5.530e-07	8.655e-05
chr11	1799539	1799789	39.2	1.9	7.847e-07	8.838e-05
chr1	45162663	45162913	23.2	2.6	6.448e-07	8.849e-05
chr6	49750072	49750322	42.1	2.3	8.907e-07	9.057e-05
chr5	133268495	133268745	78.6	1.6	5.792e-07	9.070e-05
chr22	40390093	40390343	63.3	1.6	9.512e-07	9.560e-05
chr5	177554473	177554723	80.1	1.5	6.059e-07	9.735e-05
chr17	504796	505046	81.6	1.7	5.932e-07	9.951e-05
chr19	17488179	17488429	36.1	2.2	9.206e-07	9.955e-05
chr11	33966317	33966567	96.7	1.6	6.565e-07	1.037e-04
chr19	14008141	14008391	68.5	1.8	9.758e-07	1.043e-04
chr1	160979468	160979718	105.3	1.8	7.153e-07	1.047e-04
chr2	48832951	48833201	46.8	1.9	9.377e-07	1.047e-04
chr4	53728237	53728487	49	1.5	1.006e-06	1.047e-04
chr9	71335860	71336110	82	2	6.444e-07	1.047e-04
chr12	47601063	47601313	160.1	1.6	4.251e-07	1.047e-04
chr21	46331941	46332191	55.6	1.4	1.105e-06	1.047e-04
chr7	44120856	44121106	70.8	1.9	1.045e-06	1.071e-04
chr8	22758376	22758626	62.3	2	1.191e-06	1.071e-04
chr8	61242895	61243145	53.5	1.5	1.164e-06	1.077e-04
chr12	127392581	127392831	133.8	1.5	5.469e-07	1.077e-04
chr10	59723406	59723656	37.1	2.1	1.088e-06	1.095e-04
chr12	116997249	116997499	134.4	1.6	4.606e-07	1.105e-04
chr2	75518863	75519113	26	2.4	8.545e-07	1.143e-04
chr3	43811085	43811335	60.1	-1.1	1.324e-06	1.152e-04
chr17	25818948	25819198	53.9	1.5	1.350e-06	1.169e-04
chr10	45774374	45774624	59.7	1.8	1.648e-06	1.196e-04
chr3	42878150	42878400	87.3	1.5	8.466e-07	1.214e-04
chr12	90194303	90194553	49.5	1.6	1.424e-06	1.214e-04
chr12	57271864	57272114	100.8	2.5	8.560e-07	1.215e-04
chr5	179245979	179246229	35.7	-1.5	1.144e-06	1.224e-04
chr2	30414726	30414976	85.3	1.9	8.379e-07	1.230e-04
