chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr20	55990234	55990484	397.3	-5.1	3.133e-41	1.890e-36
chr9	126964826	126965076	37.9	3.5	5.988e-36	2.312e-31
chr19	41833593	41833843	45.2	3.8	4.823e-36	2.312e-31
chr15	31558354	31558604	255.6	-4.6	9.333e-35	1.198e-30
chr16	163479	163729	284.6	-4	1.945e-33	2.347e-29
chr15	74902787	74903037	382.2	-4.1	4.548e-33	3.734e-29
chr22	19920172	19920422	175.5	-5	5.092e-33	3.734e-29
chr19	11009999	11010249	295.5	-6.2	4.072e-32	3.082e-28
chr16	67834357	67834607	292.8	-4.8	4.663e-32	3.137e-28
chr12	70017846	70018096	209.3	-5.2	1.051e-31	9.499e-28
chr9	135874675	135874925	133.8	-4.8	1.761e-31	9.661e-28
chr15	31548883	31549133	216.1	-5.3	2.106e-31	1.063e-27
chr5	131330312	131330562	194.1	-5	2.055e-31	1.346e-27
chr17	32198826	32199076	244.4	-5.5	3.124e-31	1.346e-27
chr17	43303508	43303758	23.6	4	9.616e-31	6.257e-27
chr22	40022252	40022502	213	-5.5	1.744e-30	6.600e-27
chr3	195634626	195634876	276.4	-3.8	2.229e-30	6.731e-27
chr7	7140127	7140377	206.5	-5.3	1.605e-30	7.426e-27
chr17	7553926	7554176	155.4	-4.2	2.413e-30	7.662e-27
chr12	122309484	122309734	190.5	-4.3	3.574e-30	1.082e-26
chr6	37428033	37428283	138.9	-5.4	6.341e-30	1.550e-26
chr8	23366317	23366567	186.3	-5.6	7.769e-30	2.131e-26
chr1	43402044	43402294	176.8	-4.3	8.472e-30	2.230e-26
chr22	20012958	20013208	215.4	-5.8	1.000e-29	3.769e-26
chr2	218692413	218692663	244.3	-5	1.803e-29	4.350e-26
chr10	134148978	134149228	30.8	4.4	1.235e-29	9.456e-26
chr12	108731301	108731551	180	-5.1	2.920e-29	9.777e-26
chr1	151342937	151343187	220.6	-3.9	5.596e-29	1.026e-25
chr11	64656514	64656764	214.8	-4.3	5.250e-29	1.092e-25
chr19	1207941	1208191	190.9	-3.9	5.779e-29	1.162e-25
chr14	103844460	103844710	187.8	-4.6	6.494e-29	1.744e-25
chr2	8755968	8756218	151.4	-5.1	1.163e-28	1.865e-25
chr15	52429953	52430203	24.3	3.9	6.378e-29	2.239e-25
chr19	55740102	55740352	176.8	-5.4	8.467e-29	2.251e-25
chr1	31229548	31229798	36.1	3.7	7.050e-29	2.333e-25
chr12	106695573	106695823	214.5	-4	1.853e-28	3.116e-25
chr15	74712688	74712938	186.1	-4.6	2.294e-28	3.753e-25
chr7	1502379	1502629	209.4	-4.1	3.000e-28	4.052e-25
chr11	118958452	118958702	210.3	-3.1	1.975e-28	4.578e-25
chr2	129230740	129230990	49.5	4.9	2.428e-28	6.696e-25
chr3	5020739	5020989	40.1	3.6	1.266e-28	6.696e-25
chr11	61054911	61055161	175.8	-4.7	4.447e-28	6.696e-25
chr19	15513342	15513592	161.1	-5.7	1.072e-27	1.510e-24
chr11	5305874	5306124	224.2	-4.7	8.419e-28	1.593e-24
chr1	110333419	110333669	35.6	4	9.137e-28	2.240e-24
chr5	131649838	131650088	132.1	-4.9	1.776e-27	2.240e-24
chr8	23385267	23385517	151.1	-4.8	1.154e-27	2.240e-24
chr14	23025230	23025480	26.3	5.3	7.926e-28	2.240e-24
chr19	47289620	47289870	233.8	-3.3	1.834e-27	2.266e-24
chr19	33119446	33119696	252.2	-4.3	2.521e-27	2.589e-24
chr16	31140182	31140432	31.8	4	1.549e-27	3.519e-24
chr17	21197942	21198192	179.2	-4.5	2.481e-27	3.972e-24
chr11	66682600	66682850	198.8	-5.3	3.221e-27	5.060e-24
chr4	8200752	8201002	20	4.7	3.253e-27	7.049e-24
chr3	195920816	195921066	199.5	-3.4	6.460e-27	7.086e-24
chr11	61687705	61687955	125.8	-5	7.163e-27	7.744e-24
chr5	67724113	67724363	140.9	-5.3	9.988e-27	8.698e-24
chr17	42343974	42344224	158.8	-4.6	5.677e-27	8.698e-24
chr22	19384622	19384872	147.4	-4.8	5.533e-27	8.698e-24
chr1	165615238	165615488	149.5	-4.2	6.678e-27	9.268e-24
chr3	143002294	143002544	141	-5.2	1.024e-26	1.013e-23
chr5	148442765	148443015	184	-5.1	7.776e-27	1.044e-23
chr17	21199957	21200207	175.6	-3.9	1.925e-26	1.843e-23
chr3	12996784	12997034	215.7	-3.7	1.513e-26	1.968e-23
chr17	1633525	1633775	149.6	-4.4	2.427e-26	2.260e-23
chr6	16270537	16270787	180.3	-4.5	6.685e-26	6.111e-23
chr11	94886562	94886812	193.5	-4.7	8.085e-26	7.280e-23
chr11	75246187	75246437	122	-4.5	9.480e-26	8.347e-23
chr12	65519860	65520110	136.4	-4.2	6.370e-26	8.347e-23
chr1	45296748	45296998	107.5	-3.9	6.007e-26	8.375e-23
chr3	128775731	128775981	143.1	-5.3	1.194e-25	8.633e-23
chr7	38272629	38272879	16	5.1	5.471e-26	8.802e-23
chr1	45103742	45103992	130.3	-4.8	9.492e-26	1.083e-22
chr14	65521504	65521754	31.2	3.9	6.657e-26	1.176e-22
chr8	42342164	42342414	171.9	-5.2	1.904e-25	1.286e-22
chr9	130673493	130673743	117.9	-5.5	1.608e-25	1.286e-22
chr15	65133634	65133884	33.7	3.3	5.358e-26	1.385e-22
chr10	11205164	11205414	16.6	4.7	1.207e-25	1.547e-22
chr17	26295236	26295486	134.8	-3.8	2.052e-25	1.547e-22
chr19	1632962	1633212	129.3	-5.3	2.043e-25	1.547e-22
chr1	229690941	229691191	137.1	-4.8	2.122e-25	1.580e-22
chr19	703707	703957	35.3	3.5	7.637e-26	1.688e-22
chr3	133570380	133570630	140.8	-4.8	2.369e-25	1.728e-22
chr2	218956479	218956729	20.3	4.6	1.135e-25	2.168e-22
chr1	23851292	23851542	211.8	-3.7	3.617e-25	2.567e-22
chr17	42359028	42359278	123.7	-5.5	3.780e-25	2.621e-22
chr19	15404102	15404352	105.5	-4.3	2.585e-25	2.621e-22
chr12	96514565	96514815	18	4.8	2.016e-25	2.654e-22
