chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr19	3503053	3503303	153.4	-3.9	8.803e-47	7.397e-42
chr1	23840628	23840878	97.1	-6	5.092e-38	1.890e-33
chr17	42345485	42345735	119.2	-4.4	6.628e-35	1.722e-30
chr20	44844597	44844847	62.6	5.3	1.105e-33	2.157e-29
chr17	16282001	16282251	51.2	-4.3	2.146e-31	3.017e-27
chr1	43418240	43418490	82.1	-3.3	8.633e-31	1.082e-26
chr1	110336988	110337238	49.6	5.2	9.412e-30	9.572e-26
chr8	11666482	11666732	54.5	-3.8	1.139e-29	1.014e-25
chr1	207996081	207996331	99.2	-3.7	1.784e-29	1.339e-25
chr8	100150187	100150437	113.1	-3.7	1.715e-29	1.339e-25
chr20	30298323	30298573	83.5	-4.6	2.228e-29	1.504e-25
chr17	42359028	42359278	123.7	-3.2	5.112e-29	3.574e-25
chr3	49062920	49063170	43.8	4	3.572e-28	1.793e-24
chr14	50810845	50811095	104	-3.7	3.183e-28	1.793e-24
chr6	17962721	17962971	44.5	4	4.507e-28	2.140e-24
chr19	11607673	11607923	108.8	-3.9	7.497e-28	3.458e-24
chr17	21176312	21176562	111.3	-2.8	3.798e-27	1.699e-23
chr17	56406963	56407213	75.7	2.9	4.694e-27	1.961e-23
chr15	31556116	31556366	86.2	-3	6.705e-27	2.620e-23
chr15	50552742	50552992	58.2	4.9	7.929e-27	3.096e-23
chr6	164463370	164463620	38.6	4.4	7.867e-27	3.206e-23
chr22	39759851	39760101	63.7	2.8	3.246e-26	1.045e-22
chr1	45187238	45187488	51.1	4.9	3.631e-26	1.124e-22
chr1	28975438	28975688	44.6	3.2	4.930e-26	1.559e-22
chr17	57367810	57368060	55.5	4.5	5.545e-26	1.559e-22
chr2	218706847	218707097	79.9	-4	6.419e-26	1.833e-22
chr16	84047615	84047865	66.7	4.6	7.474e-26	1.961e-22
chr1	23851292	23851542	211.8	-3	6.812e-26	2.041e-22
chr6	3455408	3455658	52.1	-4	2.249e-25	5.452e-22
chr9	3548719	3548969	54.6	-5.4	2.393e-25	5.676e-22
chr15	66923261	66923511	40.7	3.4	1.634e-25	5.676e-22
chr3	169657119	169657369	112.1	-4	2.907e-25	7.081e-22
chr20	3823141	3823391	30.4	4.2	3.324e-25	8.051e-22
chr12	124508924	124509174	45.4	3.7	4.006e-25	9.215e-22
chr9	14395756	14396006	87.8	-4	4.314e-25	9.271e-22
chr22	37948813	37949063	79.4	-3.6	4.635e-25	9.583e-22
chr16	84048017	84048267	36.7	4.5	4.454e-25	1.003e-21
chr19	703707	703957	35.3	4	4.392e-25	1.003e-21
chr2	158115130	158115380	75.6	-3.5	7.664e-25	1.494e-21
chr2	26995286	26995536	78.5	-3.4	8.287e-25	1.529e-21
chr1	147806570	147806820	43.9	3.9	1.348e-24	2.258e-21
chr1	234845719	234845969	54.5	-3.9	1.309e-24	2.258e-21
chr20	32142831	32143081	71.1	-3	1.343e-24	2.258e-21
chr17	1633525	1633775	149.6	-2.3	1.300e-24	2.306e-21
chr8	129057247	129057497	41.2	4.2	1.110e-24	2.656e-21
chr21	47739089	47739339	57.7	-4.4	1.608e-24	2.774e-21
chr4	154694554	154694804	79.5	-3.3	1.767e-24	2.798e-21
chr7	5497579	5497829	32.4	4.6	1.816e-24	3.024e-21
chr9	124409312	124409562	33.8	5	1.971e-24	3.188e-21
chr7	55625473	55625723	34.2	4.8	2.035e-24	3.225e-21
chr17	3868507	3868757	46.1	4	2.584e-24	3.649e-21
chr19	18259924	18260174	51.2	-3	2.916e-24	4.039e-21
chr16	71498179	71498429	64.7	-5.1	3.658e-24	4.888e-21
chr9	126964826	126965076	37.9	3	2.621e-24	5.227e-21
chr2	74413143	74413393	36.8	4	4.115e-24	6.405e-21
chr11	68166543	68166793	57.8	-3.3	4.989e-24	6.405e-21
chr1	205218333	205218583	79.9	-4.5	4.937e-24	6.447e-21
chr2	121832672	121832922	29.8	4.9	5.252e-24	7.237e-21
chr1	45504696	45504946	25.7	5	5.498e-24	7.760e-21
chr21	43885605	43885855	31.4	5	5.913e-24	7.876e-21
chr14	103826957	103827207	76.7	-3.3	6.757e-24	8.331e-21
chr11	114086659	114086909	68.9	3.9	1.027e-23	1.173e-20
chr2	129230740	129230990	49.5	4.7	2.015e-23	2.304e-20
chr10	121065617	121065867	40.6	4.1	2.410e-23	2.958e-20
chr11	119239389	119239639	56	-3.2	2.477e-23	3.025e-20
chr14	105147271	105147521	86.4	-3.2	2.823e-23	3.156e-20
chr22	36725318	36725568	33.4	3.6	3.021e-23	3.573e-20
chr3	45615640	45615890	32.9	5	2.755e-23	3.590e-20
chr7	132174597	132174847	56.5	4.9	3.980e-23	4.027e-20
chr17	15862545	15862795	28.2	4.6	3.026e-23	4.027e-20
chr22	38092773	38093023	51.4	3.5	4.231e-23	4.243e-20
chr3	128735528	128735778	42.4	4.1	4.477e-23	4.884e-20
chr17	21181906	21182156	80.2	-4	4.887e-23	4.940e-20
chr1	236063839	236064089	41.4	4.5	3.517e-23	5.118e-20
