chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr1	23840628	23840878	97.1	-4	1.122e-32	3.366e-28
chr11	66675796	66676046	76.4	-4	6.983e-30	1.048e-25
chr17	42345485	42345735	119.2	-3.7	1.584e-29	1.181e-25
chr22	18348229	18348479	45.4	-3.7	1.304e-28	1.708e-24
chr19	3503053	3503303	153.4	-2.6	5.275e-27	2.380e-23
chr20	44844597	44844847	62.6	5.2	2.713e-27	2.380e-23
chr6	17962721	17962971	44.5	3.8	1.086e-24	8.129e-21
chr1	110336988	110337238	49.6	4.7	5.064e-24	3.201e-20
chr10	4983841	4984091	64.1	-3.1	1.509e-23	8.480e-20
chr9	3548719	3548969	54.6	-5.1	3.255e-23	1.763e-19
chr15	31556116	31556366	86.2	-2.6	1.002e-22	2.733e-19
chr17	57367810	57368060	55.5	4.1	1.623e-22	7.328e-19
chr15	50552742	50552992	58.2	5.4	1.905e-22	7.412e-19
chr20	30298323	30298573	83.5	-3.4	4.486e-22	9.616e-19
chr4	154694554	154694804	79.5	-3	5.594e-22	1.126e-18
chr17	42359028	42359278	123.7	-2.5	9.133e-22	1.526e-18
chr16	71498179	71498429	64.7	-4.5	6.833e-22	2.095e-18
chr22	39759851	39760101	63.7	2.5	7.893e-22	2.218e-18
chr3	193973341	193973591	60.8	3.5	8.725e-22	2.405e-18
chr1	147806570	147806820	43.9	4.1	1.156e-21	2.924e-18
chr12	699451	699701	44	-3.9	1.175e-21	2.931e-18
chr1	45187238	45187488	51.1	4.4	1.478e-21	3.537e-18
chr2	218706847	218707097	79.9	-3.2	2.778e-21	3.625e-18
chr17	56406963	56407213	75.7	2.5	4.255e-21	5.520e-18
chr20	3823141	3823391	30.4	4.4	1.679e-21	6.163e-18
chr15	76239568	76239818	46.9	-4	3.276e-21	6.633e-18
chr6	160452956	160453206	29.8	-3.9	2.484e-21	7.371e-18
chr11	75491084	75491334	131.2	-3.2	9.223e-21	7.371e-18
chr1	234845719	234845969	54.5	-3.3	5.669e-21	1.024e-17
chr9	132891469	132891719	35.4	3.3	5.398e-21	1.505e-17
chr2	268426	268676	70.7	-3.2	8.884e-21	1.509e-17
chr8	129057247	129057497	41.2	4.5	9.949e-21	2.978e-17
chr19	11607673	11607923	108.8	-3.2	3.307e-20	3.025e-17
chr11	61637316	61637566	53.6	3.1	2.412e-20	3.843e-17
chr12	32207086	32207336	52.2	-3	2.734e-20	4.091e-17
chr1	226190559	226190809	45.7	3.3	3.537e-20	4.969e-17
chr21	47739089	47739339	57.7	-3.7	3.505e-20	5.132e-17
chr17	16282001	16282251	51.2	-3.2	3.827e-20	5.180e-17
chr7	132174597	132174847	56.5	4.6	4.049e-20	5.342e-17
chr22	39538407	39538657	27.6	-3.8	2.313e-20	5.342e-17
chr1	234694179	234694429	49.1	3.7	5.312e-20	6.552e-17
chr10	121065617	121065867	40.6	4.1	3.303e-20	7.219e-17
chr9	14395756	14396006	87.8	-3.2	1.048e-19	7.359e-17
chr21	43885605	43885855	31.4	4.9	5.142e-20	1.073e-16
chr9	126964826	126965076	37.9	3.3	6.388e-20	1.360e-16
chr3	152747196	152747446	63.9	-3.2	1.364e-19	1.607e-16
chr14	56273805	56274055	36.3	3.9	8.329e-20	1.698e-16
chr14	93035112	93035362	44.3	3.1	1.767e-19	1.893e-16
chr16	167894	168144	61.4	-2.6	2.846e-19	3.042e-16
chr1	45504696	45504946	25.7	4.3	2.090e-19	3.837e-16
chr9	124409312	124409562	33.8	4.3	2.135e-19	3.842e-16
chr1	236063839	236064089	41.4	4	3.178e-19	5.064e-16
chr16	84048017	84048267	36.7	3.6	2.801e-19	5.064e-16
chr19	46712362	46712612	36.7	-2.9	2.940e-19	5.216e-16
chr2	121832672	121832922	29.8	5.1	4.514e-19	6.697e-16
chr7	55625473	55625723	34.2	3.9	4.761e-19	6.937e-16
chr3	10176206	10176456	29.5	3.8	5.014e-19	7.285e-16
chr10	32261475	32261725	47.9	4	8.217e-19	7.285e-16
chr16	84047615	84047865	66.7	3.6	8.730e-19	7.789e-16
chr3	126630341	126630591	43	5.4	1.047e-18	9.187e-16
chr7	5497579	5497829	32.4	4.2	6.260e-19	9.290e-16
chr21	43648162	43648412	44.2	4	1.215e-18	9.913e-16
chr1	207996081	207996331	99.2	-2.8	2.051e-18	1.010e-15
chr6	119651978	119652228	100.5	-2.4	2.133e-18	1.010e-15
chr3	49062920	49063170	43.8	3	1.258e-18	1.014e-15
chr6	164463370	164463620	38.6	4	7.290e-19	1.014e-15
chr9	98225014	98225264	34	4.3	8.561e-19	1.044e-15
chr8	11666482	11666732	54.5	-2.6	1.605e-18	1.278e-15
chr18	55298973	55299223	25.2	-4.4	9.841e-19	1.318e-15
chr1	204660458	204660708	65.4	-3.3	2.214e-18	1.648e-15
chr2	202022975	202023225	39.9	3.3	1.290e-18	1.741e-15
chr8	8611904	8612154	36.3	-4.4	1.488e-18	1.898e-15
chr22	25550219	25550469	27.3	4.5	1.809e-18	2.024e-15
chr2	74413143	74413393	36.8	4.1	1.906e-18	2.131e-15
chr3	46655984	46656234	60.8	-3.6	3.052e-18	2.131e-15
chr4	35762552	35762802	54.9	5.6	3.258e-18	2.168e-15
chr5	77917079	77917329	46.3	-4.2	3.337e-18	2.262e-15
chr19	8033790	8034040	24.5	-3.7	2.109e-18	2.262e-15
chr11	10921140	10921390	60.3	2.3	3.802e-18	2.508e-15
chr7	6218189	6218439	76.3	-3.1	7.177e-18	2.675e-15
chr8	49792730	49792980	31.1	-4.3	2.649e-18	2.675e-15
chr15	78281694	78281944	77.4	-2.6	7.397e-18	2.723e-15
chr5	64396762	64397012	118.7	-3	8.632e-18	2.780e-15
chr12	41906418	41906668	22.7	-4	3.172e-18	3.158e-15
chr1	156430355	156430605	47	3.2	5.445e-18	3.470e-15
chr9	111772998	111773248	44.5	-2.9	6.287e-18	3.759e-15
chr5	138568001	138568251	27.3	4.4	3.926e-18	3.774e-15
chr2	131951078	131951328	28.1	-3.5	3.845e-18	4.010e-15
chr6	112155774	112156024	30.6	-3.3	4.451e-18	4.182e-15
chr14	93016269	93016519	39.2	3.1	4.647e-18	4.213e-15
chr3	128292762	128293012	35	-3	4.634e-18	4.259e-15
chr1	22118207	22118457	37.1	4.1	5.079e-18	4.489e-15
chr1	207020929	207021179	29.3	4.2	5.216e-18	4.489e-15
chr7	51444257	51444507	39.6	4.1	4.646e-18	4.489e-15
chr11	17625866	17626116	32.5	-2.9	4.607e-18	4.489e-15
chr2	43390415	43390665	32.9	-3.2	5.221e-18	4.549e-15
chr15	40842198	40842448	42.8	-4.2	6.012e-18	5.063e-15
chr2	103276677	103276927	32.1	4	5.897e-18	5.524e-15
chr2	99351444	99351694	32.3	4.9	6.712e-18	5.529e-15
chr14	55239980	55240230	26.5	3.9	6.024e-18	5.529e-15
chr11	93530066	93530316	31.2	-4.6	6.267e-18	5.695e-15
chr14	103826957	103827207	76.7	-2.6	1.972e-17	5.837e-15
chr5	169760156	169760406	39.3	2.9	6.395e-18	5.948e-15
chr10	103877248	103877498	49.4	2.1	1.259e-17	6.226e-15
chr5	14483971	14484221	31.1	-4.1	8.533e-18	6.797e-15
chr15	69407007	69407257	53	3.7	1.410e-17	6.841e-15
chr6	160107843	160108093	32.1	3.5	9.098e-18	6.945e-15
chr3	195638815	195639065	38.4	-2.6	1.009e-17	7.811e-15
chr8	123580167	123580417	28.9	3.8	9.396e-18	7.913e-15
chr15	66923261	66923511	40.7	2.7	1.086e-17	8.052e-15
chr15	64303048	64303298	56.2	4	1.941e-17	9.471e-15
chr17	4794843	4795093	30	-3.1	1.308e-17	9.538e-15
chr9	139870319	139870569	44.3	2.9	2.085e-17	9.994e-15
chr6	3455408	3455658	52.1	-3	2.332e-17	1.052e-14
chr4	174382382	174382632	27	3.4	1.520e-17	1.079e-14
chr5	10589003	10589253	36.7	3.8	1.531e-17	1.211e-14
chr17	40464799	40465049	74	2.4	2.896e-17	1.290e-14
chr6	37079878	37080128	39.6	-4.4	1.846e-17	1.297e-14
chr17	42324843	42325093	36.1	-3.3	1.889e-17	1.297e-14
chr2	150076415	150076665	23.1	4.3	1.873e-17	1.347e-14
chr11	2323297	2323547	49.9	2.3	3.232e-17	1.374e-14
chr11	119239389	119239639	56	-2.4	3.405e-17	1.411e-14
chr14	77647195	77647445	39.9	5.3	2.254e-17	1.497e-14
chr11	5173025	5173275	30.7	3.8	2.161e-17	1.600e-14
chr8	33371058	33371308	38	2.9	2.125e-17	1.629e-14
chr11	113551999	113552249	80.8	-3.6	4.487e-17	1.642e-14
chr10	61787915	61788165	25	4.6	2.624e-17	1.686e-14
chr8	74432887	74433137	37.5	4.4	2.422e-17	1.813e-14
chr17	74030554	74030804	78.9	-2	7.677e-17	1.853e-14
chr7	30944258	30944508	46.9	-2.9	4.852e-17	1.895e-14
chr11	114086659	114086909	68.9	3.1	4.820e-17	1.895e-14
chr17	4409601	4409851	26	3.8	2.949e-17	1.895e-14
chr18	13310298	13310548	47.4	3.9	4.957e-17	1.895e-14
chr19	703707	703957	35.3	3.8	3.036e-17	1.895e-14
chr20	35939485	35939735	24.7	-3.4	2.814e-17	1.914e-14
chr10	111911362	111911612	26.4	-3.7	2.842e-17	1.931e-14
chr8	49557956	49558206	26.6	-3.4	3.265e-17	1.944e-14
chr8	100150187	100150437	113.1	-2.5	1.204e-16	1.952e-14
chr6	2543113	2543363	41	4.9	3.402e-17	1.997e-14
chr6	37250238	37250488	29.9	-3.7	3.424e-17	1.998e-14
chr11	119565054	119565304	26.9	3.8	3.056e-17	2.002e-14
chr13	52761625	52761875	39.4	3.5	3.543e-17	2.391e-14
chr2	43952289	43952539	25	4.9	4.403e-17	2.844e-14
chr5	85822667	85822917	70.9	3.6	8.406e-17	3.058e-14
chr15	62386624	62386874	28.7	4.9	5.605e-17	3.233e-14
chr2	205889849	205890099	41.8	3.8	5.235e-17	3.291e-14
chr3	167834108	167834358	44.1	3.1	9.538e-17	3.337e-14
chr6	37271823	37272073	46.4	-2.6	9.785e-17	3.457e-14
chr18	21013387	21013637	41.7	-2.8	6.130e-17	3.457e-14
chr3	128735528	128735778	42.4	3.3	7.096e-17	3.860e-14
chr1	111757220	111757470	28.4	4.1	6.357e-17	3.865e-14
chr3	5020739	5020989	40.1	2.8	6.362e-17	4.010e-14
chr22	37948813	37949063	79.4	-2.5	1.962e-16	4.041e-14
chr12	122087817	122088067	44	3.6	1.242e-16	4.146e-14
chr5	179434682	179434932	26.6	4.1	7.389e-17	4.376e-14
chr5	89940052	89940302	42.4	-3.1	8.888e-17	5.230e-14
chr15	68996871	68997121	43.2	4.1	1.713e-16	5.744e-14
chr20	3440713	3440963	26.9	5.1	1.068e-16	6.246e-14
chr19	50279108	50279358	66.3	-2.2	1.916e-16	6.280e-14
chr12	2071279	2071529	23.4	-3.8	1.216e-16	6.477e-14
chr4	68417977	68418227	27	4.2	1.296e-16	6.567e-14
chr11	68166543	68166793	57.8	-2.4	2.135e-16	6.664e-14
chr2	43232696	43232946	49.5	2.9	2.101e-16	6.982e-14
chr12	120307620	120307870	27.3	-4.3	1.533e-16	7.762e-14
chr17	33212141	33212391	31.5	4.9	1.539e-16	7.762e-14
chr18	46131780	46132030	60	3.3	2.460e-16	7.762e-14
chr1	227975674	227975924	49.4	2.7	2.633e-16	8.300e-14
