chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr2	150076415	150076665	23.1	4.1	8.980e-27	7.081e-22
chr1	45504696	45504946	25.7	3.7	4.371e-24	1.869e-19
chr8	123580167	123580417	28.9	3.9	2.566e-23	7.851e-19
chr20	44844597	44844847	62.6	3.6	3.165e-22	3.765e-18
chr5	138568001	138568251	27.3	3.3	4.460e-20	7.630e-16
chr3	193973341	193973591	60.8	2.8	1.019e-19	8.083e-16
chr2	121832672	121832922	29.8	3	1.654e-19	1.683e-15
chr13	39975914	39976164	22.7	3.4	1.624e-19	1.683e-15
chr14	55239980	55240230	26.5	2.9	1.732e-19	1.683e-15
chr14	93035112	93035362	44.3	2.7	3.134e-19	1.683e-15
chr21	43885605	43885855	31.4	3.3	2.162e-19	1.808e-15
chr11	61637316	61637566	53.6	2.6	6.134e-19	2.313e-15
chr20	3823141	3823391	30.4	2.9	3.203e-19	2.313e-15
chr22	18348229	18348479	45.4	-2.7	9.162e-19	3.208e-15
chr7	55625473	55625723	34.2	3.3	8.056e-19	5.356e-15
chr1	146555993	146556243	21.5	3.4	1.709e-18	8.042e-15
chr8	130705026	130705276	17.8	4.3	1.534e-18	8.042e-15
chr7	100399852	100400102	35.6	2.4	1.899e-18	9.384e-15
chr15	62386624	62386874	28.7	3.2	2.035e-18	9.384e-15
chr2	43952289	43952539	25	3	3.793e-18	1.520e-14
chr10	96059294	96059544	31.7	3.1	3.078e-18	1.520e-14
chr9	99814155	99814405	23.5	3.3	4.344e-18	1.557e-14
chr1	94033043	94033293	21.9	3.7	6.389e-18	2.223e-14
chr9	19748759	19749009	27.5	3.8	8.132e-18	2.893e-14
chr22	25550219	25550469	27.3	3	1.047e-17	3.583e-14
chr2	68579795	68580045	31.5	2.4	2.110e-17	8.095e-14
chr4	68417977	68418227	27	3.1	3.633e-17	1.149e-13
chr5	177876186	177876436	22.3	2.9	4.229e-17	1.191e-13
chr4	184377062	184377312	17.4	3.6	4.510e-17	1.228e-13
chr18	77361320	77361570	15.7	3.6	6.357e-17	1.303e-13
chr9	100944445	100944695	29.5	3.3	7.723e-17	2.286e-13
chr2	99351444	99351694	32.3	3	1.218e-16	3.494e-13
chr5	146596261	146596511	26.7	3.2	1.818e-16	4.768e-13
chr21	43648162	43648412	44.2	3.2	3.323e-16	5.390e-13
chr1	110336988	110337238	49.6	2.7	4.639e-16	6.497e-13
chr3	126630341	126630591	43	3.2	4.582e-16	7.019e-13
chr3	196126482	196126732	22.8	2.8	3.900e-16	8.276e-13
chr8	65543092	65543342	22	3.2	3.930e-16	8.276e-13
chr9	123529027	123529277	31.4	2.2	3.748e-16	9.022e-13
chr10	61787915	61788165	25	3.1	5.753e-16	1.244e-12
chr19	33162787	33163037	25.6	2.8	7.369e-16	1.512e-12
chr3	45615640	45615890	32.9	3.5	8.550e-16	2.071e-12
chr7	5497579	5497829	32.4	2.4	9.167e-16	2.169e-12
chr1	20525588	20525838	13.5	3.5	1.891e-15	2.592e-12
chr2	86161315	86161565	27.1	3.5	1.348e-15	2.592e-12
chr11	66675796	66676046	76.4	-2.6	2.193e-15	2.640e-12
chr11	119565054	119565304	26.9	3.1	1.608e-15	2.960e-12
chr9	132891469	132891719	35.4	2	2.315e-15	3.879e-12
chr11	85845760	85846010	31.3	2.3	2.215e-15	4.148e-12
chr20	12907128	12907378	17.4	3.9	2.813e-15	4.501e-12
chr9	124409312	124409562	33.8	2.4	3.989e-15	7.178e-12
chr8	54797200	54797450	23.7	3.5	4.791e-15	7.273e-12
chr20	15509060	15509310	22.9	3.7	6.008e-15	8.938e-12
chr8	37870750	37871000	22.9	2.8	6.249e-15	9.109e-12
chr9	127888378	127888628	32.8	3.3	5.894e-15	9.835e-12
chr5	149551753	149552003	16.4	3.1	9.533e-15	1.047e-11
chr1	147806570	147806820	43.9	2.3	1.360e-14	1.064e-11
chr8	54643886	54644136	15.4	3.1	1.075e-14	1.110e-11
chr9	123487358	123487608	16.5	3.5	1.176e-14	1.110e-11
chr13	66042802	66043052	17.6	4.2	8.724e-15	1.110e-11
chr18	23554730	23554980	16.2	2.9	1.128e-14	1.110e-11
chr9	3548719	3548969	54.6	-3.4	1.992e-14	1.433e-11
chr3	128292762	128293012	35	-2.5	1.003e-14	1.456e-11
chr22	39759851	39760101	63.7	1.7	1.764e-14	1.456e-11
chr10	102106693	102106943	30.2	2.3	1.191e-14	1.828e-11
chr22	25472447	25472697	21	2.9	1.703e-14	2.065e-11
chr16	17476424	17476674	26.2	2.8	1.652e-14	2.109e-11
chr1	234694179	234694429	49.1	2.5	3.700e-14	2.417e-11
chr6	164463370	164463620	38.6	2.2	2.074e-14	2.417e-11
chr10	4983841	4984091	64.1	-2.3	3.304e-14	2.493e-11
chr15	33970883	33971133	17.5	3.4	2.553e-14	2.786e-11
chr3	24393316	24393566	22.7	3.2	2.687e-14	2.906e-11
chr21	36078733	36078983	16.2	3.6	3.780e-14	2.906e-11
chr12	27170345	27170595	20.1	2.9	2.896e-14	3.036e-11
chr9	98225014	98225264	34	2.5	2.974e-14	3.723e-11
chr1	31971675	31971925	32.8	2.8	3.351e-14	4.397e-11
chr10	103877248	103877498	49.4	1.6	7.429e-14	4.730e-11
chr13	22035369	22035619	16.8	3.1	4.926e-14	4.986e-11
chr10	120458051	120458301	19.5	3	5.408e-14	5.312e-11
chr1	35128712	35128962	20.7	2.2	5.904e-14	5.826e-11
chr18	24091487	24091737	14	3.1	7.867e-14	5.985e-11
chr1	23840628	23840878	97.1	-2.2	9.253e-14	6.172e-11
chr10	121065617	121065867	40.6	2.7	6.323e-14	6.172e-11
chr1	32959867	32960117	16.6	3.2	8.463e-14	6.179e-11
chr3	156837163	156837413	23.2	2.5	6.898e-14	6.399e-11
chr8	129057247	129057497	41.2	2.6	6.190e-14	6.605e-11
chr10	112618088	112618338	31.1	2.3	5.733e-14	6.705e-11
chr5	65916643	65916893	13.5	4.4	1.066e-13	7.380e-11
chr18	60517911	60518161	17.9	3.2	7.755e-14	7.380e-11
chr1	28499231	28499481	23.7	2.6	9.029e-14	7.725e-11
chr1	226190559	226190809	45.7	2.2	1.435e-13	7.725e-11
chr15	64814079	64814329	34	2.9	7.072e-14	7.725e-11
chr3	5020739	5020989	40.1	2.4	9.392e-14	8.122e-11
chr14	81889945	81890195	23.8	2.6	9.853e-14	8.275e-11
chr2	145606094	145606344	21.1	3.5	1.044e-13	8.790e-11
chr10	110171077	110171327	29.9	2.6	8.733e-14	9.072e-11
chr1	108559068	108559318	29.1	3.3	9.223e-14	9.483e-11
chr2	9782921	9783171	17.2	2.8	1.252e-13	1.009e-10
chr8	74432887	74433137	37.5	3.2	1.115e-13	1.018e-10
chr12	114087102	114087352	30.5	3.1	1.116e-13	1.018e-10
chr17	15862545	15862795	28.2	2.2	1.281e-13	1.018e-10
chr17	57367810	57368060	55.5	2.5	2.332e-13	1.088e-10
chr4	40227564	40227814	13	4.4	1.731e-13	1.291e-10
chr1	20525863	20526113	14.1	3.3	2.262e-13	1.293e-10
chr11	119997394	119997644	13.1	4.2	2.208e-13	1.293e-10
chr19	6238221	6238471	27.2	2.7	1.775e-13	1.344e-10
chr1	111757220	111757470	28.4	3.1	1.682e-13	1.345e-10
chr3	188323697	188323947	11.8	2.8	2.240e-13	1.482e-10
chr2	103276677	103276927	32.1	2.6	1.722e-13	1.575e-10
chr2	43154667	43154917	41.3	2.1	2.088e-13	1.733e-10
chr22	39538407	39538657	27.6	-3.8	2.378e-13	1.733e-10
chr3	58038199	58038449	31.9	3.7	2.117e-13	1.738e-10
chr15	34624101	34624351	16.1	3.1	3.319e-13	1.764e-10
chr19	30384623	30384873	17.9	3	2.438e-13	1.804e-10
chr7	30951218	30951468	22.2	-2.2	2.654e-13	1.816e-10
chr21	40356974	40357224	20.6	3.1	2.509e-13	1.818e-10
chr6	17962721	17962971	44.5	2.1	4.122e-13	1.943e-10
chr1	72347389	72347639	19.1	2.9	3.251e-13	2.116e-10
chr12	53097736	53097986	20.8	3.2	3.136e-13	2.116e-10
chr7	51444257	51444507	39.6	2.7	3.391e-13	2.273e-10
chr2	202022975	202023225	39.9	2	3.007e-13	2.286e-10
chr22	40725152	40725402	21	2.8	3.548e-13	2.296e-10
chr14	90472483	90472733	15.5	2.8	5.504e-13	2.687e-10
chr11	5173025	5173275	30.7	2.2	3.871e-13	2.852e-10
chr22	36875135	36875385	26.3	2.3	4.121e-13	2.852e-10
chr4	91083788	91084038	19.5	3.5	5.116e-13	3.249e-10
chr10	128327724	128327974	15.1	2.6	6.767e-13	3.276e-10
chr10	114172522	114172772	15.9	2.9	7.056e-13	3.310e-10
chr1	246591885	246592135	13.2	3.7	7.079e-13	3.345e-10
chr7	100130955	100131205	44	1.9	9.299e-13	3.403e-10
chr1	91277232	91277482	23.8	2.7	5.159e-13	3.407e-10
chr2	97584444	97584694	14.5	3.3	9.066e-13	4.124e-10
chr12	56916224	56916474	12.4	3.4	8.344e-13	4.439e-10
chr16	84048017	84048267	36.7	2.4	6.431e-13	4.439e-10
chr15	99356021	99356271	21.8	2.7	7.714e-13	4.498e-10
chr20	30298323	30298573	83.5	-2.4	1.355e-12	4.881e-10
chr11	75491084	75491334	131.2	-2.4	1.290e-12	4.940e-10
chr4	124521198	124521448	26.4	2.5	8.607e-13	5.210e-10
chr18	3512097	3512347	34.8	3	7.868e-13	5.210e-10
chr8	96113829	96114079	16.2	3	1.241e-12	5.450e-10
chr1	146556318	146556568	20.6	2.4	9.390e-13	5.525e-10
chr3	196006124	196006374	18.5	2.8	9.856e-13	5.525e-10
chr13	44933773	44934023	23.9	2.6	9.132e-13	5.525e-10
chr2	205889849	205890099	41.8	2.7	8.812e-13	5.616e-10
chr11	10921140	10921390	60.3	1.8	1.546e-12	5.880e-10
chr8	21366836	21367086	24.3	2.8	1.123e-12	6.157e-10
chr12	12595095	12595345	24.3	2.4	1.314e-12	6.986e-10
chr16	69760267	69760517	40.7	2	1.284e-12	6.986e-10
chr5	37672377	37672627	30	2.6	1.226e-12	8.204e-10
chr1	22091181	22091431	20.6	3.4	1.736e-12	9.137e-10
chr15	45341357	45341607	27.4	2.8	1.800e-12	1.031e-09
chr3	54677199	54677449	14.6	-3.8	2.842e-12	1.123e-09
chr12	95494061	95494311	27.5	2.5	2.036e-12	1.138e-09
chr17	46129247	46129497	32.6	2.6	1.737e-12	1.147e-09
chr2	75089506	75089756	15.7	3.7	3.405e-12	1.228e-09
chr1	229091472	229091722	18	3.2	2.307e-12	1.243e-09
chr9	84402941	84403191	19.6	2.8	2.465e-12	1.319e-09
chr1	27113413	27113663	48.7	1.6	4.385e-12	1.352e-09
chr8	126346323	126346573	23.8	2.2	2.714e-12	1.352e-09
chr22	19879125	19879375	17.7	3.2	2.858e-12	1.384e-09
chr15	31556116	31556366	86.2	-1.8	4.095e-12	1.408e-09
