chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr6	37102398	37102648	32.7	-2.7	2.305e-12	4.740e-08
chr14	65308537	65308787	54.9	1.8	6.741e-11	6.506e-07
chr1	50724006	50724256	67.1	2.9	1.365e-10	8.325e-07
chr6	36315532	36315782	51.4	1.9	1.346e-10	8.325e-07
chr11	19263076	19263326	45.9	1.7	2.264e-10	8.838e-07
chr1	175379120	175379370	88	2.5	8.716e-11	8.895e-07
chr10	100669863	100670113	114.1	2.2	1.430e-10	1.774e-06
chr6	37151044	37151294	72.9	2	5.990e-10	1.809e-06
chr2	127402908	127403158	87.3	1.5	6.124e-10	3.882e-06
chr13	114238802	114239052	47.5	1.8	2.002e-09	3.882e-06
chr14	106311802	106312052	31.5	1.6	2.363e-09	4.042e-06
chr6	30687887	30688137	62.9	1.7	3.594e-09	6.798e-06
chr22	25124997	25125247	113.9	1.8	1.019e-09	6.914e-06
chr19	21775808	21776058	30.1	-1.7	5.671e-09	7.906e-06
chr1	234679949	234680199	34.2	-2.1	5.801e-09	7.953e-06
chr3	48341574	48341824	35.7	2.3	8.439e-09	9.010e-06
chr17	16302050	16302300	60.7	-1.7	7.458e-09	9.010e-06
chr19	14201792	14202042	42.4	1.7	9.373e-09	9.010e-06
chr19	18132247	18132497	51.2	-1.8	9.281e-09	9.010e-06
chr20	31230240	31230490	75.8	1.9	2.570e-09	9.010e-06
chr1	205218333	205218583	79.9	-2.2	3.073e-09	9.276e-06
chr18	2980427	2980677	32.1	-2	1.186e-08	1.014e-05
chr12	89888252	89888502	31.2	-2	1.203e-08	1.075e-05
chr13	51187534	51187784	90.3	2.2	2.973e-09	1.077e-05
chr16	74545930	74546180	36	2.3	2.030e-08	1.367e-05
chr1	40223251	40223501	42.9	2.1	2.402e-08	1.468e-05
chr1	85744584	85744834	30.6	-1.7	1.980e-08	1.468e-05
chr17	80696544	80696794	55.2	1.9	2.130e-08	1.468e-05
chr19	18125146	18125396	16.2	-2.3	5.666e-09	1.672e-05
chr17	74844789	74845039	42.4	1.9	3.250e-08	1.739e-05
chr4	129227143	129227393	31.5	2.1	3.551e-08	2.055e-05
chr14	77495025	77495275	51.7	-1.5	3.894e-08	2.328e-05
chr18	43733267	43733517	66.8	1.8	3.936e-08	2.328e-05
chr20	42639043	42639293	35.4	2.2	4.889e-08	2.390e-05
chr3	20054919	20055169	38.9	1.9	5.325e-08	2.529e-05
chr1	61514610	61514860	45.5	1.7	2.553e-08	2.546e-05
chr6	32099371	32099621	45.9	1.7	4.924e-08	2.546e-05
chr1	12508941	12509191	39.2	2.2	7.531e-08	3.284e-05
chr12	57068547	57068797	35.9	-1.8	7.977e-08	3.284e-05
chr9	135860258	135860508	79.6	1.5	2.271e-08	3.588e-05
chr6	26250724	26250974	38	1.7	9.686e-08	3.793e-05
chr10	88439223	88439473	55	1.8	9.120e-08	4.140e-05
chr1	181121097	181121347	35.6	-1.9	1.236e-07	4.457e-05
chr5	126113976	126114226	72.9	1.4	8.837e-08	4.457e-05
chr19	10305537	10305787	75.2	1.4	8.279e-08	4.457e-05
chr3	46607671	46607921	31	-1.8	1.216e-07	4.808e-05
chr6	44193589	44193839	49.1	1.5	1.160e-07	4.808e-05
chr2	48373199	48373449	33.4	2.2	1.149e-07	4.924e-05
chr12	89787505	89787755	70.8	2.4	1.108e-07	5.132e-05
chr13	32889937	32890187	36	1.7	1.548e-07	5.299e-05
chr11	3899935	3900185	61.2	1.7	1.423e-07	5.340e-05
chr17	17207862	17208112	57.2	1.7	1.209e-07	5.340e-05
chr1	36235069	36235319	59.1	1.5	1.179e-07	5.366e-05
chr12	57271864	57272114	100.8	2.1	4.522e-08	5.366e-05
chr2	232100005	232100255	95.4	1.8	5.431e-08	5.734e-05
chr8	145538708	145538958	70	1.3	1.448e-07	5.734e-05
chr17	18753269	18753519	34.4	-1.8	1.788e-07	5.734e-05
chr19	12511976	12512226	43.1	1.6	1.677e-07	5.734e-05
chr5	158821048	158821298	39	1.9	2.054e-07	5.860e-05
chr2	157316297	157316547	22.2	-1.8	1.203e-07	6.545e-05
chr19	1872418	1872668	52.1	1.2	2.082e-07	6.553e-05
chr19	12606122	12606372	65.4	1.3	1.659e-07	6.553e-05
chr2	9067794	9068044	63	1.9	1.911e-07	7.280e-05
chr16	19492701	19492951	23.9	-1.9	1.428e-07	7.280e-05
chr17	75134080	75134330	30.9	-1.8	2.427e-07	7.289e-05
chr12	53191006	53191256	94.8	1.5	7.907e-08	7.335e-05
chr5	96077663	96077913	67.2	1.7	2.688e-07	7.732e-05
chr11	60941833	60942083	24.1	1.9	9.238e-08	7.732e-05
chr11	65255077	65255327	41.5	-1.9	3.093e-07	7.732e-05
chr6	71998324	71998574	36.4	1.5	3.499e-07	8.018e-05
chr8	128972501	128972751	91.1	1.5	8.478e-08	8.018e-05
chr12	122510495	122510745	26	-1.7	3.245e-07	8.018e-05
chr15	31454220	31454470	63.7	2	2.643e-07	8.018e-05
chr15	40189546	40189796	42.3	1.9	2.922e-07	8.018e-05
chr18	5296105	5296355	55.9	1.5	2.466e-07	8.018e-05
chr1	160793142	160793392	98.5	1.4	9.707e-08	8.072e-05
chr6	27834221	27834471	37.8	1.5	3.351e-07	8.495e-05
chr22	44442454	44442704	152.1	1.7	7.643e-08	8.534e-05
chr6	90995426	90995676	49.4	-1.6	4.142e-07	9.997e-05
chr10	89621302	89621552	42.8	-1.8	5.363e-07	1.114e-04
