chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr11	66675796	66676046	76.4	-4.7	2.821e-31	3.380e-27
chr17	42345485	42345735	119.2	-4.1	2.176e-31	3.380e-27
chr20	44844597	44844847	62.6	4.3	1.294e-31	3.380e-27
chr17	42359028	42359278	123.7	-3.2	2.909e-30	2.540e-26
chr22	30758992	30759242	47.9	-3.6	1.549e-28	1.861e-24
chr19	3503053	3503303	153.4	-3	4.703e-28	2.738e-24
chr1	43418240	43418490	82.1	-3.1	5.436e-28	3.092e-24
chr11	75491084	75491334	131.2	-4	1.898e-27	8.043e-24
chr1	45504696	45504946	25.7	4	1.166e-27	1.351e-23
chr22	37948813	37949063	79.4	-3.7	3.383e-26	1.375e-22
chr1	23840628	23840878	97.1	-4.9	8.022e-26	2.948e-22
chr11	119565054	119565304	26.9	4	2.358e-25	2.458e-21
chr16	69760267	69760517	40.7	2.9	5.248e-25	3.305e-21
chr9	126964826	126965076	37.9	2.8	9.464e-25	6.218e-21
chr5	138568001	138568251	27.3	3.7	1.252e-24	8.705e-21
chr17	74030554	74030804	78.9	-2.6	6.458e-24	1.619e-20
chr2	129230740	129230990	49.5	4.5	5.619e-24	1.910e-20
chr22	18348229	18348479	45.4	-4.9	7.885e-24	2.623e-20
chr6	119651978	119652228	100.5	-2.9	1.717e-23	3.597e-20
chr2	11538932	11539182	130.4	-3.4	2.525e-23	4.281e-20
chr2	268426	268676	70.7	-4	1.854e-23	4.988e-20
chr14	106311802	106312052	31.5	-3.7	1.052e-23	4.988e-20
chr21	43885605	43885855	31.4	3.7	9.964e-24	6.199e-20
chr2	218706847	218707097	79.9	-3.8	4.569e-23	7.695e-20
chr19	703707	703957	35.3	3.2	2.879e-23	8.716e-20
chr3	123066097	123066347	77.7	-3.4	5.615e-23	8.730e-20
chr1	204660458	204660708	65.4	-4.1	5.523e-23	1.204e-19
chr11	2121636	2121886	46.2	-3.5	9.371e-23	2.010e-19
chr20	30298323	30298573	83.5	-4	1.768e-22	2.190e-19
chr3	45615640	45615890	32.9	4.2	5.236e-23	2.498e-19
chr7	55625473	55625723	34.2	3.7	7.058e-23	2.797e-19
