chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr20	55990234	55990484	397.3	-5	2.009e-39	1.813e-34
chr19	11009999	11010249	295.5	-6.5	3.406e-34	1.537e-29
chr3	195634626	195634876	276.4	-4	1.425e-33	4.654e-29
chr17	32198826	32199076	244.4	-5.6	4.969e-32	8.791e-28
chr15	31558354	31558604	255.6	-4.3	2.410e-31	4.351e-27
chr15	74902787	74903037	382.2	-4	5.587e-31	6.589e-27
chr12	106695573	106695823	214.5	-4.1	3.532e-30	3.570e-26
chr5	131330312	131330562	194.1	-4.9	9.511e-30	1.172e-25
chr22	19920172	19920422	175.5	-4.7	2.447e-29	1.819e-25
chr16	67834357	67834607	292.8	-4.6	2.057e-29	2.027e-25
chr17	21197942	21198192	179.2	-4.7	2.722e-29	2.233e-25
chr22	40022252	40022502	213	-5.4	4.851e-29	2.704e-25
chr12	70017846	70018096	209.3	-4.9	7.414e-29	5.575e-25
chr16	163479	163729	284.6	-3.7	8.647e-29	5.575e-25
chr7	7140127	7140377	206.5	-5.1	1.106e-28	7.211e-25
chr19	41833593	41833843	45.2	3.7	9.634e-29	7.211e-25
chr8	23366317	23366567	186.3	-5.5	1.372e-28	7.769e-25
chr11	64656514	64656764	214.8	-4.3	1.976e-28	7.769e-25
chr9	126964826	126965076	37.9	4	2.086e-28	1.312e-24
chr15	31548883	31549133	216.1	-5	6.335e-28	2.241e-24
chr11	61054911	61055161	175.8	-4.7	5.595e-28	2.625e-24
chr2	8755968	8756218	151.4	-5	6.990e-28	2.868e-24
chr12	122309484	122309734	190.5	-4.1	1.107e-27	3.221e-24
chr1	43402044	43402294	176.8	-4.2	8.473e-28	3.479e-24
chr19	3503053	3503303	153.4	-4.4	1.343e-27	4.760e-24
chr22	20012958	20013208	215.4	-5.6	1.850e-27	4.760e-24
chr7	1502379	1502629	209.4	-4.1	1.497e-27	5.003e-24
chr9	135874675	135874925	133.8	-4.5	2.486e-27	8.015e-24
chr19	55740102	55740352	176.8	-5.2	4.493e-27	1.096e-23
chr22	19384622	19384872	147.4	-4.8	8.913e-27	2.682e-23
chr11	118958452	118958702	210.3	-3	1.309e-26	4.138e-23
chr1	23851292	23851542	211.8	-3.8	1.520e-26	4.654e-23
chr5	131649838	131650088	132.1	-4.8	2.481e-26	7.366e-23
chr15	74712688	74712938	186.1	-4.4	5.104e-26	1.004e-22
chr6	16270537	16270787	180.3	-4.5	6.857e-26	1.386e-22
chr17	1633525	1633775	149.6	-4.4	8.973e-26	1.667e-22
chr19	1632962	1633212	129.3	-5.3	8.002e-26	2.131e-22
chr5	67724113	67724363	140.9	-5.2	8.816e-26	2.286e-22
chr14	103844460	103844710	187.8	-4.3	1.053e-25	2.659e-22
chr6	37428033	37428283	138.9	-4.9	1.641e-25	2.904e-22
chr19	1207941	1208191	190.9	-3.7	1.504e-25	3.595e-22
chr11	5305874	5306124	224.2	-4.5	1.934e-25	4.537e-22
chr19	33119446	33119696	252.2	-4.1	3.850e-25	5.990e-22
chr2	218692413	218692663	244.3	-4.6	2.770e-25	6.031e-22
chr20	43104943	43105193	145.1	-4.6	2.727e-25	6.031e-22
chr17	42359028	42359278	123.7	-5.5	3.383e-25	7.205e-22
chr12	108731301	108731551	180	-4.7	3.533e-25	7.408e-22
chr11	61687705	61687955	125.8	-4.8	4.071e-25	8.310e-22
chr11	66682600	66682850	198.8	-5.1	4.677e-25	9.406e-22
chr1	207693525	207693775	167.7	-4.5	4.843e-25	9.545e-22
chr19	47289620	47289870	233.8	-3.1	5.271e-25	1.013e-21
chr16	154970	155220	142.5	-4	1.367e-24	1.758e-21
chr11	8790571	8790821	168	-5.5	1.548e-24	1.954e-21
chr19	15513342	15513592	161.1	-5.4	1.121e-24	2.034e-21
chr15	72564973	72565223	46.2	3.2	5.652e-25	2.058e-21
chr17	80419843	80420093	114.3	-3.9	1.350e-24	2.176e-21
chr1	165615238	165615488	149.5	-4	1.714e-24	2.714e-21
chr12	117480165	117480415	301.3	-3.4	2.473e-24	4.177e-21
chr8	38796022	38796272	59.9	3.9	3.101e-24	6.294e-21
chr9	138843867	138844117	179.7	-4.2	6.569e-24	7.621e-21
chr11	94886562	94886812	193.5	-4.6	4.711e-24	7.621e-21
chr11	75491084	75491334	131.2	-5.4	6.587e-24	9.590e-21
chr6	37269923	37270173	118.9	-3.2	7.258e-24	1.129e-20
chr17	7553926	7554176	155.4	-3.7	1.069e-23	1.508e-20
chr6	4911427	4911677	132.6	-4.6	1.476e-23	1.519e-20
chr3	195920816	195921066	199.5	-3.2	1.142e-23	1.561e-20
chr8	23385267	23385517	151.1	-4.5	1.085e-23	1.595e-20
chr17	56570081	56570331	163.6	-5.5	1.262e-23	1.818e-20
chr10	98378949	98379199	180.7	-5.1	1.390e-23	1.985e-20
chr15	89171483	89171733	134.9	-4.7	2.582e-23	2.610e-20
chr9	131654771	131655021	138.2	-4.5	2.230e-23	2.835e-20
chr8	42342164	42342414	171.9	-5	2.920e-23	2.870e-20
chr11	908307	908557	125.4	-4.3	2.509e-23	3.103e-20
chr16	70430528	70430778	149.7	-3.4	3.465e-23	3.314e-20
chr11	5309375	5309625	159.7	-3.9	2.549e-23	3.329e-20
chr8	107282290	107282540	31.9	4.2	1.712e-23	3.779e-20
chr1	110333419	110333669	35.6	4.1	2.520e-23	3.913e-20
chr5	67681887	67682137	136.9	-5.1	3.359e-23	4.190e-20
chr17	43303508	43303758	23.6	4.2	2.252e-23	4.190e-20
chr17	27192327	27192577	183.5	-3.7	3.733e-23	4.212e-20
chr8	101422820	101423070	155.5	-5.3	5.220e-23	4.282e-20
chr10	13747826	13748076	141.5	-5.5	3.604e-23	4.282e-20
chr12	68758996	68759246	53.5	3.2	2.973e-23	4.282e-20
chr5	168287534	168287784	171.3	-4.7	3.679e-23	4.305e-20
chr16	19499265	19499515	155.5	-5	4.054e-23	4.305e-20
chr11	5248207	5248457	174.1	-4.8	6.431e-23	5.002e-20
chr17	32232430	32232680	138.8	-4.8	5.024e-23	5.212e-20
chr1	151342937	151343187	220.6	-3.5	4.688e-23	5.250e-20
chr22	19920963	19921213	125.9	-5.5	5.533e-23	5.611e-20
chr11	75246187	75246437	122	-4.2	6.225e-23	6.243e-20
chr10	134148978	134149228	30.8	4.5	5.212e-23	6.860e-20
chr17	2699510	2699760	39.6	5.2	5.857e-23	6.890e-20
chr9	4852446	4852696	129.6	-4.6	6.561e-23	6.952e-20
chr16	15699043	15699293	189.2	-5.2	9.688e-23	1.016e-19
chr12	65519860	65520110	136.4	-3.9	1.006e-22	1.044e-19
chr3	133570380	133570630	140.8	-4.5	1.099e-22	1.122e-19
chr3	128775731	128775981	143.1	-4.9	1.208e-22	1.220e-19
chr12	127392581	127392831	133.8	-4.8	1.346e-22	1.347e-19
chr17	21199957	21200207	175.6	-3.6	1.478e-22	1.347e-19
chr17	42343974	42344224	158.8	-4.2	1.989e-22	1.407e-19
chr2	129230740	129230990	49.5	4.8	7.917e-23	1.570e-19
chr15	52429953	52430203	24.3	4.4	1.451e-22	1.667e-19
chr1	172425624	172425874	147.9	-4.2	1.967e-22	1.724e-19
chr1	203661760	203662010	174.9	-4.9	2.022e-22	1.916e-19
chr15	65133634	65133884	33.7	3.4	1.313e-22	2.097e-19
chr1	117044188	117044438	151.5	-5.6	3.210e-22	2.143e-19
chrX	55041455	55041705	156.5	-5.2	3.543e-22	2.343e-19
chr16	46917871	46918121	45.5	3	2.158e-22	2.389e-19
chr2	158117871	158118121	153.2	-4.1	2.857e-22	2.568e-19
chr1	47077634	47077884	145.5	-4.3	5.087e-22	3.066e-19
chr6	37071162	37071412	120.5	-4.2	5.044e-22	3.066e-19
chr8	143742882	143743132	105.8	-5.1	2.803e-22	3.516e-19
chr19	703707	703957	35.3	4.4	3.451e-22	3.659e-19
chr17	42360791	42361041	124.5	-5.3	4.735e-22	3.749e-19
chr1	229690941	229691191	137.1	-4.5	4.501e-22	3.857e-19
chr5	148985627	148985877	124.9	-4.6	6.881e-22	3.968e-19
chr15	66097443	66097693	123.8	-3.9	5.022e-22	4.205e-19
chr1	118153806	118154056	126.6	-5	7.244e-22	4.344e-19
chr22	41351680	41351930	118.8	-3.9	5.290e-22	4.381e-19
chr1	179016162	179016412	157.5	-4.2	7.150e-22	5.837e-19
chr17	42345485	42345735	119.2	-4.8	7.176e-22	5.844e-19
chr2	160003782	160004032	161.3	-3.5	8.207e-22	6.591e-19
chr1	228366604	228366854	146.7	-4.4	8.504e-22	6.813e-19
chr1	182205427	182205677	131.7	-4.6	8.638e-22	6.825e-19
chr16	618742	618992	106.1	-4	8.029e-22	7.696e-19
chr2	11538932	11539182	130.4	-5.7	1.060e-21	8.239e-19
chr3	49710870	49711120	162.5	-2.9	1.187e-21	8.368e-19
chr17	42365812	42366062	170.5	-3.4	1.179e-21	8.368e-19
chr11	85862446	85862696	116.8	-4.5	1.611e-21	8.838e-19
chr20	35437398	35437648	134.3	-4.9	1.268e-21	9.558e-19
chr14	68762152	68762402	175.6	-5.1	1.326e-21	9.977e-19
chr6	164463370	164463620	38.6	4.4	1.301e-21	1.058e-18
chr16	31140182	31140432	31.8	3.9	8.385e-22	1.058e-18
chr19	15404102	15404352	105.5	-4	1.248e-21	1.116e-18
chr3	143002294	143002544	141	-4.7	2.366e-21	1.240e-18
chr1	27869138	27869388	243.7	-3.2	1.733e-21	1.249e-18
chr16	169942	170192	83.2	-4.3	1.291e-21	1.324e-18
chr19	4455182	4455432	127.2	-3.9	1.959e-21	1.391e-18
chr2	6987487	6987737	153.2	-4.5	2.439e-21	1.719e-18
chr2	60725352	60725602	111.8	-4.6	2.145e-21	1.836e-18
chr13	102265123	102265373	141.3	-5	2.785e-21	1.947e-18
chr3	12996784	12997034	215.7	-3.3	2.838e-21	1.969e-18
chr1	11942956	11943206	131.6	-3.7	3.191e-21	2.014e-18
chr9	110856522	110856772	149.3	-4.9	4.622e-21	2.147e-18
chr18	55250581	55250831	173	-3.4	5.037e-21	2.324e-18
chr1	205225075	205225325	174.6	-3.4	4.165e-21	2.575e-18
chr1	29210449	29210699	153	-3.4	7.127e-21	3.243e-18
chr8	134309490	134309740	47.5	3.2	4.290e-21	3.471e-18
chr17	74030554	74030804	78.9	-4.8	4.318e-21	3.472e-18
chr6	119651978	119652228	100.5	-5.4	4.787e-21	3.822e-18
chr3	42208490	42208740	118	-4.2	8.783e-21	3.891e-18
chr11	97834489	97834739	128	-4.7	6.835e-21	4.032e-18
chr20	55985179	55985429	128	-4.4	6.270e-21	4.032e-18
chr11	75300962	75301212	167.8	-3.9	7.031e-21	4.473e-18
chr6	30128978	30129228	110.2	-4.9	5.646e-21	4.494e-18
chr1	45296748	45296998	107.5	-3.5	6.172e-21	4.738e-18
chr19	18110459	18110709	155.2	-3.4	7.672e-21	4.788e-18
chr2	227700145	227700395	144.2	-3.8	1.149e-20	5.147e-18
chr12	26427681	26427931	37.5	4.4	6.894e-21	5.195e-18
chr5	154033550	154033800	212.2	-3.6	9.214e-21	5.198e-18
chr1	61537459	61537709	119.4	-5.5	1.292e-20	5.680e-18
chr10	69613288	69613538	147	-5.3	1.111e-20	6.191e-18
chr11	95467285	95467535	153.3	-4.5	1.654e-20	7.181e-18
chr8	41630267	41630517	120.9	-3.7	1.241e-20	7.454e-18
chr1	45478330	45478580	135.5	-3.5	1.424e-20	7.741e-18
chr14	23025230	23025480	26.3	4.6	1.069e-20	7.741e-18
chr8	1708307	1708557	141.7	-5.5	1.461e-20	7.895e-18
chr1	31229548	31229798	36.1	3.2	1.161e-20	8.279e-18
chr12	700636	700886	259	-3.1	1.440e-20	8.399e-18
chr13	49304059	49304309	125	-5.2	1.556e-20	9.020e-18
chr10	71094171	71094421	83.6	-3.7	1.333e-20	9.339e-18
chr16	68806029	68806279	139.7	-4	1.779e-20	9.339e-18
chr6	37077688	37077938	143.3	-6	2.768e-20	1.132e-17
chr5	168304464	168304714	102.7	-4.3	1.423e-20	1.149e-17
chr10	51594182	51594432	134.8	-4	3.023e-20	1.156e-17
chr19	15751450	15751700	113.2	-4.1	2.097e-20	1.174e-17
chr5	149434991	149435241	99.3	-4	1.774e-20	1.236e-17
chr3	5020739	5020989	40.1	3.2	1.875e-20	1.259e-17
chr9	130673493	130673743	117.9	-4.9	3.314e-20	1.310e-17
chr5	173287652	173287902	152.5	-4.4	3.618e-20	1.344e-17
chr16	15615868	15616118	138.8	-4.1	2.474e-20	1.347e-17
chr17	16991487	16991737	99.2	-4.7	2.090e-20	1.416e-17
chr2	28731370	28731620	119.2	-4.1	2.928e-20	1.444e-17
chr16	67228289	67228539	88.3	-4.1	2.554e-20	1.662e-17
chr2	53895778	53896028	125.8	-3.9	3.440e-20	1.822e-17
chr16	1870642	1870892	120.7	-3.7	3.692e-20	1.956e-17
chr1	228701000	228701250	135.3	-3.4	5.196e-20	1.966e-17
chr11	14443920	14444170	129.1	-4.5	5.781e-20	2.057e-17
chr22	31277503	31277753	122.4	-4	4.584e-20	2.189e-17
chr17	26295236	26295486	134.8	-3.4	5.952e-20	2.217e-17
