chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr19	3503053	3503303	153.4	-5	5.160e-35	4.652e-30
chr3	195634626	195634876	276.4	-4	9.311e-34	4.197e-29
chr20	55990234	55990484	397.3	-4.5	1.320e-32	3.993e-28
chr19	18110459	18110709	155.2	-4.2	2.977e-31	6.758e-27
chr19	11009999	11010249	295.5	-6.1	4.731e-31	8.530e-27
chr16	163479	163729	284.6	-3.8	1.102e-30	1.668e-26
chr17	32198826	32199076	244.4	-5.4	1.986e-30	2.576e-26
chr12	106695573	106695823	214.5	-4.1	5.245e-30	6.282e-26
chr17	21176312	21176562	111.3	-5	3.258e-29	3.469e-25
chr17	1633525	1633775	149.6	-4.7	8.276e-29	7.443e-25
chr1	203661760	203662010	174.9	-5.6	1.157e-28	8.672e-25
chr12	117480165	117480415	301.3	-3.7	1.064e-28	8.672e-25
chr12	700636	700886	259	-3.6	1.824e-28	1.344e-24
chr1	23851292	23851542	211.8	-3.9	1.211e-27	7.800e-24
chr9	126964826	126965076	37.9	4	2.603e-27	1.348e-23
chr7	1502379	1502629	209.4	-4	6.560e-27	3.721e-23
chr1	31643701	31643951	146.9	-3.6	1.175e-26	6.622e-23
chr9	132949524	132949774	99.1	-5.4	2.897e-26	1.461e-22
chr15	72564973	72565223	46.2	3.5	4.335e-26	2.057e-22
chr1	53791818	53792068	112.8	3.1	8.249e-26	3.952e-22
chr6	37071162	37071412	120.5	-4.6	2.203e-25	9.525e-22
chr11	5305874	5306124	224.2	-4.5	3.338e-25	1.368e-21
chr17	42343974	42344224	158.8	-4.5	3.933e-25	1.510e-21
chr18	2982902	2983152	115.5	-5.3	3.782e-25	1.510e-21
chr2	158117871	158118121	153.2	-4.4	5.627e-25	2.029e-21
chr12	70017846	70018096	209.3	-4.6	6.780e-25	2.351e-21
chr1	207996081	207996331	99.2	-4.5	1.241e-24	4.133e-21
chr11	72853379	72853629	60.2	3.3	1.508e-24	4.857e-21
chr1	151512110	151512360	95.2	-4.9	2.661e-24	8.332e-21
chr16	154970	155220	142.5	-3.9	3.339e-24	1.004e-20
chr7	4784662	4784912	145.4	-2.9	4.192e-24	1.227e-20
chr1	2165867	2166117	40	3.5	6.616e-24	1.876e-20
chr9	131654771	131655021	138.2	-4.6	7.886e-24	2.169e-20
chr1	205225075	205225325	174.6	-3.6	1.413e-23	3.738e-20
chr9	110856522	110856772	149.3	-5.2	1.604e-23	4.160e-20
chrX	154563976	154564226	119.2	-4.1	1.626e-23	4.328e-20
chr17	21197942	21198192	179.2	-4.2	2.069e-23	4.951e-20
chr20	32142831	32143081	71.1	-4.3	2.320e-23	4.951e-20
chr14	105146882	105147132	123.4	-4.1	2.060e-23	5.060e-20
chr8	107282290	107282540	31.9	5	2.349e-23	5.330e-20
chr15	65133634	65133884	33.7	3.7	2.485e-23	5.502e-20
chr15	74902787	74903037	382.2	-3.4	2.958e-23	6.749e-20
chr1	110333419	110333669	35.6	4.3	3.736e-23	6.750e-20
chr9	124132064	124132314	202.5	-3.1	6.806e-23	1.398e-19
chr17	56570081	56570331	163.6	-5.5	6.933e-23	1.398e-19
chr19	47289620	47289870	233.8	-3	7.837e-23	1.532e-19
chr17	80419843	80420093	114.3	-3.8	7.535e-23	1.536e-19
chr3	196359244	196359494	116.4	3.4	8.427e-23	1.593e-19
chr16	75109169	75109419	61.1	3.7	1.144e-22	1.893e-19
chr1	29210449	29210699	153	-3.6	1.361e-22	2.471e-19
chr19	1632962	1633212	129.3	-5	1.355e-22	2.546e-19
