chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr22	19920963	19921213	125.9	3.4	2.650e-24	6.473e-20
chr22	19920172	19920422	175.5	3	5.605e-23	4.448e-19
chr22	33277272	33277522	142.5	3.2	5.463e-23	4.448e-19
chr2	127402908	127403158	87.3	3	1.421e-22	8.220e-19
chr9	135860258	135860508	79.6	3.3	1.683e-22	8.220e-19
chr19	12444389	12444639	108.4	2.7	3.619e-22	1.619e-18
chr1	89412665	89412915	90.7	3.5	4.803e-22	1.842e-18
chr14	31528854	31529104	143.6	3.4	8.666e-22	2.414e-18
chr17	26295236	26295486	134.8	2.9	1.133e-21	2.805e-18
chr5	131649838	131650088	132.1	2.8	4.566e-21	9.935e-18
chr3	143002294	143002544	141	3.3	4.540e-21	1.008e-17
chr19	10305537	10305787	75.2	3.7	3.942e-21	1.120e-17
chr12	57271864	57272114	100.8	4.5	1.862e-20	3.673e-17
chr1	156847616	156847866	86.6	3.5	3.708e-20	6.037e-17
chr8	141703715	141703965	114.3	3.7	3.969e-20	6.037e-17
chr2	232100005	232100255	95.4	3.8	3.971e-20	6.381e-17
chr11	65255077	65255327	41.5	-3.3	4.425e-20	1.218e-16
chr7	30936823	30937073	123.7	3.3	1.153e-19	1.719e-16
chr11	75246187	75246437	122	2.7	2.685e-19	3.452e-16
chr6	164198347	164198597	131.8	3.5	3.937e-19	4.387e-16
chr7	129390012	129390262	89.6	3.5	4.503e-19	5.757e-16
chr3	53163464	53163714	103.2	3.3	8.789e-19	9.758e-16
chr1	6732675	6732925	121.1	3.5	1.012e-18	9.810e-16
chr8	49379216	49379466	105.4	3.2	1.145e-18	1.182e-15
chr14	23366630	23366880	82.7	2.4	1.743e-18	1.703e-15
chr17	53421873	53422123	61	3.1	1.380e-18	1.838e-15
chr1	16470350	16470600	64.2	2.9	1.826e-18	2.306e-15
chr11	66675796	66676046	76.4	2.9	3.153e-18	2.751e-15
chr1	45296748	45296998	107.5	2.4	3.558e-18	2.919e-15
chr1	186081492	186081742	62.1	3.1	3.414e-18	2.919e-15
chr13	51187534	51187784	90.3	4	3.633e-18	2.919e-15
chr15	51944408	51944658	96.2	3.7	3.483e-18	2.919e-15
chr1	204953674	204953924	119.1	3.3	4.717e-18	3.110e-15
chr12	53191006	53191256	94.8	2.8	4.182e-18	3.162e-15
chr19	14008141	14008391	68.5	3.2	4.785e-18	3.670e-15
chr2	86416572	86416822	82.4	3.5	5.995e-18	4.270e-15
chr4	10184765	10185015	92.4	3.1	6.730e-18	4.506e-15
chr9	72147350	72147600	79.2	3	7.317e-18	4.811e-15
chr11	73916295	73916545	73.2	3.2	5.363e-18	4.811e-15
chr19	53439646	53439896	115.2	2.8	1.137e-17	6.335e-15
chr5	126113976	126114226	72.9	3.1	9.986e-18	6.389e-15
chr15	22833297	22833547	64.3	3.2	7.884e-18	6.389e-15
chr22	44442454	44442704	152.1	3.1	1.473e-17	7.632e-15
chr9	100700544	100700794	99.8	3.4	1.432e-17	8.370e-15
chr9	71335860	71336110	82	3.4	1.887e-17	1.039e-14
chr14	65308537	65308787	54.9	3	1.380e-17	1.098e-14
chr5	179245979	179246229	35.7	-3.2	1.334e-17	1.329e-14
chr22	25124997	25125247	113.9	3	3.378e-17	1.569e-14
chr1	36235482	36235732	106.8	2.5	3.217e-17	1.683e-14
chr10	100669863	100670113	114.1	3.5	4.715e-17	2.071e-14
chr13	38533573	38533823	57.7	2.8	3.155e-17	2.106e-14
chr2	97163933	97164183	122.1	3.6	4.644e-17	2.352e-14
chr7	44120856	44121106	70.8	3.3	3.648e-17	2.352e-14
chr12	122309484	122309734	190.5	2.3	7.104e-17	2.862e-14
chr14	77495025	77495275	51.7	-2.3	6.631e-17	3.452e-14
chr6	36315532	36315782	51.4	3.4	6.117e-17	3.783e-14
chr7	73300409	73300659	131.9	3.2	1.131e-16	4.358e-14
chr16	67794137	67794387	125.6	2.6	1.036e-16	4.362e-14
chr10	80787158	80787408	96.1	2.4	1.307e-16	5.681e-14
chr17	75567639	75567889	83.2	3.2	1.447e-16	6.097e-14
chr22	18307278	18307528	136.8	3	1.501e-16	6.097e-14
chr10	45774374	45774624	59.7	3.1	1.477e-16	6.394e-14
chr22	41935940	41936190	62.5	2.9	1.753e-16	9.471e-14
chr8	103911645	103911895	83.7	4.1	2.691e-16	1.078e-13
chr12	8969088	8969338	86	3	3.251e-16	1.203e-13
chr14	106311802	106312052	31.5	3.4	2.455e-16	1.203e-13
chr1	160793142	160793392	98.5	2.4	3.792e-16	1.455e-13
chr17	19174397	19174647	102	3	4.287e-16	1.617e-13
chr15	69284132	69284382	115.6	2.6	6.014e-16	2.114e-13
chr17	58439310	58439560	66.1	2.9	5.511e-16	2.114e-13
chr3	52033909	52034159	76.7	3.1	7.448e-16	2.549e-13
chr22	24407622	24407872	100.5	2.4	6.836e-16	2.549e-13
chr11	111599877	111600127	42	3.1	5.025e-16	3.088e-13
chr2	43037471	43037721	91.3	2.3	9.681e-16	3.419e-13
chr3	42878150	42878400	87.3	2.4	1.050e-15	3.419e-13
chr20	60849662	60849912	69.7	2.5	7.421e-16	3.419e-13
chr6	30687887	30688137	62.9	3	1.009e-15	3.516e-13
chr5	149434991	149435241	99.3	2.4	1.098e-15	3.609e-13
chr1	95358500	95358750	101.4	2.8	1.156e-15	3.889e-13
chr1	226992619	226992869	72.5	2.5	9.141e-16	3.889e-13
chr22	31892215	31892465	122.1	2.3	2.347e-15	6.457e-13
chr7	1687924	1688174	68.3	3.2	1.542e-15	6.495e-13
chr1	44197870	44198120	57.9	3.4	1.560e-15	6.509e-13
chr15	39432256	39432506	107.8	2.6	2.454e-15	7.135e-13
chr1	110727054	110727304	52.6	3.2	1.872e-15	7.450e-13
chr12	95856925	95857175	85.5	3	2.517e-15	7.450e-13
chr14	65511363	65511613	88.2	2.8	2.588e-15	7.450e-13
chr15	33554581	33554831	38.6	4.1	1.491e-15	7.672e-13
chr12	281480	281730	128.1	2.7	2.837e-15	7.785e-13
chr14	65311814	65312064	79.1	2.5	3.584e-15	1.010e-12
chr17	74030554	74030804	78.9	2	3.410e-15	1.010e-12
chr1	160979468	160979718	105.3	2.8	3.744e-15	1.044e-12
chr20	37576650	37576900	64.5	2.9	2.858e-15	1.048e-12
chr8	22758376	22758626	62.3	3.3	3.043e-15	1.092e-12
chr11	71706780	71707030	93.7	3.1	4.029e-15	1.092e-12
chr4	2796202	2796452	64.4	2.4	3.039e-15	1.096e-12
chr5	168240676	168240926	105.2	2.6	4.096e-15	1.134e-12
chr1	43832971	43833221	59.8	2.6	3.275e-15	1.154e-12
chr22	42576371	42576621	68.3	3.1	3.753e-15	1.291e-12
chr1	234679949	234680199	34.2	-2.8	4.830e-15	1.429e-12
chr19	50279108	50279358	66.3	2.2	5.376e-15	1.429e-12
chr7	106647863	106648113	63.8	3.2	4.371e-15	1.480e-12
chr2	9067794	9068044	63	3.7	5.073e-15	1.662e-12
chr2	30414726	30414976	85.3	2.9	6.677e-15	1.662e-12
chr3	152798607	152798857	42.6	3.7	5.031e-15	1.662e-12
chr9	130673493	130673743	117.9	2.6	7.212e-15	1.662e-12
chr22	30958379	30958629	55.8	3.6	7.655e-15	2.440e-12
chr20	48714880	48715130	73.5	2.9	8.779e-15	2.767e-12
chr9	77666287	77666537	58	4.1	1.180e-14	2.907e-12
chr7	99659193	99659443	64.1	2.8	1.196e-14	2.918e-12
chr8	125928665	125928915	125.7	3.5	1.523e-14	3.014e-12
chr1	160510002	160510252	153.3	2.7	1.588e-14	3.085e-12
chr11	62608965	62609215	178.9	2.1	1.456e-14	3.147e-12
chr2	239077205	239077455	82.2	2.4	1.596e-14	3.467e-12
chr9	134055936	134056186	75.4	3.1	1.192e-14	3.528e-12
chr1	88219943	88220193	57.7	2.9	1.250e-14	3.722e-12
