chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr1	31229548	31229798	36.1	3.6	3.192e-25	4.136e-20
chr7	38272629	38272879	16	4.2	7.177e-22	3.389e-17
chr22	39759851	39760101	63.7	-3.5	8.148e-22	4.953e-17
chr20	55990234	55990484	397.3	-3.8	4.869e-22	8.888e-17
chr7	36323366	36323616	20	4.4	1.377e-20	2.655e-16
chr21	48026066	48026316	15.4	4.3	2.158e-20	3.756e-16
chr7	139952679	139952929	23.8	5.2	3.859e-20	7.022e-16
chr10	11205164	11205414	16.6	3.7	7.129e-20	9.368e-16
chr9	139514207	139514457	13.9	4.5	1.037e-19	1.047e-15
chr8	134258146	134258396	15.8	6	1.280e-19	1.342e-15
chr12	96514565	96514815	18	3.7	2.378e-19	2.267e-15
chr16	66780691	66780941	22	4.8	4.427e-19	3.504e-15
chr9	130545507	130545757	24.2	4.5	9.157e-19	6.692e-15
chr7	101361023	101361273	11.1	5.3	1.098e-18	7.073e-15
chr22	20012958	20013208	215.4	-4.8	1.457e-19	7.094e-15
chr1	26868768	26869018	27.7	3.4	1.307e-18	7.135e-15
chr4	57937569	57937819	11.2	5.3	1.014e-18	7.311e-15
chr8	29631369	29631619	12	4.2	1.628e-18	8.160e-15
chr12	76982667	76982917	11.8	6.3	1.946e-18	9.239e-15
chr13	31287360	31287610	13.4	5.7	2.082e-18	9.391e-15
chr1	43402044	43402294	176.8	-3.5	2.988e-19	1.046e-14
chr1	169574093	169574343	18.1	5.7	2.570e-18	1.220e-14
chr19	15513342	15513592	161.1	-4.8	3.858e-19	1.225e-14
chr4	51602	51852	24.5	3.9	3.788e-18	1.626e-14
chr14	78292432	78292682	124.6	-4.9	5.868e-19	1.724e-14
chr9	135874675	135874925	133.8	-3.7	1.132e-18	3.201e-14
chr3	126191206	126191456	18.4	3.3	9.280e-18	3.246e-14
chr8	139204242	139204492	16.7	6	1.048e-17	3.927e-14
chr11	61054911	61055161	175.8	-3.9	1.697e-18	4.301e-14
chr1	45103742	45103992	130.3	-4.1	1.779e-18	4.519e-14
chr19	11009999	11010249	295.5	-4.7	2.275e-18	5.592e-14
chr19	55740102	55740352	176.8	-4.4	2.640e-18	6.024e-14
chr17	76588570	76588820	12.2	4.6	2.061e-17	6.052e-14
chr22	36764537	36764787	104.4	-3.6	6.787e-18	6.581e-14
chr11	46692671	46692921	13.4	4.5	3.030e-17	7.994e-14
chr16	15766703	15766953	10.8	4.4	3.693e-17	8.970e-14
chr16	67834357	67834607	292.8	-3.7	6.008e-18	1.193e-13
chr1	203256563	203256813	14.3	4.5	6.629e-17	1.608e-13
chr7	66223955	66224205	12.5	4.8	8.811e-17	2.086e-13
chr5	173266301	173266551	116	-4.3	1.306e-17	2.383e-13
chr8	145673951	145674201	77.8	-2.9	2.080e-17	2.537e-13
chr15	31558354	31558604	255.6	-3.3	1.488e-17	2.604e-13
chr2	197107041	197107291	12.2	5.8	1.247e-16	2.677e-13
chr4	11482426	11482676	10.9	5.7	1.962e-16	2.848e-13
chr1	161039604	161039854	17.3	3.9	1.536e-16	3.223e-13
chr8	14513212	14513462	8.4	4.8	1.941e-16	3.404e-13
chr5	131793111	131793361	22.4	3.5	1.329e-16	3.570e-13
chr12	122309484	122309734	190.5	-3.3	2.308e-17	3.570e-13
chr12	123131387	123131637	9.8	4.6	2.448e-16	3.835e-13
chr15	70559194	70559444	10.5	3.8	2.149e-16	3.968e-13
chr9	136339382	136339632	11.7	4.1	2.299e-16	4.067e-13
chr17	72459654	72459904	18.6	3.4	1.556e-16	4.132e-13
chr14	21539538	21539788	13.5	3.8	2.505e-16	4.292e-13
chr2	217548654	217548904	9.6	4.3	2.891e-16	4.385e-13
chr12	108731301	108731551	180	-4	3.450e-17	4.579e-13
chr4	16240093	16240343	11.6	3.7	2.832e-16	4.662e-13
chr5	176075636	176075886	60.1	-4.1	1.411e-16	5.603e-13
chr15	74712688	74712938	186.1	-3.6	4.363e-17	5.603e-13
chr17	1633525	1633775	149.6	-3.6	4.564e-17	5.682e-13
chr12	90163023	90163273	11.2	4.3	2.856e-16	5.741e-13
chr19	33651436	33651686	10.2	4	3.448e-16	5.741e-13
chr8	48513301	48513551	10.8	4.3	3.897e-16	5.805e-13
chr7	75247186	75247436	21.5	3.5	3.712e-16	6.070e-13
chr3	195920816	195921066	199.5	-2.7	6.053e-17	6.854e-13
chr11	64656514	64656764	214.8	-3.4	6.061e-17	6.854e-13
chr1	76211071	76211321	13.2	4.8	5.076e-16	7.102e-13
