chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr20	55990234	55990484	397.3	-5.1	7.820e-41	5.156e-36
chr12	106695573	106695823	214.5	-4.5	1.084e-35	3.572e-31
chr19	11009999	11010249	295.5	-6.5	3.184e-35	8.788e-31
chr3	195634626	195634876	276.4	-4.1	6.405e-35	1.001e-30
chr19	3503053	3503303	153.4	-5	5.301e-35	1.001e-30
chr9	126964826	126965076	37.9	3.7	1.704e-34	2.984e-30
chr17	32198826	32199076	244.4	-5.7	8.656e-34	1.168e-29
chr15	74902787	74903037	382.2	-4.1	1.025e-32	1.166e-28
chr1	23851292	23851542	211.8	-4.2	1.779e-32	1.798e-28
chr17	1633525	1633775	149.6	-4.9	4.402e-32	4.276e-28
chr16	163479	163729	284.6	-3.9	8.676e-32	5.200e-28
chr17	21197942	21198192	179.2	-4.8	7.127e-31	5.769e-27
chr12	117480165	117480415	301.3	-3.8	1.804e-30	1.263e-26
chr1	203661760	203662010	174.9	-5.7	5.396e-30	2.541e-26
chr19	18110459	18110709	155.2	-4.1	1.682e-29	1.020e-25
chr12	70017846	70018096	209.3	-4.9	2.918e-29	1.659e-25
chr7	1502379	1502629	209.4	-4.2	4.687e-29	1.717e-25
chr17	43303508	43303758	23.6	4.4	2.535e-29	1.717e-25
chr11	118958452	118958702	210.3	-3.1	3.976e-29	1.976e-25
chr8	23366317	23366567	186.3	-5.4	4.111e-28	1.355e-24
chr15	52429953	52430203	24.3	4.9	2.694e-28	1.450e-24
chr8	107282290	107282540	31.9	4.3	2.956e-28	1.478e-24
chr11	5305874	5306124	224.2	-4.7	4.657e-28	1.842e-24
chr12	700636	700886	259	-3.6	7.168e-28	1.890e-24
chr16	154970	155220	142.5	-4.2	6.893e-28	1.890e-24
chr2	8755968	8756218	151.4	-5	9.060e-28	2.297e-24
chr1	110333419	110333669	35.6	4.3	5.345e-28	2.298e-24
chr5	131330312	131330562	194.1	-4.7	1.272e-27	2.978e-24
chr22	40022252	40022502	213	-5.2	8.890e-28	2.978e-24
chr17	42343974	42344224	158.8	-4.7	1.119e-27	3.523e-24
chr2	129230740	129230990	49.5	5.2	1.806e-27	5.751e-24
chr6	164463370	164463620	38.6	4.5	1.755e-27	6.249e-24
chr19	703707	703957	35.3	4.3	1.747e-27	6.249e-24
chr19	47289620	47289870	233.8	-3.3	3.183e-27	8.842e-24
chr15	65133634	65133884	33.7	3.6	2.751e-27	9.122e-24
chr17	21176312	21176562	111.3	-4.8	3.729e-27	9.423e-24
chr20	43104943	43105193	145.1	-4.7	4.540e-27	1.116e-23
chr6	4911427	4911677	132.6	-5	6.056e-27	1.418e-23
chr6	16270537	16270787	180.3	-4.6	6.678e-27	1.418e-23
chr3	50378396	50378646	34.5	3.9	5.959e-27	1.729e-23
chr9	131654771	131655021	138.2	-4.9	1.077e-26	2.390e-23
chr10	134148978	134149228	30.8	4.2	9.604e-27	2.516e-23
chr9	138843867	138844117	179.7	-4.4	1.267e-26	2.619e-23
chr14	103844460	103844710	187.8	-4.4	1.381e-26	2.619e-23
chr7	7140127	7140377	206.5	-4.9	1.639e-26	3.016e-23
chr16	67834357	67834607	292.8	-4.3	1.705e-26	3.372e-23
chr15	31558354	31558604	255.6	-4	2.189e-26	4.524e-23
chr16	46917871	46918121	45.5	3.2	2.487e-26	5.116e-23
chr17	80419843	80420093	114.3	-4	3.390e-26	6.292e-23
chr11	8790571	8790821	168	-5.6	3.970e-26	6.575e-23
chr6	146864639	146864889	28.6	4.2	3.221e-26	7.032e-23
chr11	908307	908557	125.4	-4.6	5.546e-26	7.032e-23
chr17	56570081	56570331	163.6	-5.8	4.182e-26	7.453e-23
chr1	53791818	53792068	112.8	2.9	9.685e-26	1.179e-22
chr5	179220819	179221069	28.6	4.1	5.519e-26	1.179e-22
chr9	110856522	110856772	149.3	-5.5	8.571e-26	1.487e-22
chr1	228366604	228366854	146.7	-4.8	8.948e-26	1.525e-22
chr15	72564973	72565223	46.2	2.9	1.286e-25	2.188e-22
chr15	74712688	74712938	186.1	-4.4	1.855e-25	2.604e-22
chr11	5309375	5309625	159.7	-4	1.823e-25	2.765e-22
