chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr1	23840628	23840878	97.1	-4.6	2.458e-44	1.379e-39
chr19	3503053	3503303	153.4	-3.2	3.338e-40	1.063e-35
chr17	16282001	16282251	51.2	-4.4	1.876e-37	3.759e-33
chr17	42345485	42345735	119.2	-4	9.619e-35	1.730e-30
chr20	44844597	44844847	62.6	5.3	3.229e-33	4.486e-29
chr1	207996081	207996331	99.2	-3.8	3.017e-32	2.724e-28
chr6	17962721	17962971	44.5	4.2	1.166e-31	9.268e-28
chr8	11666482	11666732	54.5	-3.4	8.269e-32	9.268e-28
chr22	39759851	39760101	63.7	3.1	1.200e-31	9.268e-28
chr9	3548719	3548969	54.6	-5.8	6.199e-30	5.336e-26
chr1	110336988	110337238	49.6	5.2	1.108e-29	7.061e-26
chr19	11607673	11607923	108.8	-3.9	1.487e-29	7.061e-26
chr9	111772998	111773248	44.5	-3.6	7.742e-29	4.141e-25
chr17	57367810	57368060	55.5	4.7	2.125e-28	1.161e-24
chr3	195638815	195639065	38.4	-3.2	3.413e-28	1.761e-24
chr9	132891469	132891719	35.4	3.8	9.749e-28	4.435e-24
chr17	56406963	56407213	75.7	2.9	1.060e-27	4.435e-24
chr6	3455408	3455658	52.1	-3.8	1.519e-27	6.872e-24
chr20	3823141	3823391	30.4	4.3	2.363e-27	9.510e-24
chr21	47739089	47739339	57.7	-4.3	3.647e-27	1.009e-23
chr16	71498179	71498429	64.7	-5	3.070e-27	1.016e-23
chr15	50552742	50552992	58.2	4.9	8.009e-27	1.988e-23
chr16	84047615	84047865	66.7	4.6	7.385e-27	2.233e-23
chr3	49062920	49063170	43.8	3.9	7.307e-27	2.281e-23
chr15	31556116	31556366	86.2	-2.8	1.016e-26	2.281e-23
chr1	45187238	45187488	51.1	4.9	1.060e-26	3.118e-23
chr20	30298323	30298573	83.5	-3.7	1.826e-26	3.664e-23
chr8	8611904	8612154	36.3	-5.2	1.376e-26	3.759e-23
chr15	76239568	76239818	46.9	-4.5	1.284e-26	3.812e-23
chr5	173209109	173209359	51.9	-3.9	2.254e-26	5.746e-23
chr20	61062572	61062822	43.9	3.6	3.303e-26	6.407e-23
chr1	147806570	147806820	43.9	4	8.944e-26	1.681e-22
chr1	205218333	205218583	79.9	-4.5	1.162e-25	1.907e-22
chr5	53309505	53309755	34.3	-3.8	1.052e-25	2.323e-22
chr1	234845719	234845969	54.5	-3.6	1.141e-25	2.806e-22
chr16	84048017	84048267	36.7	4.5	1.332e-25	2.862e-22
chr14	56273805	56274055	36.3	4.5	1.814e-25	3.793e-22
