chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr19	3503053	3503303	153.4	-3.3	1.068e-33	3.200e-29
chr1	23840628	23840878	97.1	-5.4	2.081e-30	2.216e-26
chr11	66675796	66676046	76.4	-4.6	1.599e-30	2.216e-26
chr17	42345485	42345735	119.2	-4.1	3.511e-30	2.230e-26
chr17	42359028	42359278	123.7	-3.2	3.722e-30	2.230e-26
chr20	44844597	44844847	62.6	5.2	1.070e-27	9.970e-24
chr11	75491084	75491334	131.2	-4	1.189e-26	5.088e-23
chr20	30298323	30298573	83.5	-4.3	2.073e-25	8.226e-22
chr2	268426	268676	70.7	-4.2	1.491e-25	9.431e-22
chr22	18348229	18348479	45.4	-5.1	1.976e-25	1.533e-21
chr8	100150187	100150437	113.1	-3.4	2.684e-24	7.310e-21
chr22	37948813	37949063	79.4	-3.6	3.503e-24	9.267e-21
chr1	43418240	43418490	82.1	-2.9	3.533e-24	1.214e-20
chr19	50279108	50279358	66.3	-3.1	4.909e-24	1.996e-20
chr1	110336988	110337238	49.6	4.8	4.232e-24	2.149e-20
chr2	218706847	218707097	79.9	-3.8	1.166e-23	2.328e-20
chr15	31556116	31556366	86.2	-2.8	3.425e-23	8.998e-20
chr6	119651978	119652228	100.5	-2.8	1.023e-22	1.835e-19
chr22	30758992	30759242	47.9	-3.3	5.552e-23	2.199e-19
chr9	14395756	14396006	87.8	-3.8	2.495e-22	3.957e-19
chr17	72283250	72283500	73.1	-3	1.460e-22	3.957e-19
chr15	50552742	50552992	58.2	5.4	1.801e-22	4.576e-19
chr3	123066097	123066347	77.7	-3.4	3.804e-22	5.251e-19
chr11	113551999	113552249	80.8	-4.7	3.904e-22	5.255e-19
chr2	11538932	11539182	130.4	-3.3	4.644e-22	5.564e-19
chr16	193087	193337	67.2	-2.7	2.943e-22	6.443e-19
chr14	50810845	50811095	104	-3.3	7.493e-22	8.810e-19
chr4	154694554	154694804	79.5	-3.1	1.029e-21	1.187e-18
chr6	17962721	17962971	44.5	3.5	1.231e-21	3.195e-18
chr3	152747196	152747446	63.9	-3.7	2.123e-21	3.989e-18
chr8	129057247	129057497	41.2	4.6	2.212e-21	5.620e-18
chr19	1632962	1633212	129.3	-2.2	7.064e-21	6.737e-18
chr16	67228289	67228539	88.3	-2.9	6.998e-21	6.819e-18
chr11	119239389	119239639	56	-3.1	3.515e-21	7.219e-18
chr1	45187238	45187488	51.1	4.4	4.212e-21	8.404e-18
chr7	6218189	6218439	76.3	-3.6	1.088e-20	9.594e-18
chr17	56406963	56407213	75.7	2.5	1.361e-20	1.175e-17
chr3	169657119	169657369	112.1	-3.6	1.699e-20	1.329e-17
chr6	164463370	164463620	38.6	4.2	6.583e-21	1.329e-17
chr16	169942	170192	83.2	-2.6	1.206e-20	1.347e-17
chr1	147806570	147806820	43.9	4	9.432e-21	1.785e-17
chr5	64396762	64397012	118.7	-3.4	2.878e-20	2.043e-17
chr14	103826957	103827207	76.7	-3.1	2.707e-20	2.043e-17
chr9	126964826	126965076	37.9	3.3	1.524e-20	2.639e-17
chr1	234845719	234845969	54.5	-3.6	1.575e-20	2.716e-17
chr2	158115130	158115380	75.6	-3.2	4.278e-20	2.933e-17
chr8	27219296	27219546	108.3	-3.3	4.287e-20	2.933e-17
chr17	57367810	57368060	55.5	3.9	2.218e-20	3.227e-17
chr10	4983841	4984091	64.1	-2.9	3.540e-20	4.112e-17
chr17	74030554	74030804	78.9	-2.4	6.752e-20	4.363e-17
chr2	202022975	202023225	39.9	3.5	2.947e-20	4.524e-17
chr8	97924083	97924333	41.6	-3.7	3.213e-20	4.866e-17
chr19	703707	703957	35.3	4.1	3.777e-20	5.530e-17
chr3	195634626	195634876	276.4	-2.4	1.092e-19	6.165e-17
chr1	204660458	204660708	65.4	-3.8	7.175e-20	7.394e-17
chr3	193973341	193973591	60.8	3.3	9.274e-20	9.336e-17
chr3	49062920	49063170	43.8	3.2	8.668e-20	1.101e-16
chr1	23851292	23851542	211.8	-2.6	2.110e-19	1.110e-16
chr20	3823141	3823391	30.4	4.2	6.672e-20	1.200e-16
chr12	127354286	127354536	93.8	-3.9	2.230e-19	1.201e-16
chr16	71498179	71498429	64.7	-4.6	1.305e-19	1.218e-16
chr2	74413143	74413393	36.8	4.3	1.426e-19	1.753e-16
chr6	37679702	37679952	63.8	-3.5	2.438e-19	2.141e-16
