chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr20	55990234	55990484	397.3	-3.6	2.516e-19	1.077e-13
chr22	39759851	39760101	63.7	-3.2	1.057e-18	1.077e-13
chr12	76982667	76982917	11.8	4.5	6.006e-16	2.069e-11
chr14	78292432	78292682	124.6	-4.5	1.783e-16	3.392e-11
chr19	15513342	15513592	161.1	-4.4	2.376e-16	3.392e-11
chr22	20012958	20013208	215.4	-4.3	2.242e-16	3.392e-11
chr5	172229728	172229978	64.8	-3.2	2.819e-15	5.347e-11
chr9	135874675	135874925	133.8	-3.4	7.870e-16	8.322e-11
chr11	61054911	61055161	175.8	-3.6	1.239e-15	1.187e-10
chr14	103844460	103844710	187.8	-3.4	1.464e-15	1.262e-10
chr1	54862781	54863031	108.5	-3.3	7.758e-15	1.366e-10
chr8	145673951	145674201	77.8	-2.7	8.198e-15	1.366e-10
chr7	100130955	100131205	44	-4.2	1.588e-14	1.488e-10
chr11	71706780	71707030	93.7	-3.7	2.225e-14	2.884e-10
chr16	67834357	67834607	292.8	-3.3	5.052e-15	2.884e-10
chr22	36764537	36764787	104.4	-3.2	2.611e-14	3.122e-10
chr15	90701388	90701638	115.8	-3.2	6.965e-15	3.494e-10
chr5	173266301	173266551	116	-4	7.327e-15	3.510e-10
chr19	33651436	33651686	10.2	3.8	7.172e-14	4.090e-10
chr1	45103742	45103992	130.3	-3.7	1.501e-14	5.883e-10
chr1	45504696	45504946	25.7	-3.6	1.328e-13	5.883e-10
chr19	11009999	11010249	295.5	-4.2	1.401e-14	5.883e-10
chr19	55740102	55740352	176.8	-3.8	1.614e-14	6.008e-10
chr6	6704691	6704941	54.7	-3.7	1.502e-13	7.410e-10
chr1	43402044	43402294	176.8	-3	2.555e-14	8.349e-10
chr7	38272629	38272879	16	3	2.573e-13	8.349e-10
chr15	31558354	31558604	255.6	-3	2.608e-14	8.349e-10
chr1	19235616	19235866	49.2	-3.8	1.674e-13	9.750e-10
chrX	15598065	15598315	73.5	-3.6	2.092e-13	9.750e-10
chr1	151342937	151343187	220.6	-2.8	3.843e-14	1.093e-09
chr20	3823141	3823391	30.4	-3.2	4.162e-13	1.238e-09
chr2	28094639	28094889	86.7	-4.2	9.129e-14	1.282e-09
chr9	136036743	136036993	89.9	-3.4	2.396e-13	1.389e-09
chr8	29631369	29631619	12	3.3	4.657e-13	1.442e-09
chr17	42343974	42344224	158.8	-3.3	6.830e-14	1.671e-09
chr5	138568001	138568251	27.3	-3.3	6.943e-13	1.779e-09
chr3	143002294	143002544	141	-3.8	8.535e-14	1.923e-09
chr11	61687705	61687955	125.8	-3.6	8.359e-14	1.923e-09
chr1	31229548	31229798	36.1	2.4	6.976e-13	1.970e-09
chr12	122309484	122309734	190.5	-2.9	9.355e-14	2.003e-09
chr1	213034120	213034370	49.1	-4.1	7.586e-13	2.254e-09
chr10	33654820	33655070	9	4.6	8.142e-13	2.473e-09
chr3	195920816	195921066	199.5	-2.4	1.263e-13	2.509e-09
chr4	7083653	7083903	75	-2.5	9.030e-13	2.607e-09
chr7	101361023	101361273	11.1	3.4	1.124e-12	2.607e-09
chr12	5330026	5330276	86.5	-3.5	2.627e-13	2.607e-09
chr2	218692413	218692663	244.3	-3.4	1.630e-13	2.847e-09
chr11	6273281	6273531	70	-3.9	1.168e-12	2.847e-09
chr11	64656514	64656764	214.8	-3	1.620e-13	2.847e-09
chr22	19384622	19384872	147.4	-3.4	1.641e-13	2.847e-09
chr22	25550219	25550469	27.3	-3.6	1.046e-12	2.863e-09
chr17	40464799	40465049	74	-2.3	1.213e-12	2.905e-09
chr17	72459654	72459904	18.6	2.9	1.938e-12	2.905e-09
chr16	50297291	50297541	49.4	-3.1	1.611e-12	3.313e-09
chr7	8272633	8272883	60.1	-3.7	1.714e-12	3.797e-09
chr17	74351005	74351255	72.4	-2.6	1.118e-12	3.799e-09
chr10	11205164	11205414	16.6	2.7	2.719e-12	4.180e-09
chr8	141703715	141703965	114.3	-4	2.882e-13	4.284e-09
chr3	167834108	167834358	44.1	-3.3	2.462e-12	4.838e-09
chr5	176075636	176075886	60.1	-3.5	2.362e-12	4.838e-09
chr8	128972501	128972751	91.1	-3.1	6.480e-13	4.838e-09
chr15	78540286	78540536	89.8	-4.3	1.560e-12	4.838e-09
chr16	89058863	89059113	83.5	-2.7	1.660e-12	4.995e-09
chr12	70017846	70018096	209.3	-3.3	4.186e-13	5.587e-09
chr4	174382382	174382632	27	-3.8	3.601e-12	5.758e-09
chr12	90163023	90163273	11.2	3.5	3.780e-12	5.797e-09
chr15	31548883	31549133	216.1	-3.4	4.653e-13	5.933e-09
chr14	23366630	23366880	82.7	-4.9	1.972e-12	6.128e-09
chr4	55437479	55437729	66.6	-2.8	2.745e-12	6.623e-09
chr14	73930249	73930499	9.9	3.8	4.255e-12	6.623e-09
chr3	126191206	126191456	18.4	2.6	5.642e-12	7.064e-09
chr11	34263765	34264015	56.1	-3.1	3.955e-12	7.294e-09
chr1	11358859	11359109	78.9	-3.2	2.807e-12	7.701e-09
chr1	160793142	160793392	98.5	-2.7	2.779e-12	7.701e-09
chr11	908307	908557	125.4	-3.2	6.799e-13	7.701e-09
chr12	108731301	108731551	180	-3.4	6.786e-13	7.701e-09
chr19	4130779	4131029	79.6	-3.3	3.040e-12	7.701e-09
chr16	72047832	72048082	63.4	-3.9	5.761e-12	9.233e-09
chr7	25535020	25535270	97.6	-3.3	1.674e-12	9.590e-09
chr17	7553926	7554176	155.4	-2.7	8.986e-13	9.590e-09
chr22	26143483	26143733	8.9	3.7	6.017e-12	9.590e-09
chr2	54827157	54827407	43.4	-4.6	4.885e-12	9.965e-09
