chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr1	205218333	205218583	79.9	-4.2	3.093e-26	2.704e-21
chr10	100669863	100670113	114.1	3.5	6.215e-26	6.228e-21
chr6	37102398	37102648	32.7	-4.5	1.371e-24	8.624e-21
chr12	57068547	57068797	35.9	-3.9	6.244e-25	8.624e-21
chr12	89888252	89888502	31.2	-4.3	9.491e-25	8.624e-21
chr15	70740376	70740626	52.6	3.6	9.184e-25	8.624e-21
chr1	50724006	50724256	67.1	4.4	2.684e-23	2.462e-19
chr1	65946736	65946986	57.5	3.2	4.053e-23	2.462e-19
chr5	96077663	96077913	67.2	3.2	1.230e-22	5.255e-19
chr17	16302050	16302300	60.7	-3	1.081e-22	5.255e-19
chr6	84684385	84684635	60.6	3.6	1.139e-22	5.313e-19
chr6	37151044	37151294	72.9	3	1.633e-22	6.983e-19
chr18	2980427	2980677	32.1	-3.9	5.077e-22	1.880e-18
chr22	25124997	25125247	113.9	2.8	2.527e-22	2.009e-18
chr1	234679949	234680199	34.2	-4	1.054e-21	2.530e-18
chr17	18753269	18753519	34.4	-3.7	1.351e-21	3.135e-18
chr1	198048725	198048975	86.4	3.3	6.670e-22	4.096e-18
chr13	114238802	114239052	47.5	2.7	3.290e-21	9.574e-18
chr19	18132247	18132497	51.2	-3.1	5.150e-21	1.206e-17
chr20	31230240	31230490	75.8	3	2.385e-21	1.206e-17
chr21	40357628	40357878	73	3.2	6.339e-21	1.206e-17
chr8	145538708	145538958	70	2.3	7.216e-21	1.594e-17
chr1	175379120	175379370	88	3.6	3.890e-21	1.766e-17
chr6	4177145	4177395	53.8	2.9	1.150e-20	2.458e-17
chr1	85744584	85744834	30.6	-2.9	1.960e-20	3.630e-17
chr1	181121097	181121347	35.6	-3.7	2.160e-20	3.630e-17
chr7	1573551	1573801	52.4	-3.1	2.847e-20	5.522e-17
chr11	62608965	62609215	178.9	2.2	2.170e-20	1.032e-16
chr12	89787505	89787755	70.8	4	4.518e-20	1.032e-16
chr6	36315532	36315782	51.4	2.5	7.040e-20	1.229e-16
chr4	84195140	84195390	31.2	-3.8	1.443e-19	1.676e-16
chr20	51792024	51792274	55	2.9	1.530e-19	2.359e-16
chr14	65308537	65308787	54.9	2.3	1.854e-19	2.772e-16
chr17	59252704	59252954	44.2	3.8	1.935e-19	2.920e-16
