chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr1	31229548	31229798	36.1	4	1.726e-27	3.891e-22
chr20	55990234	55990484	397.3	-4.2	1.349e-26	1.237e-20
chr19	41833593	41833843	45.2	3	5.914e-24	5.169e-19
chr1	43402044	43402294	176.8	-4	3.555e-24	8.084e-19
chr22	39759851	39760101	63.7	-3.6	2.647e-23	1.472e-18
chr10	11205164	11205414	16.6	4.8	1.202e-22	2.160e-18
chr7	38272629	38272879	16	4.8	1.825e-22	2.796e-18
chr10	134148978	134149228	30.8	3.7	1.415e-22	2.796e-18
chr7	36323366	36323616	20	5.4	2.445e-22	2.951e-18
chr9	135874675	135874925	133.8	-4.2	3.320e-23	2.951e-18
chr19	11009999	11010249	295.5	-5.4	1.771e-23	2.951e-18
chr15	31558354	31558604	255.6	-3.8	3.956e-23	3.571e-18
chr12	96514565	96514815	18	4.5	1.259e-21	1.229e-17
chr17	43303508	43303758	23.6	3.1	1.633e-21	1.440e-17
chr19	55740102	55740352	176.8	-4.9	2.076e-22	1.499e-17
chr19	15513342	15513592	161.1	-5.2	1.625e-22	1.753e-17
chr22	36764537	36764787	104.4	-4.1	4.148e-22	1.753e-17
chr16	46917871	46918121	45.5	2.9	1.769e-21	2.452e-17
chr1	45103742	45103992	130.3	-4.6	5.539e-22	2.651e-17
chr3	126191206	126191456	18.4	4.1	5.826e-21	3.603e-17
chr7	139952679	139952929	23.8	6.6	7.740e-21	3.603e-17
chr22	20012958	20013208	215.4	-5	9.680e-22	3.977e-17
chr17	1633525	1633775	149.6	-4.1	9.170e-22	4.319e-17
chr4	8200752	8201002	20	3.7	1.379e-20	6.220e-17
chr14	78292432	78292682	124.6	-5.2	1.696e-21	6.220e-17
chr8	23366317	23366567	186.3	-4.8	2.035e-21	8.478e-17
chr5	131330312	131330562	194.1	-4.2	2.774e-21	9.340e-17
chr16	66780691	66780941	22	5.5	3.609e-20	1.591e-16
chr16	67834357	67834607	292.8	-4	5.780e-21	1.812e-16
