chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr22	33277272	33277522	142.5	3.9	2.739e-34	1.152e-29
chr2	127402908	127403158	87.3	3.6	2.602e-32	5.901e-28
chr10	100669863	100670113	114.1	4.8	7.483e-32	1.063e-27
chr11	62608965	62609215	178.9	3	1.458e-30	1.540e-26
chr22	25124997	25125247	113.9	4	2.098e-30	1.765e-26
chr2	232100005	232100255	95.4	4.7	4.931e-30	3.794e-26
chr1	205218333	205218583	79.9	-4.5	1.407e-29	7.092e-26
chr1	234679949	234680199	34.2	-4.7	1.199e-29	7.092e-26
chr11	65255077	65255327	41.5	-4.1	1.028e-29	7.092e-26
chr14	23366630	23366880	82.7	3	3.972e-29	1.819e-25
chr3	143002294	143002544	141	3.9	7.752e-29	2.940e-25
chr17	26295236	26295486	134.8	3.3	8.399e-29	2.940e-25
chr1	89412665	89412915	90.7	3.9	1.021e-28	3.562e-25
chr12	57271864	57272114	100.8	5.4	3.086e-28	9.996e-25
chr22	19920963	19921213	125.9	3.6	4.595e-28	1.124e-24
chr9	135860258	135860508	79.6	3.6	5.629e-28	1.715e-24
chr17	18753269	18753519	34.4	-4.2	6.501e-28	1.788e-24
chr3	53163464	53163714	103.2	4	8.628e-28	2.213e-24
chr22	19920172	19920422	175.5	3.3	1.159e-27	2.565e-24
chr1	160793142	160793392	98.5	3.2	1.197e-27	2.714e-24
chr1	156847616	156847866	86.6	4.1	1.426e-27	3.135e-24
chr11	71706780	71707030	93.7	4.2	3.939e-27	8.120e-24
chr7	44120856	44121106	70.8	4.1	4.223e-27	9.439e-24
chr14	31528854	31529104	143.6	3.7	5.608e-27	9.817e-24
chr8	141703715	141703965	114.3	4.2	6.784e-27	1.141e-23
chr1	198048725	198048975	86.4	4.3	9.532e-27	1.544e-23
chr6	37102398	37102648	32.7	-4.7	8.659e-27	1.544e-23
chr19	12444389	12444639	108.4	3	8.826e-27	1.544e-23
chr1	204953674	204953924	119.1	4	1.217e-26	1.765e-23
chr19	10305537	10305787	75.2	4.1	1.152e-26	2.243e-23
chr12	53191006	53191256	94.8	3.3	1.705e-26	2.682e-23
chr1	85744584	85744834	30.6	-3.3	1.798e-26	3.292e-23
chr5	126113976	126114226	72.9	3.7	1.991e-26	3.536e-23
chr17	16302050	16302300	60.7	-3.3	4.009e-26	6.957e-23
chr22	44442454	44442704	152.1	3.8	6.127e-26	7.392e-23
chr15	51944408	51944658	96.2	4.5	6.486e-26	8.171e-23
chr13	51187534	51187784	90.3	4.7	1.180e-25	1.446e-22
chr14	65308537	65308787	54.9	3.6	1.970e-25	2.753e-22
