chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr22	39759851	39760101	63.7	2.6	6.837e-24	4.395e-19
chr1	147806570	147806820	43.9	4.2	4.047e-23	1.457e-18
chr3	193973341	193973591	60.8	3.5	4.030e-22	7.981e-18
chr9	132891469	132891719	35.4	3.4	4.775e-22	7.981e-18
chr11	61637316	61637566	53.6	3.2	1.955e-21	2.816e-17
chr1	45187238	45187488	51.1	4.4	2.533e-21	3.006e-17
chr5	85822667	85822917	70.9	4	5.061e-21	3.923e-17
chr17	57367810	57368060	55.5	4	4.447e-21	3.957e-17
chr20	44844597	44844847	62.6	4.5	6.700e-21	4.329e-17
chr22	18348229	18348479	45.4	-2.9	6.675e-21	5.702e-17
chr15	50552742	50552992	58.2	5.1	2.555e-20	1.350e-16
chr7	132174597	132174847	56.5	4.6	3.285e-20	1.388e-16
chr15	69407007	69407257	53	4	2.505e-20	1.388e-16
chr1	156430355	156430605	47	3.4	6.307e-20	3.028e-16
chr11	5173025	5173275	30.7	4.1	7.349e-20	3.028e-16
chr14	93035112	93035362	44.3	3.2	6.622e-20	3.535e-16
chr10	63525397	63525647	58.8	4	1.514e-19	4.832e-16
chr9	124409312	124409562	33.8	4.3	2.001e-19	6.432e-16
chr10	112618088	112618338	31.1	3.6	1.786e-19	6.432e-16
chr11	114086659	114086909	68.9	3.3	2.347e-19	7.541e-16
chr1	110336988	110337238	49.6	4.2	2.343e-19	7.943e-16
chr10	32261475	32261725	47.9	4	2.075e-19	7.979e-16
chr22	39538407	39538657	27.6	-4.6	3.005e-19	7.979e-16
chr11	71659769	71660019	48.1	2.6	2.722e-19	8.152e-16
chr1	234694179	234694429	49.1	3.6	2.490e-19	8.182e-16
chr9	3548719	3548969	54.6	-4	2.865e-19	8.182e-16
chr1	116958406	116958656	52.9	3	4.218e-19	1.125e-15
chr1	23840628	23840878	97.1	-2.7	4.122e-19	1.275e-15
chr7	5497579	5497829	32.4	4.2	5.529e-19	1.275e-15
chr17	33212141	33212391	31.5	5.2	6.627e-19	1.349e-15
chr1	236063839	236064089	41.4	4	7.087e-19	1.535e-15
chr4	35762552	35762802	54.9	5.7	7.727e-19	1.714e-15
chr14	56273805	56274055	36.3	3.8	8.783e-19	1.787e-15
chr3	195638815	195639065	38.4	-2.9	9.833e-19	1.933e-15
chr15	68996871	68997121	43.2	4.4	9.591e-19	1.970e-15
chr21	25644833	25645083	37.7	3.8	1.072e-18	2.055e-15
chr2	99351444	99351694	32.3	5	1.575e-18	2.233e-15
chr4	55437479	55437729	66.6	2.9	1.539e-18	2.233e-15
chr9	86958139	86958389	33	4.1	2.942e-18	3.911e-15
chr1	231120896	231121146	27.1	3.5	3.160e-18	4.729e-15
chr8	123580167	123580417	28.9	3.9	3.840e-18	4.855e-15
chr2	182232198	182232448	25.4	3.6	3.356e-18	4.973e-15
chr20	3823141	3823391	30.4	4	5.656e-18	6.819e-15
chrX	154356316	154356566	28	4	6.352e-18	8.641e-15
chr2	150076415	150076665	23.1	4.4	6.872e-18	8.889e-15
